,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,ADM2_EN32,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
24,2009-07-01,1.0,Malawi,Central,Ntchisi,1.0,1.0,Ntchisi,326512,312836,312836.0,0.0,0.0,0.0,0.0,312836.0,312836.0,0.0,0.0,0.0,0.0,312836.0,312836.0,0.0,0.0,0.0,0.0,312836.0
25,2009-07-01,1.0,Malawi,Southern,Phalombe,1.0,1.0,Phalombe,415009,397626,397626.0,0.0,0.0,0.0,0.0,397626.0,397626.0,0.0,0.0,0.0,0.0,397626.0,397626.0,0.0,0.0,0.0,0.0,397626.0
26,2009-07-01,1.0,Malawi,Northern,Rumphi,1.0,1.0,Rumphi,231876,222164,222164.0,0.0,0.0,0.0,0.0,222164.0,222164.0,0.0,0.0,0.0,0.0,222164.0,222164.0,0.0,0.0,0.0,0.0,222164.0
27,2009-07-01,1.0,Malawi,Central,Salima,1.0,1.0,Salima,472065,452292,452292.0,0.0,0.0,0.0,0.0,452292.0,452292.0,0.0,0.0,0.0,0.0,452292.0,452292.0,0.0,0.0,0.0,0.0,452292.0
28,2009-07-01,1.0,Malawi,Southern,Thyolo,1.0,1.0,Thyolo,691915,662934,662934.0,0.0,0.0,0.0,0.0,662934.0,662934.0,0.0,0.0,0.0,0.0,662934.0,662934.0,0.0,0.0,0.0,0.0,662934.0
29,2009-07-01,1.0,Malawi,Southern,Zomba,1.0,1.0,Zomba,174816,167493,167493.0,0.0,0.0,0.0,0.0,167493.0,167493.0,0.0,0.0,0.0,0.0,167493.0,167493.0,0.0,0.0,0.0,0.0,167493.0
30,2009-07-01,1.0,Malawi,Southern,Zomba City,1.0,1.0,Zomba City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2009-07-01,,Malawi,Northern,Likoma,,,Likoma,10508,10067,,,,,,,,,,,,,,,,,,
32,2009-10-01,1.0,Malawi,Southern,Balaka,1.0,1.0,Balaka,451465,432555,432555.0,0.0,0.0,0.0,0.0,432555.0,432555.0,0.0,0.0,0.0,0.0,432555.0,432555.0,0.0,0.0,0.0,0.0,432555.0
33,2009-10-01,1.0,Malawi,Southern,Blantyre,1.0,1.0,Blantyre,1033105,989834,989834.0,0.0,0.0,0.0,0.0,989834.0,989834.0,0.0,0.0,0.0,0.0,989834.0,989834.0,0.0,0.0,0.0,0.0,989834.0
