,date,ADM1_EN,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
25,2011-07-01,Northern,1459888,1174120,1174120.0,0.0,0.0,0.0,0.0,1165669.0,0.0,0.0,0.0,0.0,1165669.0,0.0,0.0,0.0,0.0,1174120.0,1165669.0,1165669.0
26,2011-07-01,Southern,6773465,5447589,5447589.0,0.0,0.0,0.0,0.0,5447589.0,0.0,0.0,0.0,0.0,5447589.0,0.0,0.0,0.0,0.0,5447589.0,5447589.0,5447589.0
27,2011-10-01,Central,6512416,5237641,5237641.0,0.0,0.0,0.0,0.0,5237641.0,0.0,0.0,0.0,0.0,5237641.0,0.0,0.0,0.0,0.0,5237641.0,5237641.0,5237641.0
28,2011-10-01,Northern,1459888,1174120,1165669.0,0.0,0.0,0.0,0.0,1165669.0,0.0,0.0,0.0,0.0,1165669.0,0.0,0.0,0.0,0.0,1165669.0,1165669.0,1165669.0
29,2011-10-01,Southern,6773465,5447589,3096917.0,2350672.0,0.0,0.0,0.0,2950959.0,2496630.0,0.0,0.0,0.0,2950959.0,2013072.0,483558.0,0.0,0.0,5447589.0,5447589.0,5447589.0
30,2012-01-01,Central,6512416,5387964,5387964.0,0.0,0.0,0.0,0.0,5387964.0,0.0,0.0,0.0,0.0,5387964.0,0.0,0.0,0.0,0.0,5387964.0,5387964.0,5387964.0
31,2012-01-01,Northern,1459888,1207818,1199125.0,0.0,0.0,0.0,0.0,1199125.0,0.0,0.0,0.0,0.0,1199125.0,0.0,0.0,0.0,0.0,1199125.0,1199125.0,1199125.0
32,2012-01-01,Southern,6773465,5603936,2907796.0,2696140.0,0.0,0.0,0.0,3035653.0,2568283.0,0.0,0.0,0.0,5603936.0,0.0,0.0,0.0,0.0,5603936.0,5603936.0,5603936.0
33,2012-04-01,Central,6512416,5387964,5387964.0,0.0,0.0,0.0,0.0,5387964.0,0.0,0.0,0.0,0.0,5387964.0,0.0,0.0,0.0,0.0,5387964.0,5387964.0,5387964.0
34,2012-04-01,Northern,1459888,1207818,1199125.0,0.0,0.0,0.0,0.0,1199125.0,0.0,0.0,0.0,0.0,1199125.0,0.0,0.0,0.0,0.0,1199125.0,1199125.0,1199125.0
35,2012-04-01,Southern,6773465,5603936,5260584.0,343352.0,0.0,0.0,0.0,1819094.0,3784842.0,0.0,0.0,0.0,1819094.0,1071928.0,2712914.0,0.0,0.0,5603936.0,5603936.0,5603936.0
36,2012-10-01,Central,6512416,5387964,4470694.0,917270.0,0.0,0.0,0.0,4470694.0,917270.0,0.0,0.0,0.0,4470694.0,0.0,917270.0,0.0,0.0,5387964.0,5387964.0,5387964.0
37,2012-10-01,Northern,1459888,1207818,1207818.0,0.0,0.0,0.0,0.0,1207818.0,0.0,0.0,0.0,0.0,1207818.0,0.0,0.0,0.0,0.0,1207818.0,1207818.0,1207818.0
38,2012-10-01,Southern,6773465,5603936,970281.0,3783204.0,850451.0,0.0,0.0,970281.0,3783204.0,850451.0,0.0,0.0,970281.0,0.0,3783204.0,850451.0,0.0,5603936.0,5603936.0,5603936.0
39,2013-01-01,Central,6512416,5542454,4598883.0,943571.0,0.0,0.0,0.0,4598883.0,943571.0,0.0,0.0,0.0,5542454.0,0.0,0.0,0.0,0.0,5542454.0,5542454.0,5542454.0
40,2013-01-01,Northern,1459888,1242450,1242450.0,0.0,0.0,0.0,0.0,1242450.0,0.0,0.0,0.0,0.0,1242450.0,0.0,0.0,0.0,0.0,1242450.0,1242450.0,1242450.0
41,2013-01-01,Southern,6773465,5764624,998103.0,4254821.0,511700.0,0.0,0.0,998103.0,4254821.0,511700.0,0.0,0.0,5764624.0,0.0,0.0,0.0,0.0,5764624.0,5764624.0,5764624.0
42,2013-04-01,Central,6512416,5542454,5542454.0,0.0,0.0,0.0,0.0,5542454.0,0.0,0.0,0.0,0.0,2697085.0,2845369.0,0.0,0.0,0.0,5542454.0,5542454.0,5542454.0
43,2013-04-01,Northern,1459888,1242450,1242450.0,0.0,0.0,0.0,0.0,1242450.0,0.0,0.0,0.0,0.0,996905.0,245545.0,0.0,0.0,0.0,1242450.0,1242450.0,1242450.0
44,2013-04-01,Southern,6773465,5764624,5764624.0,0.0,0.0,0.0,0.0,5764624.0,0.0,0.0,0.0,0.0,5764624.0,0.0,0.0,0.0,0.0,5764624.0,5764624.0,5764624.0
45,2013-07-01,Central,6512416,5542454,3500687.0,2041767.0,0.0,0.0,0.0,3500687.0,2041767.0,0.0,0.0,0.0,3134300.0,908203.0,1499951.0,0.0,0.0,5542454.0,5542454.0,5542454.0
46,2013-07-01,Northern,1459888,1242450,987963.0,245545.0,0.0,0.0,0.0,662864.0,570644.0,0.0,0.0,0.0,205066.0,782897.0,245545.0,0.0,0.0,1233508.0,1233508.0,1233508.0
47,2013-07-01,Southern,6773465,5764624,3999190.0,1765434.0,0.0,0.0,0.0,1902211.0,3862413.0,0.0,0.0,0.0,534504.0,3966662.0,1263458.0,0.0,0.0,5764624.0,5764624.0,5764624.0
48,2013-10-01,Central,6512416,5542454,3954615.0,1587839.0,0.0,0.0,0.0,3954615.0,1587839.0,0.0,0.0,0.0,3134300.0,1186084.0,1222070.0,0.0,0.0,5542454.0,5542454.0,5542454.0
49,2013-10-01,Northern,1459888,1242450,784652.0,457798.0,0.0,0.0,0.0,459553.0,782897.0,0.0,0.0,0.0,214008.0,782897.0,245545.0,0.0,0.0,1242450.0,1242450.0,1242450.0
50,2013-10-01,Southern,6773465,5764624,2923541.0,2841083.0,0.0,0.0,0.0,2411841.0,3352783.0,0.0,0.0,0.0,1378154.0,2191816.0,2194654.0,0.0,0.0,5764624.0,5764624.0,5764624.0
51,2014-01-01,Central,6512416,5699833,3834678.0,0.0,0.0,0.0,0.0,2104529.0,2889173.0,706131.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,3834678.0,5699833.0,5699833.0
52,2014-01-01,Northern,1459888,1277729,666349.0,0.0,0.0,0.0,0.0,690882.0,586847.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,666349.0,1277729.0,1277729.0
53,2014-01-01,Southern,6773465,5928309,4334879.0,0.0,0.0,0.0,0.0,294096.0,5634213.0,0.0,0.0,0.0,5928309.0,0.0,0.0,0.0,0.0,4334879.0,5928309.0,5928309.0
54,2014-04-01,Central,6512416,5699833,3834678.0,0.0,0.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,3834678.0,5699833.0,5699833.0
55,2014-04-01,Northern,1459888,1277729,666349.0,0.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,666349.0,1277729.0,1277729.0
56,2014-04-01,Southern,6773465,5928309,4334879.0,0.0,0.0,0.0,0.0,5928309.0,0.0,0.0,0.0,0.0,5928309.0,0.0,0.0,0.0,0.0,4334879.0,5928309.0,5928309.0
57,2014-07-01,Central,6512416,5699833,5699833.0,0.0,0.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,5699833.0,5699833.0,5699833.0
58,2014-07-01,Northern,1459888,1277729,1277729.0,0.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,1277729.0,1277729.0,1277729.0
59,2014-07-01,Southern,6773465,5928309,3737357.0,2190952.0,0.0,0.0,0.0,3737357.0,0.0,2190952.0,0.0,0.0,3737357.0,0.0,2190952.0,0.0,0.0,5928309.0,5928309.0,5928309.0
60,2014-10-01,Central,6512416,5699833,5699833.0,0.0,0.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,5699833.0,0.0,0.0,0.0,0.0,5699833.0,5699833.0,5699833.0
61,2014-10-01,Northern,1459888,1277729,1277729.0,0.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,1277729.0,0.0,0.0,0.0,0.0,1277729.0,1277729.0,1277729.0
62,2014-10-01,Southern,6773465,5928309,3737357.0,0.0,2190952.0,0.0,0.0,3737357.0,0.0,2190952.0,0.0,0.0,5928309.0,0.0,0.0,0.0,0.0,5928309.0,5928309.0,5928309.0
63,2015-01-01,Central,6512416,5859114,5434405.0,424709.0,0.0,0.0,0.0,5434405.0,424709.0,0.0,0.0,0.0,5434405.0,424709.0,0.0,0.0,0.0,5859114.0,5859114.0,5859114.0
64,2015-01-01,Northern,1459888,1313436,1313436.0,0.0,0.0,0.0,0.0,1313436.0,0.0,0.0,0.0,0.0,1313436.0,0.0,0.0,0.0,0.0,1313436.0,1313436.0,1313436.0
65,2015-01-01,Southern,6773465,6093973,2274293.0,2625183.0,1194497.0,0.0,0.0,2274293.0,2625183.0,1194497.0,0.0,0.0,2117014.0,2782462.0,1194497.0,0.0,0.0,6093973.0,6093973.0,6093973.0
66,2015-04-01,Central,6512416,5859114,5434405.0,424709.0,0.0,0.0,0.0,5434405.0,424709.0,0.0,0.0,0.0,5434405.0,424709.0,0.0,0.0,0.0,5859114.0,5859114.0,5859114.0
67,2015-04-01,Northern,1459888,1313436,1313436.0,0.0,0.0,0.0,0.0,1313436.0,0.0,0.0,0.0,0.0,1313436.0,0.0,0.0,0.0,0.0,1313436.0,1313436.0,1313436.0
68,2015-04-01,Southern,6773465,6093973,1344825.0,4749148.0,0.0,0.0,0.0,2274293.0,3819680.0,0.0,0.0,0.0,2274293.0,3819680.0,0.0,0.0,0.0,6093973.0,6093973.0,6093973.0
69,2015-07-01,Central,6512416,5859114,5859114.0,0.0,0.0,0.0,0.0,5859114.0,0.0,0.0,0.0,0.0,681077.0,5178037.0,0.0,0.0,0.0,5859114.0,5859114.0,5859114.0
70,2015-07-01,Northern,1459888,1313436,1313436.0,0.0,0.0,0.0,0.0,1053862.0,259574.0,0.0,0.0,0.0,1053862.0,259574.0,0.0,0.0,0.0,1313436.0,1313436.0,1313436.0
71,2015-07-01,Southern,6773465,6093973,1620169.0,4473804.0,0.0,0.0,0.0,1620169.0,4473804.0,0.0,0.0,0.0,99451.0,2143222.0,3851300.0,0.0,0.0,6093973.0,6093973.0,6093973.0
