region,date,total-pop,ipc-2,ipc-3,ipc-4,ipc-5,ipc-3_prev,ipc-4_prev,ipc-3_delta,ipc-4_delta,option_1,option_2,option_3,threshold_reached
Awdal,2014-01-01,305455,91000.0,0.0,0.0,,,,,,0,0,0,0
Awdal,2014-07-01,305455,78000.0,11000.0,0.0,,0.0,0.0,0.03601185117284052,0.0,0,0,0,0
Awdal,2015-01-01,305455,43000.0,0.0,0.0,,11000.0,0.0,-0.03601185117284052,0.0,0,0,0,0
Awdal,2015-07-01,305455,38000.0,18000.0,0.0,,0.0,0.0,0.058928483737375394,0.0,0,1,0,0
Awdal,2016-07-01,673264,152000.0,66000.0,0.0,,18000.0,0.0,0.0712944699256161,0.0,0,1,0,0
Awdal,2017-01-01,673264,136000.0,80000.0,12000.0,,66000.0,0.0,0.020794220394971363,0.017823617481404024,0,0,0,0
Awdal,2017-07-01,673264,109000.0,95000.0,24200.0,,80000.0,12000.0,0.02227952185175503,0.01812067777276076,0,0,0,0
Awdal,2018-02-01,673264,130000.0,107000.0,70000.0,,95000.0,24200.0,0.017823617481404024,0.06802680672069203,1,0,1,1
Awdal,2018-07-01,673264,149000.0,121000.0,36000.0,,107000.0,70000.0,0.020794220394971363,-0.05050024953064474,1,0,0,0
Awdal,2019-01-01,673264,195000.0,142000.0,31000.0,,121000.0,36000.0,0.031191330592457045,-0.007426507283918344,1,0,0,0
Woqooyi Galbeed,2014-01-01,700345,184000.0,45000.0,0.0,,142000.0,31000.0,-0.13850316629661097,-0.04426389850716433,0,0,0,0
Woqooyi Galbeed,2014-07-01,700345,134000.0,34000.0,0.0,,45000.0,0.0,-0.015706544631574438,0.0,0,0,0,0
Woqooyi Galbeed,2015-01-01,700345,94000.0,32000.0,1000.0,,34000.0,0.0,-0.0028557353875589887,0.0014278676937794943,0,0,0,0
Woqooyi Galbeed,2015-07-01,700345,42000.0,53000.0,4000.0,,32000.0,1000.0,0.02998522156936938,0.004283603081338483,0,0,0,0
Woqooyi Galbeed,2016-07-01,1242003,103000.0,74000.0,8000.0,,53000.0,4000.0,0.016908171719391983,0.0032206041370270444,0,0,0,0
Woqooyi Galbeed,2017-01-01,1242003,438000.0,115000.0,8000.0,,74000.0,8000.0,0.033011192404527205,0.0,0,0,0,0
