,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,admin1Name_en,admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5
0,2010-10-01,2.0,Ethiopia,Somali,Afder,2.0,2.0,Somali,Afder,654828,512042.76088952826,0.0,512042.76088952826,0.0,0.0,0.0,0.0,512042.76088952826,0.0,0.0,0.0,0.0,512042.76088952826,0.0,0.0,0.0
1,2010-10-01,3.0,Ethiopia,Gambela,Agnewak,1.0,1.0,Gambela,Agnewak,164054,128282.02687571495,0.0,0.0,128282.02687571495,0.0,0.0,128282.02687571495,0.0,0.0,0.0,0.0,128282.02687571495,0.0,0.0,0.0,0.0
2,2010-10-01,2.0,Ethiopia,SNNP,Alle,2.0,2.0,SNNP,Alle,81190,63486.52127981821,0.0,63486.52127981821,0.0,0.0,0.0,0.0,63486.52127981821,0.0,0.0,0.0,0.0,63486.52127981821,0.0,0.0,0.0
3,2010-10-01,1.0,Ethiopia,SNNP,Amaro,2.0,2.0,SNNP,Amaro,195252,152677.30327536722,152677.30327536722,0.0,0.0,0.0,0.0,0.0,152677.30327536722,0.0,0.0,0.0,0.0,152677.30327536722,0.0,0.0,0.0
4,2010-10-01,2.0,Ethiopia,Oromia,Arsi,1.0,1.0,Oromia,Arsi,3645492,2850592.5044144234,0.0,2850592.5044144234,0.0,0.0,0.0,2850592.5044144234,0.0,0.0,0.0,0.0,2850592.5044144234,0.0,0.0,0.0,0.0
5,2010-10-01,2.0,Ethiopia,Benishangul Gumz,Asosa,1.0,1.0,Benishangul Gumz,Asosa,402287,314568.3235139085,0.0,314568.3235139085,0.0,0.0,0.0,314568.3235139085,0.0,0.0,0.0,0.0,314568.3235139085,0.0,0.0,0.0,0.0
6,2010-10-01,2.0,Ethiopia,Oromia,Bale,2.0,2.0,Oromia,Bale,1887498,1475929.0792291453,0.0,1475929.0792291453,0.0,0.0,0.0,0.0,1475929.0792291453,0.0,0.0,0.0,0.0,1475929.0792291453,0.0,0.0,0.0
7,2010-10-01,2.0,Ethiopia,SNNP,Basketo,2.0,2.0,SNNP,Basketo,75512,59046.60912528184,0.0,59046.60912528184,0.0,0.0,0.0,0.0,59046.60912528184,0.0,0.0,0.0,0.0,59046.60912528184,0.0,0.0,0.0
8,2010-10-01,1.0,Ethiopia,SNNP,Bench Maji,1.0,1.0,SNNP,Bench Maji,603595,471981.1160474427,471981.1160474427,0.0,0.0,0.0,0.0,471981.1160474427,0.0,0.0,0.0,0.0,471981.1160474427,0.0,0.0,0.0,0.0
9,2010-10-01,2.0,Ethiopia,Oromia,Borena,2.0,2.0,Oromia,Borena,545493,426548.2565893814,0.0,426548.2565893814,0.0,0.0,0.0,0.0,426548.2565893814,0.0,0.0,0.0,0.0,426548.2565893814,0.0,0.0,0.0
10,2010-10-01,2.0,Ethiopia,SNNP,Burji,2.0,2.0,SNNP,Burji,71728,56087.710288937065,0.0,56087.710288937065,0.0,0.0,0.0,0.0,56087.710288937065,0.0,0.0,0.0,0.0,56087.710288937065,0.0,0.0,0.0
11,2010-10-01,3.0,Ethiopia,Tigray,Central,2.0,2.0,Tigray,Central,1384454,1082573.8185974804,0.0,0.0,1082573.8185974804,0.0,0.0,0.0,1082573.8185974804,0.0,0.0,0.0,0.0,1082573.8185974804,0.0,0.0,0.0
12,2010-10-01,2.0,Ethiopia,Somali,Daawa,2.0,2.0,Somali,Daawa,457130,357452.8078906675,0.0,357452.8078906675,0.0,0.0,0.0,0.0,357452.8078906675,0.0,0.0,0.0,0.0,357452.8078906675,0.0,0.0,0.0
13,2010-10-01,2.0,Ethiopia,SNNP,Dawuro,2.0,2.0,SNNP,Dawuro,643931,503521.8516348641,0.0,503521.8516348641,0.0,0.0,0.0,0.0,503521.8516348641,0.0,0.0,0.0,0.0,503521.8516348641,0.0,0.0,0.0
14,2010-10-01,2.0,Ethiopia,SNNP,Derashe,2.0,2.0,SNNP,Derashe,107301,83904.01798061059,0.0,83904.01798061059,0.0,0.0,0.0,0.0,83904.01798061059,0.0,0.0,0.0,0.0,83904.01798061059,0.0,0.0,0.0
15,2010-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa rural,2.0,2.0,Dire Dawa,Dire Dawa rural,188933,147736.16116467415,0.0,0.0,0.0,0.0,0.0,0.0,147736.16116467415,0.0,0.0,0.0,0.0,147736.16116467415,0.0,0.0,0.0
16,2010-10-01,2.0,Ethiopia,Somali,Doolo,3.0,3.0,Somali,Doolo,425824,332973.0808899779,0.0,332973.0808899779,0.0,0.0,0.0,0.0,0.0,332973.0808899779,0.0,0.0,0.0,0.0,332973.0808899779,0.0,0.0
17,2010-10-01,1.0,Ethiopia,Amhara,East Gojam,1.0,1.0,Amhara,East Gojam,2672621,2089856.0166201382,2089856.0166201382,0.0,0.0,0.0,0.0,2089856.0166201382,0.0,0.0,0.0,0.0,2089856.0166201382,0.0,0.0,0.0,0.0
18,2010-10-01,3.0,Ethiopia,Oromia,East Hararge,2.0,2.0,Oromia,East Hararge,3739861,2924384.344870824,0.0,0.0,2924384.344870824,0.0,0.0,0.0,2924384.344870824,0.0,0.0,0.0,0.0,2924384.344870824,0.0,0.0,0.0
19,2010-10-01,3.0,Ethiopia,Oromia,East Shewa,2.0,2.0,Oromia,East Shewa,2234419,1747203.9585112713,0.0,0.0,1747203.9585112713,0.0,0.0,0.0,1747203.9585112713,0.0,0.0,0.0,0.0,1747203.9585112713,0.0,0.0,0.0
20,2010-10-01,1.0,Ethiopia,Oromia,East Wellega,1.0,1.0,Oromia,East Wellega,1693681,1324373.874217561,1324373.874217561,0.0,0.0,0.0,0.0,1324373.874217561,0.0,0.0,0.0,0.0,1324373.874217561,0.0,0.0,0.0,0.0
21,2010-10-01,3.0,Ethiopia,Somali,Erer,3.0,3.0,Somali,Erer,268901,210267.13953275522,0.0,0.0,210267.13953275522,0.0,0.0,0.0,0.0,210267.13953275522,0.0,0.0,0.0,0.0,210267.13953275522,0.0,0.0
22,2010-10-01,2.0,Ethiopia,Somali,Fafan,2.0,2.0,Somali,Fafan,1242707,971734.750586021,0.0,971734.750586021,0.0,0.0,0.0,0.0,971734.750586021,0.0,0.0,0.0,0.0,971734.750586021,0.0,0.0,0.0
23,2010-10-01,1.0,Ethiopia,Oromia,Finfine Special,1.0,1.0,Oromia,Finfine Special,1040106,813310.8966900677,813310.8966900677,0.0,0.0,0.0,0.0,813310.8966900677,0.0,0.0,0.0,0.0,813310.8966900677,0.0,0.0,0.0,0.0
24,2010-10-01,3.0,Ethiopia,SNNP,Gamo,2.0,2.0,SNNP,Gamo,1462777,1143818.4891997615,0.0,0.0,1143818.4891997615,0.0,0.0,0.0,1143818.4891997615,0.0,0.0,0.0,0.0,1143818.4891997615,0.0,0.0,0.0
25,2010-10-01,2.0,Ethiopia,SNNP,Gedeo,2.0,2.0,SNNP,Gedeo,1131834,885037.6071711018,0.0,885037.6071711018,0.0,0.0,0.0,0.0,885037.6071711018,0.0,0.0,0.0,0.0,885037.6071711018,0.0,0.0,0.0
26,2010-10-01,3.0,Ethiopia,SNNP,Gofa,2.0,2.0,SNNP,Gofa,623589,487615.42453948216,0.0,0.0,487615.42453948216,0.0,0.0,0.0,487615.42453948216,0.0,0.0,0.0,0.0,487615.42453948216,0.0,0.0,0.0
27,2010-10-01,1.0,Ethiopia,Oromia,Guji,2.0,2.0,Oromia,Guji,1482472,1159218.9946389291,1159218.9946389291,0.0,0.0,0.0,0.0,0.0,1159218.9946389291,0.0,0.0,0.0,0.0,1159218.9946389291,0.0,0.0,0.0
