,date,ADMIN0,ADMIN1,ADMIN2,CS
349,2018-10-01,Ethiopia,Amhara,Argoba,1.0
293,2018-10-01,Ethiopia,Amhara,Wag Himra,2.0
351,2018-10-01,Ethiopia,Oromia,West Arsi,1.0
354,2018-10-01,Ethiopia,Oromia,West Shewa,1.0
356,2018-10-01,Ethiopia,Tigray,West Tigray,1.0
357,2018-10-01,Ethiopia,SNNPR,Wolayita,1.0
358,2018-10-01,Ethiopia,SNNPR,Yem,1.0
300,2018-10-01,Ethiopia,Afar,Gabi,2.0
302,2018-10-01,Ethiopia,Afar,Khari,2.0
363,2018-10-01,Ethiopia,Tigray,Northwest Tigray,1.0
368,2018-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
372,2018-10-01,Ethiopia,Oromia,South West Shewa,1.0
374,2018-10-01,Ethiopia,SNNPR,Hadiya,1.0
375,2018-10-01,Ethiopia,SNNPR,Silltie,1.0
278,2018-10-01,Ethiopia,Harari,Harari,2.0
373,2018-10-01,Ethiopia,Amhara,North Gondar,1.0
352,2018-10-01,Ethiopia,Amhara,West Gojam,1.0
321,2018-10-01,Ethiopia,Amhara,Awi,1.0
366,2018-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
371,2018-10-01,Ethiopia,Addis Ababa,Region 14,1.0
377,2012-10-01,Ethiopia,SNNPR,Segen,2.0
378,2012-10-01,Ethiopia,Oromia,Bale,2.0
379,2012-10-01,Ethiopia,Oromia,Borena,2.0
386,2012-10-01,Ethiopia,Somali,Jarar,2.0
5514,2012-10-01,Ethiopia,Oromia,East Wellega,1.0
3199,2012-10-01,Ethiopia,SNNPR,Gedeo,2.0
390,2012-10-01,Ethiopia,Oromia,Gujii,2.0
5520,2012-10-01,Ethiopia,Oromia,Ilubabor,1.0
392,2012-10-01,Ethiopia,Somali,Fafan,2.0
5524,2012-10-01,Ethiopia,Oromia,Kelem,1.0
395,2012-10-01,Ethiopia,Somali,Korahe,2.0
396,2012-10-01,Ethiopia,Somali,Liben,2.0
6315,2012-10-01,Ethiopia,Amhara,North Wollo,3.0
5529,2012-10-01,Ethiopia,Gambela,Nuer,1.0
6317,2012-10-01,Ethiopia,Somali,Sitti,3.0
3217,2012-10-01,Ethiopia,Tigray,South Tigray,2.0
3221,2012-10-01,Ethiopia,Oromia,West Hararge,2.0
5541,2012-10-01,Ethiopia,Oromia,West Wellega,1.0
6324,2012-10-01,Ethiopia,Afar,Awusi,3.0
3226,2012-10-01,Ethiopia,Afar,Fanti,2.0
404,2012-10-01,Ethiopia,Somali,Shebelle,2.0
5548,2012-10-01,Ethiopia,Gambela,Itang,1.0
5549,2012-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5551,2012-10-01,Ethiopia,Gambela,Agniwak,1.0
3234,2012-10-01,Ethiopia,Oromia,East Hararge,2.0
6682,2012-10-01,Ethiopia,Tigray,East Tigray,3.0
5554,2012-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5555,2012-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
3239,2012-10-01,Ethiopia,Afar,Kilbati,2.0
407,2012-10-01,Ethiopia,Somali,Nogob,2.0
409,2012-10-01,Ethiopia,Somali,Dollo,2.0
5502,2012-10-01,Ethiopia,SNNPR,Sheka,1.0
3187,2012-10-01,Ethiopia,SNNPR,Sidama,2.0
381,2012-10-01,Ethiopia,Somali,Afder,2.0
3189,2012-10-01,Ethiopia,SNNPR,Alaba,2.0
5506,2012-10-01,Ethiopia,Oromia,Arsi,1.0
5508,2012-10-01,Ethiopia,SNNPR,Basketo,1.0
5509,2012-10-01,Ethiopia,SNNPR,Bench Maji,1.0
3193,2012-10-01,Ethiopia,Tigray,Central Tigray,2.0
5511,2012-10-01,Ethiopia,SNNPR,Dawro,1.0
3195,2012-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
5512,2012-10-01,Ethiopia,Amhara,East Gojam,1.0
5513,2012-10-01,Ethiopia,Oromia,East Shewa,1.0
388,2012-10-01,Ethiopia,SNNPR,Gamo Gofa,2.0
5518,2012-10-01,Ethiopia,SNNPR,Gurage,1.0
5519,2012-10-01,Ethiopia,Oromia,Horo Guduru,1.0
5521,2012-10-01,Ethiopia,Oromia,Jimma,1.0
394,2012-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
5523,2012-10-01,Ethiopia,SNNPR,Keffa,1.0
5525,2012-10-01,Ethiopia,SNNPR,Konta,1.0
5526,2012-10-01,Ethiopia,Gambela,Mezhenger,1.0
5527,2012-10-01,Ethiopia,Amhara,North Shewa,1.0
5530,2012-10-01,Ethiopia,Amhara,Oromia,1.0
5531,2012-10-01,Ethiopia,Amhara,South Gondar,1.0
3215,2012-10-01,Ethiopia,SNNPR,South Omo,2.0
3216,2012-10-01,Ethiopia,Amhara,South Wollo,2.0
5535,2012-10-01,Ethiopia,Amhara,Argoba,1.0
6680,2012-10-01,Ethiopia,Amhara,Wag Himra,3.0
5537,2012-10-01,Ethiopia,Oromia,West Arsi,1.0
5540,2012-10-01,Ethiopia,Oromia,West Shewa,1.0
5542,2012-10-01,Ethiopia,Tigray,West Tigray,1.0
401,2012-10-01,Ethiopia,SNNPR,Wolayita,2.0
5544,2012-10-01,Ethiopia,SNNPR,Yem,1.0
3225,2012-10-01,Ethiopia,Afar,Gabi,2.0
3227,2012-10-01,Ethiopia,Afar,Khari,2.0
5547,2012-10-01,Ethiopia,Tigray,Northwest Tigray,1.0
5552,2012-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
5557,2012-10-01,Ethiopia,Oromia,South West Shewa,1.0
406,2012-10-01,Ethiopia,SNNPR,Hadiya,2.0
3243,2012-10-01,Ethiopia,SNNPR,Silltie,2.0
7002,2012-10-01,Ethiopia,Harari,Harari,99.0
5558,2012-10-01,Ethiopia,Amhara,North Gondar,1.0
5538,2012-10-01,Ethiopia,Amhara,West Gojam,1.0
5507,2012-10-01,Ethiopia,Amhara,Awi,1.0
5550,2012-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
7006,2012-10-01,Ethiopia,Addis Ababa,Region 14,99.0
465,2010-04-01,Ethiopia,SNNPR,Segen,3.0
1111,2010-04-01,Ethiopia,Oromia,Bale,2.0
1113,2010-04-01,Ethiopia,Oromia,Borena,2.0
474,2010-04-01,Ethiopia,Somali,Jarar,3.0
4324,2010-04-01,Ethiopia,Oromia,East Wellega,1.0
1127,2010-04-01,Ethiopia,SNNPR,Gedeo,2.0
4327,2010-04-01,Ethiopia,Oromia,Gujii,1.0
4330,2010-04-01,Ethiopia,Oromia,Ilubabor,1.0
1132,2010-04-01,Ethiopia,Somali,Fafan,2.0
4333,2010-04-01,Ethiopia,Oromia,Kelem,1.0
482,2010-04-01,Ethiopia,Somali,Korahe,3.0
1139,2010-04-01,Ethiopia,Somali,Liben,2.0
485,2010-04-01,Ethiopia,Amhara,North Wollo,3.0
486,2010-04-01,Ethiopia,Gambela,Nuer,3.0
1144,2010-04-01,Ethiopia,Somali,Sitti,2.0
492,2010-04-01,Ethiopia,Tigray,South Tigray,3.0
496,2010-04-01,Ethiopia,Oromia,West Hararge,3.0
4344,2010-04-01,Ethiopia,Oromia,West Wellega,1.0
499,2010-04-01,Ethiopia,Afar,Awusi,3.0
501,2010-04-01,Ethiopia,Afar,Fanti,3.0
1160,2010-04-01,Ethiopia,Somali,Shebelle,2.0
505,2010-04-01,Ethiopia,Gambela,Itang,3.0
1163,2010-04-01,Ethiopia,Benshangul Gumuz,Mao-Komo,2.0
506,2010-04-01,Ethiopia,Gambela,Agniwak,3.0
507,2010-04-01,Ethiopia,Oromia,East Hararge,3.0
508,2010-04-01,Ethiopia,Tigray,East Tigray,3.0
4353,2010-04-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
4354,2010-04-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
510,2010-04-01,Ethiopia,Afar,Kilbati,3.0
513,2010-04-01,Ethiopia,Somali,Nogob,3.0
515,2010-04-01,Ethiopia,Somali,Dollo,3.0
4314,2010-04-01,Ethiopia,SNNPR,Sheka,1.0
1114,2010-04-01,Ethiopia,SNNPR,Sidama,2.0
1115,2010-04-01,Ethiopia,Somali,Afder,2.0
470,2010-04-01,Ethiopia,SNNPR,Alaba,3.0
4317,2010-04-01,Ethiopia,Oromia,Arsi,1.0
4319,2010-04-01,Ethiopia,SNNPR,Basketo,1.0
1119,2010-04-01,Ethiopia,SNNPR,Bench Maji,2.0
473,2010-04-01,Ethiopia,Tigray,Central Tigray,3.0
1121,2010-04-01,Ethiopia,SNNPR,Dawro,2.0
1123,2010-04-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
4322,2010-04-01,Ethiopia,Amhara,East Gojam,1.0
476,2010-04-01,Ethiopia,Oromia,East Shewa,3.0
1126,2010-04-01,Ethiopia,SNNPR,Gamo Gofa,2.0
1129,2010-04-01,Ethiopia,SNNPR,Gurage,2.0
4329,2010-04-01,Ethiopia,Oromia,Horo Guduru,1.0
4331,2010-04-01,Ethiopia,Oromia,Jimma,1.0
1134,2010-04-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
4332,2010-04-01,Ethiopia,SNNPR,Keffa,1.0
4334,2010-04-01,Ethiopia,SNNPR,Konta,1.0
4335,2010-04-01,Ethiopia,Gambela,Mezhenger,1.0
484,2010-04-01,Ethiopia,Amhara,North Shewa,3.0
487,2010-04-01,Ethiopia,Amhara,Oromia,3.0
4337,2010-04-01,Ethiopia,Amhara,South Gondar,1.0
1146,2010-04-01,Ethiopia,SNNPR,South Omo,2.0
1147,2010-04-01,Ethiopia,Amhara,South Wollo,2.0
1148,2010-04-01,Ethiopia,Amhara,Argoba,2.0
4839,2010-04-01,Ethiopia,Amhara,Wag Himra,4.0
4340,2010-04-01,Ethiopia,Oromia,West Arsi,1.0
1152,2010-04-01,Ethiopia,Oromia,West Shewa,2.0
4345,2010-04-01,Ethiopia,Tigray,West Tigray,1.0
1155,2010-04-01,Ethiopia,SNNPR,Wolayita,2.0
4346,2010-04-01,Ethiopia,SNNPR,Yem,1.0
1158,2010-04-01,Ethiopia,Afar,Gabi,2.0
1159,2010-04-01,Ethiopia,Afar,Khari,2.0
1161,2010-04-01,Ethiopia,Tigray,Northwest Tigray,2.0
1165,2010-04-01,Ethiopia,Benshangul Gumuz,Asosa,2.0
4356,2010-04-01,Ethiopia,Oromia,South West Shewa,1.0
1171,2010-04-01,Ethiopia,SNNPR,Hadiya,2.0
1173,2010-04-01,Ethiopia,SNNPR,Silltie,2.0
479,2010-04-01,Ethiopia,Harari,Harari,3.0
4357,2010-04-01,Ethiopia,Amhara,North Gondar,1.0
4341,2010-04-01,Ethiopia,Amhara,West Gojam,1.0
4318,2010-04-01,Ethiopia,Amhara,Awi,1.0
4350,2010-04-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
7039,2010-04-01,Ethiopia,Addis Ababa,Region 14,99.0
3554,2015-01-01,Ethiopia,SNNPR,Segen,1.0
3555,2015-01-01,Ethiopia,Oromia,Bale,1.0
6562,2015-01-01,Ethiopia,Oromia,Borena,3.0
526,2015-01-01,Ethiopia,Somali,Jarar,2.0
3571,2015-01-01,Ethiopia,Oromia,East Wellega,1.0
3573,2015-01-01,Ethiopia,SNNPR,Gedeo,1.0
3574,2015-01-01,Ethiopia,Oromia,Gujii,1.0
3578,2015-01-01,Ethiopia,Oromia,Ilubabor,1.0
532,2015-01-01,Ethiopia,Somali,Fafan,2.0
3583,2015-01-01,Ethiopia,Oromia,Kelem,1.0
535,2015-01-01,Ethiopia,Somali,Korahe,2.0
536,2015-01-01,Ethiopia,Somali,Liben,2.0
3588,2015-01-01,Ethiopia,Amhara,North Wollo,1.0
3589,2015-01-01,Ethiopia,Gambela,Nuer,1.0
541,2015-01-01,Ethiopia,Somali,Sitti,2.0
545,2015-01-01,Ethiopia,Tigray,South Tigray,2.0
548,2015-01-01,Ethiopia,Oromia,West Hararge,2.0
3602,2015-01-01,Ethiopia,Oromia,West Wellega,1.0
550,2015-01-01,Ethiopia,Afar,Awusi,2.0
552,2015-01-01,Ethiopia,Afar,Fanti,2.0
554,2015-01-01,Ethiopia,Somali,Shebelle,2.0
3612,2015-01-01,Ethiopia,Gambela,Itang,1.0
3613,2015-01-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
3615,2015-01-01,Ethiopia,Gambela,Agniwak,1.0
3617,2015-01-01,Ethiopia,Oromia,East Hararge,1.0
561,2015-01-01,Ethiopia,Tigray,East Tigray,2.0
3619,2015-01-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
3620,2015-01-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
563,2015-01-01,Ethiopia,Afar,Kilbati,2.0
565,2015-01-01,Ethiopia,Somali,Nogob,2.0
567,2015-01-01,Ethiopia,Somali,Dollo,2.0
3556,2015-01-01,Ethiopia,SNNPR,Sheka,1.0
3558,2015-01-01,Ethiopia,SNNPR,Sidama,1.0
520,2015-01-01,Ethiopia,Somali,Afder,2.0
521,2015-01-01,Ethiopia,SNNPR,Alaba,2.0
3561,2015-01-01,Ethiopia,Oromia,Arsi,1.0
3563,2015-01-01,Ethiopia,SNNPR,Basketo,1.0
3564,2015-01-01,Ethiopia,SNNPR,Bench Maji,1.0
3565,2015-01-01,Ethiopia,Tigray,Central Tigray,1.0
3566,2015-01-01,Ethiopia,SNNPR,Dawro,1.0
527,2015-01-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
3569,2015-01-01,Ethiopia,Amhara,East Gojam,1.0
3570,2015-01-01,Ethiopia,Oromia,East Shewa,1.0
529,2015-01-01,Ethiopia,SNNPR,Gamo Gofa,2.0
3575,2015-01-01,Ethiopia,SNNPR,Gurage,1.0
3577,2015-01-01,Ethiopia,Oromia,Horo Guduru,1.0
3580,2015-01-01,Ethiopia,Oromia,Jimma,1.0
3581,2015-01-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
3582,2015-01-01,Ethiopia,SNNPR,Keffa,1.0
3584,2015-01-01,Ethiopia,SNNPR,Konta,1.0
3586,2015-01-01,Ethiopia,Gambela,Mezhenger,1.0
3587,2015-01-01,Ethiopia,Amhara,North Shewa,1.0
3590,2015-01-01,Ethiopia,Amhara,Oromia,1.0
3592,2015-01-01,Ethiopia,Amhara,South Gondar,1.0
787,2015-01-01,Ethiopia,SNNPR,South Omo,2.0
3594,2015-01-01,Ethiopia,Amhara,South Wollo,1.0
3596,2015-01-01,Ethiopia,Amhara,Argoba,1.0
6569,2015-01-01,Ethiopia,Amhara,Wag Himra,3.0
547,2015-01-01,Ethiopia,Oromia,West Arsi,2.0
3601,2015-01-01,Ethiopia,Oromia,West Shewa,1.0
3603,2015-01-01,Ethiopia,Tigray,West Tigray,1.0
549,2015-01-01,Ethiopia,SNNPR,Wolayita,2.0
3605,2015-01-01,Ethiopia,SNNPR,Yem,1.0
793,2015-01-01,Ethiopia,Afar,Gabi,2.0
553,2015-01-01,Ethiopia,Afar,Khari,2.0
3611,2015-01-01,Ethiopia,Tigray,Northwest Tigray,1.0
3616,2015-01-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
3622,2015-01-01,Ethiopia,Oromia,South West Shewa,1.0
3624,2015-01-01,Ethiopia,SNNPR,Hadiya,1.0
3626,2015-01-01,Ethiopia,SNNPR,Silltie,1.0
3576,2015-01-01,Ethiopia,Harari,Harari,1.0
3623,2015-01-01,Ethiopia,Amhara,North Gondar,1.0
3599,2015-01-01,Ethiopia,Amhara,West Gojam,1.0
3562,2015-01-01,Ethiopia,Amhara,Awi,1.0
3614,2015-01-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
3621,2015-01-01,Ethiopia,Addis Ababa,Region 14,1.0
3483,2015-04-01,Ethiopia,SNNPR,Segen,1.0
3484,2015-04-01,Ethiopia,Oromia,Bale,1.0
5007,2015-04-01,Ethiopia,Oromia,Borena,3.0
576,2015-04-01,Ethiopia,Somali,Jarar,2.0
3499,2015-04-01,Ethiopia,Oromia,East Wellega,1.0
3501,2015-04-01,Ethiopia,SNNPR,Gedeo,1.0
3502,2015-04-01,Ethiopia,Oromia,Gujii,1.0
3506,2015-04-01,Ethiopia,Oromia,Ilubabor,1.0
582,2015-04-01,Ethiopia,Somali,Fafan,2.0
3510,2015-04-01,Ethiopia,Oromia,Kelem,1.0
584,2015-04-01,Ethiopia,Somali,Korahe,2.0
585,2015-04-01,Ethiopia,Somali,Liben,2.0
587,2015-04-01,Ethiopia,Amhara,North Wollo,2.0
3516,2015-04-01,Ethiopia,Gambela,Nuer,1.0
589,2015-04-01,Ethiopia,Somali,Sitti,2.0
593,2015-04-01,Ethiopia,Tigray,South Tigray,2.0
5024,2015-04-01,Ethiopia,Oromia,West Hararge,3.0
3529,2015-04-01,Ethiopia,Oromia,West Wellega,1.0
597,2015-04-01,Ethiopia,Afar,Awusi,2.0
599,2015-04-01,Ethiopia,Afar,Fanti,2.0
601,2015-04-01,Ethiopia,Somali,Shebelle,2.0
3539,2015-04-01,Ethiopia,Gambela,Itang,1.0
3540,2015-04-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
3542,2015-04-01,Ethiopia,Gambela,Agniwak,1.0
606,2015-04-01,Ethiopia,Oromia,East Hararge,2.0
607,2015-04-01,Ethiopia,Tigray,East Tigray,2.0
3545,2015-04-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
3546,2015-04-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
608,2015-04-01,Ethiopia,Afar,Kilbati,2.0
610,2015-04-01,Ethiopia,Somali,Nogob,2.0
611,2015-04-01,Ethiopia,Somali,Dollo,2.0
3485,2015-04-01,Ethiopia,SNNPR,Sheka,1.0
3487,2015-04-01,Ethiopia,SNNPR,Sidama,1.0
571,2015-04-01,Ethiopia,Somali,Afder,2.0
3825,2015-04-01,Ethiopia,SNNPR,Alaba,2.0
573,2015-04-01,Ethiopia,Oromia,Arsi,2.0
3492,2015-04-01,Ethiopia,SNNPR,Basketo,1.0
3493,2015-04-01,Ethiopia,SNNPR,Bench Maji,1.0
575,2015-04-01,Ethiopia,Tigray,Central Tigray,2.0
3495,2015-04-01,Ethiopia,SNNPR,Dawro,1.0
577,2015-04-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
3497,2015-04-01,Ethiopia,Amhara,East Gojam,1.0
3498,2015-04-01,Ethiopia,Oromia,East Shewa,1.0
3830,2015-04-01,Ethiopia,SNNPR,Gamo Gofa,2.0
3503,2015-04-01,Ethiopia,SNNPR,Gurage,1.0
3505,2015-04-01,Ethiopia,Oromia,Horo Guduru,1.0
3507,2015-04-01,Ethiopia,Oromia,Jimma,1.0
3508,2015-04-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
3509,2015-04-01,Ethiopia,SNNPR,Keffa,1.0
3511,2015-04-01,Ethiopia,SNNPR,Konta,1.0
3513,2015-04-01,Ethiopia,Gambela,Mezhenger,1.0
3514,2015-04-01,Ethiopia,Amhara,North Shewa,1.0
3517,2015-04-01,Ethiopia,Amhara,Oromia,1.0
3519,2015-04-01,Ethiopia,Amhara,South Gondar,1.0
3842,2015-04-01,Ethiopia,SNNPR,South Omo,2.0
3521,2015-04-01,Ethiopia,Amhara,South Wollo,1.0
3523,2015-04-01,Ethiopia,Amhara,Argoba,1.0
5022,2015-04-01,Ethiopia,Amhara,Wag Himra,3.0
3845,2015-04-01,Ethiopia,Oromia,West Arsi,2.0
3528,2015-04-01,Ethiopia,Oromia,West Shewa,1.0
3530,2015-04-01,Ethiopia,Tigray,West Tigray,1.0
3847,2015-04-01,Ethiopia,SNNPR,Wolayita,2.0
3532,2015-04-01,Ethiopia,SNNPR,Yem,1.0
5027,2015-04-01,Ethiopia,Afar,Gabi,3.0
600,2015-04-01,Ethiopia,Afar,Khari,2.0
3538,2015-04-01,Ethiopia,Tigray,Northwest Tigray,1.0
3543,2015-04-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
3548,2015-04-01,Ethiopia,Oromia,South West Shewa,1.0
3550,2015-04-01,Ethiopia,SNNPR,Hadiya,1.0
3552,2015-04-01,Ethiopia,SNNPR,Silltie,1.0
3504,2015-04-01,Ethiopia,Harari,Harari,1.0
3549,2015-04-01,Ethiopia,Amhara,North Gondar,1.0
3526,2015-04-01,Ethiopia,Amhara,West Gojam,1.0
3491,2015-04-01,Ethiopia,Amhara,Awi,1.0
3541,2015-04-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
3547,2015-04-01,Ethiopia,Addis Ababa,Region 14,1.0
612,2015-07-01,Ethiopia,SNNPR,Segen,2.0
613,2015-07-01,Ethiopia,Oromia,Bale,2.0
3648,2015-07-01,Ethiopia,Oromia,Borena,2.0
623,2015-07-01,Ethiopia,Somali,Jarar,2.0
2179,2015-07-01,Ethiopia,Oromia,East Wellega,1.0
2181,2015-07-01,Ethiopia,SNNPR,Gedeo,1.0
2182,2015-07-01,Ethiopia,Oromia,Gujii,1.0
2185,2015-07-01,Ethiopia,Oromia,Ilubabor,1.0
632,2015-07-01,Ethiopia,Somali,Fafan,2.0
2189,2015-07-01,Ethiopia,Oromia,Kelem,1.0
635,2015-07-01,Ethiopia,Somali,Korahe,2.0
3662,2015-07-01,Ethiopia,Somali,Liben,2.0
2336,2015-07-01,Ethiopia,Amhara,North Wollo,3.0
2193,2015-07-01,Ethiopia,Gambela,Nuer,1.0
6817,2015-07-01,Ethiopia,Somali,Sitti,3.0
644,2015-07-01,Ethiopia,Tigray,South Tigray,2.0
2345,2015-07-01,Ethiopia,Oromia,West Hararge,3.0
2201,2015-07-01,Ethiopia,Oromia,West Wellega,1.0
3674,2015-07-01,Ethiopia,Afar,Awusi,2.0
3676,2015-07-01,Ethiopia,Afar,Fanti,2.0
654,2015-07-01,Ethiopia,Somali,Shebelle,2.0
2206,2015-07-01,Ethiopia,Gambela,Itang,1.0
2207,2015-07-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2209,2015-07-01,Ethiopia,Gambela,Agniwak,1.0
659,2015-07-01,Ethiopia,Oromia,East Hararge,2.0
3683,2015-07-01,Ethiopia,Tigray,East Tigray,2.0
2211,2015-07-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2212,2015-07-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
3687,2015-07-01,Ethiopia,Afar,Kilbati,2.0
664,2015-07-01,Ethiopia,Somali,Nogob,2.0
666,2015-07-01,Ethiopia,Somali,Dollo,2.0
2166,2015-07-01,Ethiopia,SNNPR,Sheka,1.0
2168,2015-07-01,Ethiopia,SNNPR,Sidama,1.0
616,2015-07-01,Ethiopia,Somali,Afder,2.0
2324,2015-07-01,Ethiopia,SNNPR,Alaba,3.0
618,2015-07-01,Ethiopia,Oromia,Arsi,2.0
2172,2015-07-01,Ethiopia,SNNPR,Basketo,1.0
2173,2015-07-01,Ethiopia,SNNPR,Bench Maji,1.0
3652,2015-07-01,Ethiopia,Tigray,Central Tigray,2.0
2175,2015-07-01,Ethiopia,SNNPR,Dawro,1.0
3654,2015-07-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
2177,2015-07-01,Ethiopia,Amhara,East Gojam,1.0
2178,2015-07-01,Ethiopia,Oromia,East Shewa,1.0
2329,2015-07-01,Ethiopia,SNNPR,Gamo Gofa,3.0
2183,2015-07-01,Ethiopia,SNNPR,Gurage,1.0
2184,2015-07-01,Ethiopia,Oromia,Horo Guduru,1.0
2186,2015-07-01,Ethiopia,Oromia,Jimma,1.0
634,2015-07-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
2188,2015-07-01,Ethiopia,SNNPR,Keffa,1.0
2190,2015-07-01,Ethiopia,SNNPR,Konta,1.0
2191,2015-07-01,Ethiopia,Gambela,Mezhenger,1.0
2192,2015-07-01,Ethiopia,Amhara,North Shewa,1.0
639,2015-07-01,Ethiopia,Amhara,Oromia,2.0
641,2015-07-01,Ethiopia,Amhara,South Gondar,2.0
642,2015-07-01,Ethiopia,SNNPR,South Omo,2.0
643,2015-07-01,Ethiopia,Amhara,South Wollo,2.0
645,2015-07-01,Ethiopia,Amhara,Argoba,2.0
2343,2015-07-01,Ethiopia,Amhara,Wag Himra,3.0
2344,2015-07-01,Ethiopia,Oromia,West Arsi,3.0
2200,2015-07-01,Ethiopia,Oromia,West Shewa,1.0
2202,2015-07-01,Ethiopia,Tigray,West Tigray,1.0
2347,2015-07-01,Ethiopia,SNNPR,Wolayita,3.0
2204,2015-07-01,Ethiopia,SNNPR,Yem,1.0
6820,2015-07-01,Ethiopia,Afar,Gabi,3.0
3677,2015-07-01,Ethiopia,Afar,Khari,2.0
2205,2015-07-01,Ethiopia,Tigray,Northwest Tigray,1.0
2210,2015-07-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
2214,2015-07-01,Ethiopia,Oromia,South West Shewa,1.0
2216,2015-07-01,Ethiopia,SNNPR,Hadiya,1.0
2363,2015-07-01,Ethiopia,SNNPR,Silltie,3.0
3658,2015-07-01,Ethiopia,Harari,Harari,2.0
2215,2015-07-01,Ethiopia,Amhara,North Gondar,1.0
2199,2015-07-01,Ethiopia,Amhara,West Gojam,1.0
2171,2015-07-01,Ethiopia,Amhara,Awi,1.0
2208,2015-07-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
2213,2015-07-01,Ethiopia,Addis Ababa,Region 14,1.0
2219,2015-10-01,Ethiopia,SNNPR,Segen,1.0
669,2015-10-01,Ethiopia,Oromia,Bale,2.0
670,2015-10-01,Ethiopia,Oromia,Borena,2.0
678,2015-10-01,Ethiopia,Somali,Jarar,2.0
2231,2015-10-01,Ethiopia,Oromia,East Wellega,1.0
2233,2015-10-01,Ethiopia,SNNPR,Gedeo,1.0
2234,2015-10-01,Ethiopia,Oromia,Gujii,1.0
2237,2015-10-01,Ethiopia,Oromia,Ilubabor,1.0
685,2015-10-01,Ethiopia,Somali,Fafan,2.0
2241,2015-10-01,Ethiopia,Oromia,Kelem,1.0
688,2015-10-01,Ethiopia,Somali,Korahe,2.0
689,2015-10-01,Ethiopia,Somali,Liben,2.0
2290,2015-10-01,Ethiopia,Amhara,North Wollo,3.0
2245,2015-10-01,Ethiopia,Gambela,Nuer,1.0
6806,2015-10-01,Ethiopia,Somali,Sitti,4.0
2297,2015-10-01,Ethiopia,Tigray,South Tigray,3.0
2301,2015-10-01,Ethiopia,Oromia,West Hararge,3.0
2252,2015-10-01,Ethiopia,Oromia,West Wellega,1.0
2304,2015-10-01,Ethiopia,Afar,Awusi,3.0
2306,2015-10-01,Ethiopia,Afar,Fanti,3.0
708,2015-10-01,Ethiopia,Somali,Shebelle,2.0
2257,2015-10-01,Ethiopia,Gambela,Itang,1.0
2258,2015-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2260,2015-10-01,Ethiopia,Gambela,Agniwak,1.0
2310,2015-10-01,Ethiopia,Oromia,East Hararge,3.0
2311,2015-10-01,Ethiopia,Tigray,East Tigray,3.0
2262,2015-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2263,2015-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
2313,2015-10-01,Ethiopia,Afar,Kilbati,3.0
719,2015-10-01,Ethiopia,Somali,Nogob,2.0
721,2015-10-01,Ethiopia,Somali,Dollo,2.0
2221,2015-10-01,Ethiopia,SNNPR,Sheka,1.0
2223,2015-10-01,Ethiopia,SNNPR,Sidama,1.0
672,2015-10-01,Ethiopia,Somali,Afder,2.0
2275,2015-10-01,Ethiopia,SNNPR,Alaba,3.0
674,2015-10-01,Ethiopia,Oromia,Arsi,2.0
2225,2015-10-01,Ethiopia,SNNPR,Basketo,1.0
2226,2015-10-01,Ethiopia,SNNPR,Bench Maji,1.0
2277,2015-10-01,Ethiopia,Tigray,Central Tigray,3.0
