,date,ADMIN0,ADMIN1,ADMIN2,CS
1919,2019-02-01,Ethiopia,SNNPR,Sidama,1.0
1377,2019-02-01,Ethiopia,Somali,Afder,2.0
1921,2019-02-01,Ethiopia,SNNPR,Alaba,1.0
1922,2019-02-01,Ethiopia,Oromia,Arsi,1.0
1924,2019-02-01,Ethiopia,SNNPR,Basketo,1.0
1925,2019-02-01,Ethiopia,SNNPR,Bench Maji,1.0
5043,2019-02-01,Ethiopia,Tigray,Central Tigray,1.0
1927,2019-02-01,Ethiopia,SNNPR,Dawro,1.0
5045,2019-02-01,Ethiopia,Dire Dawa,Dire Dawa,1.0
1928,2019-02-01,Ethiopia,Amhara,East Gojam,1.0
1929,2019-02-01,Ethiopia,Oromia,East Shewa,1.0
1931,2019-02-01,Ethiopia,SNNPR,Gamo Gofa,1.0
1934,2019-02-01,Ethiopia,SNNPR,Gurage,1.0
1935,2019-02-01,Ethiopia,Oromia,Horo Guduru,1.0
1937,2019-02-01,Ethiopia,Oromia,Jimma,1.0
5053,2019-02-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
1939,2019-02-01,Ethiopia,SNNPR,Keffa,1.0
1941,2019-02-01,Ethiopia,SNNPR,Konta,1.0
1942,2019-02-01,Ethiopia,Gambela,Mezhenger,1.0
1943,2019-02-01,Ethiopia,Amhara,North Shewa,1.0
1946,2019-02-01,Ethiopia,Amhara,Oromia,1.0
1947,2019-02-01,Ethiopia,Amhara,South Gondar,1.0
1407,2019-02-01,Ethiopia,SNNPR,South Omo,2.0
1949,2019-02-01,Ethiopia,Amhara,South Wollo,1.0
1951,2019-02-01,Ethiopia,Amhara,Argoba,1.0
5059,2019-02-01,Ethiopia,Amhara,Wag Himra,1.0
1953,2019-02-01,Ethiopia,Oromia,West Arsi,1.0
1956,2019-02-01,Ethiopia,Oromia,West Shewa,1.0
1958,2019-02-01,Ethiopia,Tigray,West Tigray,1.0
1959,2019-02-01,Ethiopia,SNNPR,Wolayita,1.0
1960,2019-02-01,Ethiopia,SNNPR,Yem,1.0
1417,2019-02-01,Ethiopia,Afar,Gabi,2.0
1419,2019-02-01,Ethiopia,Afar,Khari,2.0
1965,2019-02-01,Ethiopia,Tigray,Northwest Tigray,1.0
1970,2019-02-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
1975,2019-02-01,Ethiopia,Oromia,South West Shewa,1.0
1978,2019-02-01,Ethiopia,SNNPR,Hadiya,1.0
1979,2019-02-01,Ethiopia,SNNPR,Silltie,1.0
1393,2019-02-01,Ethiopia,Harari,Harari,2.0
1977,2019-02-01,Ethiopia,Amhara,North Gondar,1.0
1954,2019-02-01,Ethiopia,Amhara,West Gojam,1.0
1923,2019-02-01,Ethiopia,Amhara,Awi,1.0
1968,2019-02-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
1974,2019-02-01,Ethiopia,Addis Ababa,Region 14,1.0
31,2010-10-01,Ethiopia,SNNPR,Segen,2.0
32,2010-10-01,Ethiopia,Oromia,Bale,2.0
34,2010-10-01,Ethiopia,Oromia,Borena,2.0
43,2010-10-01,Ethiopia,Somali,Jarar,2.0
4094,2010-10-01,Ethiopia,Oromia,East Wellega,1.0
49,2010-10-01,Ethiopia,SNNPR,Gedeo,2.0
