,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
91,2009-10-01,3,Ethiopia,Oromia,Guji
199,2009-10-01,1,Ethiopia,SNNP,Kefa
94,2009-10-01,3,Ethiopia,SNNP,Konso
202,2009-10-01,1,Ethiopia,SNNP,Konta Special
96,2009-10-01,3,Ethiopia,Somali,Liban
272,2009-10-01,2,Ethiopia,SNNP,Mirab Omo
99,2009-10-01,3,Ethiopia,Somali,Nogob
276,2009-10-01,2,Ethiopia,Amhara,North Wello
102,2009-10-01,3,Ethiopia,Gambela,Nuwer
279,2009-10-01,2,Ethiopia,Amhara,Oromia
104,2009-10-01,3,Ethiopia,Somali,Shabelle
280,2009-10-01,2,Ethiopia,SNNP,Sidama
283,2009-10-01,2,Ethiopia,Tigray,South Eastern
284,2009-10-01,2,Ethiopia,Amhara,South Gondar
285,2009-10-01,2,Ethiopia,SNNP,South Omo
286,2009-10-01,2,Ethiopia,Amhara,South Wello
288,2009-10-01,2,Ethiopia,Tigray,Southern
289,2009-10-01,2,Ethiopia,Amhara,Wag Hamra
290,2009-10-01,2,Ethiopia,Oromia,West Arsi
291,2009-10-01,2,Ethiopia,Oromia,West Guji
292,2009-10-01,2,Ethiopia,Oromia,West Hararge
112,2009-10-01,3,Ethiopia,Afar,Zone 1 (Awsi Rasu)
113,2009-10-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
115,2009-10-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
83,2009-10-01,3,Ethiopia,Somali,Doolo
89,2009-10-01,3,Ethiopia,Somali,Fafan
93,2009-10-01,3,Ethiopia,Somali,Jarar
95,2009-10-01,3,Ethiopia,Somali,Korahe
185,2009-10-01,1,Ethiopia,Amhara,East Gojam
88,2009-10-01,3,Ethiopia,Gambela,Etang Special woreda
190,2009-10-01,1,Ethiopia,Oromia,Finfine Special
271,2009-10-01,2,Ethiopia,Tigray,Mekele Special
274,2009-10-01,2,Ethiopia,Amhara,North Shewa
387,2009-10-01,99,Ethiopia,Addis Ababa,Region 14
105,2009-10-01,3,Ethiopia,Somali,Siti
220,2009-10-01,1,Ethiopia,Amhara,West Gojam
179,2009-10-01,1,Ethiopia,SNNP,Bench Maji
243,2009-10-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
247,2009-10-01,2,Ethiopia,Oromia,East Shewa
197,2009-10-01,1,Ethiopia,Oromia,Ilu Aba Bora
205,2009-10-01,1,Ethiopia,Gambela,Mejenger
114,2009-10-01,3,Ethiopia,Afar,Zone 3 (Gabi Rasu)
116,2009-10-01,3,Ethiopia,Afar,Zone 5 (Hari Rasu)
175,2009-10-01,1,Ethiopia,Benishangul Gumz,Asosa
176,2009-10-01,1,Ethiopia,Amhara,Awi
181,2009-10-01,1,Ethiopia,Oromia,Buno Bedele
183,2009-10-01,1,Ethiopia,Amhara,Central Gondar
241,2009-10-01,2,Ethiopia,SNNP,Dawuro
187,2009-10-01,1,Ethiopia,Oromia,East Wellega
258,2009-10-01,2,Ethiopia,SNNP,Guraghe
259,2009-10-01,2,Ethiopia,SNNP,Hadiya
196,2009-10-01,1,Ethiopia,Oromia,Horo Gudru Wellega
198,2009-10-01,1,Ethiopia,Oromia,Jimma
200,2009-10-01,1,Ethiopia,Oromia,Kelem Wellega
201,2009-10-01,1,Ethiopia,Benishangul Gumz,Kemashi
204,2009-10-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
206,2009-10-01,1,Ethiopia,Benishangul Gumz,Metekel
273,2009-10-01,2,Ethiopia,Amhara,North Gondar
275,2009-10-01,2,Ethiopia,Oromia,North Shewa
277,2009-10-01,2,Ethiopia,Tigray,North Western
213,2009-10-01,1,Ethiopia,SNNP,Sheka
218,2009-10-01,1,Ethiopia,Oromia,South West Shewa
221,2009-10-01,1,Ethiopia,Amhara,West Gondar
293,2009-10-01,2,Ethiopia,Oromia,West Shewa
224,2009-10-01,1,Ethiopia,Oromia,West Wellega
225,2009-10-01,1,Ethiopia,Tigray,Western
226,2009-10-01,1,Ethiopia,SNNP,Yem Special
238,2009-10-01,2,Ethiopia,Tigray,Central
244,2009-10-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
260,2009-10-01,2,Ethiopia,SNNP,Halaba Special
261,2009-10-01,2,Ethiopia,Harari,Harari
266,2009-10-01,2,Ethiopia,SNNP,Kembata Tibaro
281,2009-10-01,2,Ethiopia,SNNP,Siltie
295,2009-10-01,2,Ethiopia,SNNP,Wolayita
