,date,CS,ADMIN0,ADMIN1,ADMIN2,ML1,ML2,admin1Name_en,admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
19,2019-02-01,3.0,Ethiopia,Afar,Fanti,3.0,2.0,Afar,Fanti,276855.0,276855.0,0.0,0.0,276855.0,0.0,0.0,276855.0,0.0,0.0,276855.0,0.0,0.0,276855.0,0.0,276855.0,0.0,0.0,0.0,276855.0
20,2019-02-01,2.0,Ethiopia,Somali,Shebelle,3.0,2.0,Somali,Shebelle,647430.0,647430.0,0.0,647430.0,0.0,0.0,0.0,647430.0,0.0,0.0,647430.0,0.0,0.0,647430.0,0.0,647430.0,0.0,0.0,0.0,647430.0
21,2019-02-01,1.0,Ethiopia,Gambela,Itang,1.0,1.0,Gambela,Itang,50260.0,50260.0,50260.0,0.0,0.0,0.0,0.0,50260.0,50260.0,0.0,0.0,0.0,0.0,50260.0,50260.0,0.0,0.0,0.0,0.0,50260.0
22,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
23,2019-02-01,1.0,Ethiopia,Gambela,Agniwak,1.0,1.0,Gambela,Agniwak,164054.0,164054.0,164054.0,0.0,0.0,0.0,0.0,164054.0,164054.0,0.0,0.0,0.0,0.0,164054.0,164054.0,0.0,0.0,0.0,0.0,164054.0
24,2019-02-01,3.0,Ethiopia,Oromia,East Hararge,3.0,3.0,Oromia,East Hararge,3739861.0,3739861.0,0.0,0.0,3739861.0,0.0,0.0,3739861.0,0.0,0.0,3739861.0,0.0,0.0,3739861.0,0.0,0.0,3739861.0,0.0,0.0,3739861.0
25,2019-02-01,1.0,Ethiopia,Tigray,East Tigray,2.0,2.0,Tigray,East Tigray,940053.0,940053.0,940053.0,0.0,0.0,0.0,0.0,940053.0,0.0,940053.0,0.0,0.0,0.0,940053.0,0.0,940053.0,0.0,0.0,0.0,940053.0
26,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
27,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Metekel,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
28,2019-02-01,3.0,Ethiopia,Afar,Kilbati,3.0,3.0,Afar,Kilbati,493764.0,493764.0,0.0,0.0,493764.0,0.0,0.0,493764.0,0.0,0.0,493764.0,0.0,0.0,493764.0,0.0,0.0,493764.0,0.0,0.0,493764.0
29,2019-02-01,3.0,Ethiopia,Somali,Nogob,2.0,2.0,Somali,Nogob,217220.0,217220.0,0.0,0.0,217220.0,0.0,0.0,217220.0,0.0,217220.0,0.0,0.0,0.0,217220.0,0.0,217220.0,0.0,0.0,0.0,217220.0
30,2019-02-01,3.0,Ethiopia,Somali,Dollo,3.0,3.0,Somali,Dollo,425824.0,425824.0,0.0,0.0,425824.0,0.0,0.0,425824.0,0.0,0.0,425824.0,0.0,0.0,425824.0,0.0,0.0,425824.0,0.0,0.0,425824.0
31,2019-02-01,1.0,Ethiopia,SNNPR,Sheka,1.0,1.0,SNNPR,Sheka,274212.0,274212.0,274212.0,0.0,0.0,0.0,0.0,274212.0,274212.0,0.0,0.0,0.0,0.0,274212.0,274212.0,0.0,0.0,0.0,0.0,274212.0
32,2019-02-01,1.0,Ethiopia,SNNPR,Sidama,2.0,2.0,SNNPR,Sidama,4212331.0,4212331.0,4212331.0,0.0,0.0,0.0,0.0,4212331.0,0.0,4212331.0,0.0,0.0,0.0,4212331.0,0.0,4212331.0,0.0,0.0,0.0,4212331.0
33,2019-02-01,2.0,Ethiopia,Somali,Afder,3.0,2.0,Somali,Afder,654828.0,654828.0,0.0,654828.0,0.0,0.0,0.0,654828.0,0.0,0.0,654828.0,0.0,0.0,654828.0,0.0,654828.0,0.0,0.0,0.0,654828.0
34,2019-02-01,1.0,Ethiopia,SNNPR,Alaba,2.0,3.0,SNNPR,Alaba,658130.0,658130.0,658130.0,0.0,0.0,0.0,0.0,658130.0,0.0,658130.0,0.0,0.0,0.0,658130.0,0.0,0.0,658130.0,0.0,0.0,658130.0
35,2019-02-01,1.0,Ethiopia,Oromia,Arsi,1.0,1.0,Oromia,Arsi,3645492.0,3645492.0,3645492.0,0.0,0.0,0.0,0.0,3645492.0,3645492.0,0.0,0.0,0.0,0.0,3645492.0,3645492.0,0.0,0.0,0.0,0.0,3645492.0
36,2019-02-01,1.0,Ethiopia,SNNPR,Basketo,1.0,1.0,SNNPR,Basketo,75512.0,75512.0,75512.0,0.0,0.0,0.0,0.0,75512.0,75512.0,0.0,0.0,0.0,0.0,75512.0,75512.0,0.0,0.0,0.0,0.0,75512.0
37,2019-02-01,1.0,Ethiopia,SNNPR,Bench Maji,1.0,1.0,SNNPR,Bench Maji,603595.0,603595.0,603595.0,0.0,0.0,0.0,0.0,603595.0,603595.0,0.0,0.0,0.0,0.0,603595.0,603595.0,0.0,0.0,0.0,0.0,603595.0
38,2019-02-01,1.0,Ethiopia,Tigray,Central Tigray,2.0,1.0,Tigray,Central Tigray,1384454.0,1384454.0,1384454.0,0.0,0.0,0.0,0.0,1384454.0,0.0,1384454.0,0.0,0.0,0.0,1384454.0,1384454.0,0.0,0.0,0.0,0.0,1384454.0
39,2019-02-01,1.0,Ethiopia,SNNPR,Dawro,1.0,1.0,SNNPR,Dawro,643931.0,643931.0,643931.0,0.0,0.0,0.0,0.0,643931.0,643931.0,0.0,0.0,0.0,0.0,643931.0,643931.0,0.0,0.0,0.0,0.0,643931.0
40,2019-02-01,1.0,Ethiopia,Dire Dawa,Dire Dawa,2.0,2.0,Dire Dawa,Dire Dawa,188933.0,188933.0,188933.0,0.0,0.0,0.0,0.0,188933.0,0.0,188933.0,0.0,0.0,0.0,188933.0,0.0,188933.0,0.0,0.0,0.0,188933.0
41,2019-02-01,1.0,Ethiopia,Dire Dawa,Dire Dawa,2.0,2.0,Dire Dawa,Dire Dawa,319985.0,319985.0,319985.0,0.0,0.0,0.0,0.0,319985.0,0.0,319985.0,0.0,0.0,0.0,319985.0,0.0,319985.0,0.0,0.0,0.0,319985.0
42,2019-02-01,1.0,Ethiopia,Amhara,East Gojam,1.0,1.0,Amhara,East Gojam,2672621.0,2672621.0,2672621.0,0.0,0.0,0.0,0.0,2672621.0,2672621.0,0.0,0.0,0.0,0.0,2672621.0,2672621.0,0.0,0.0,0.0,0.0,2672621.0
43,2019-02-01,1.0,Ethiopia,Oromia,East Shewa,1.0,2.0,Oromia,East Shewa,2234419.0,2234419.0,2234419.0,0.0,0.0,0.0,0.0,2234419.0,2234419.0,0.0,0.0,0.0,0.0,2234419.0,0.0,2234419.0,0.0,0.0,0.0,2234419.0
44,2019-02-01,1.0,Ethiopia,SNNPR,Gamo Gofa,1.0,1.0,SNNPR,Gamo Gofa,1462777.0,1462777.0,1462777.0,0.0,0.0,0.0,0.0,1462777.0,1462777.0,0.0,0.0,0.0,0.0,1462777.0,1462777.0,0.0,0.0,0.0,0.0,1462777.0
45,2019-02-01,1.0,Ethiopia,SNNPR,Gamo Gofa,1.0,1.0,SNNPR,Gamo Gofa,623589.0,623589.0,623589.0,0.0,0.0,0.0,0.0,623589.0,623589.0,0.0,0.0,0.0,0.0,623589.0,623589.0,0.0,0.0,0.0,0.0,623589.0
46,2019-02-01,1.0,Ethiopia,SNNPR,Gurage,1.0,1.0,SNNPR,Gurage,1882107.0,1882107.0,1882107.0,0.0,0.0,0.0,0.0,1882107.0,1882107.0,0.0,0.0,0.0,0.0,1882107.0,1882107.0,0.0,0.0,0.0,0.0,1882107.0
47,2019-02-01,1.0,Ethiopia,Oromia,Horo Guduru,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
48,2019-02-01,1.0,Ethiopia,Oromia,Jimma,1.0,1.0,Oromia,Jimma,3672640.0,3672640.0,3672640.0,0.0,0.0,0.0,0.0,3672640.0,3672640.0,0.0,0.0,0.0,0.0,3672640.0,3672640.0,0.0,0.0,0.0,0.0,3672640.0
49,2019-02-01,1.0,Ethiopia,SNNPR,Kembata Tembaro,2.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
50,2019-02-01,1.0,Ethiopia,SNNPR,Keffa,1.0,1.0,SNNPR,Keffa,1053546.0,1053546.0,1053546.0,0.0,0.0,0.0,0.0,1053546.0,1053546.0,0.0,0.0,0.0,0.0,1053546.0,1053546.0,0.0,0.0,0.0,0.0,1053546.0
51,2019-02-01,1.0,Ethiopia,SNNPR,Konta,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
52,2019-02-01,1.0,Ethiopia,Gambela,Mezhenger,1.0,1.0,Gambela,Mezhenger,81617.0,81617.0,81617.0,0.0,0.0,0.0,0.0,81617.0,81617.0,0.0,0.0,0.0,0.0,81617.0,81617.0,0.0,0.0,0.0,0.0,81617.0
53,2019-02-01,1.0,Ethiopia,Amhara,North Shewa,1.0,1.0,Amhara,North Shewa,2293091.0,2293091.0,2293091.0,0.0,0.0,0.0,0.0,2293091.0,2293091.0,0.0,0.0,0.0,0.0,2293091.0,2293091.0,0.0,0.0,0.0,0.0,2293091.0
54,2019-02-01,1.0,Ethiopia,Amhara,Oromia,1.0,1.0,Amhara,Oromia,569808.0,569808.0,569808.0,0.0,0.0,0.0,0.0,569808.0,569808.0,0.0,0.0,0.0,0.0,569808.0,569808.0,0.0,0.0,0.0,0.0,569808.0
55,2019-02-01,1.0,Ethiopia,Amhara,South Gondar,1.0,1.0,Amhara,South Gondar,2526963.0,2526963.0,2526963.0,0.0,0.0,0.0,0.0,2526963.0,2526963.0,0.0,0.0,0.0,0.0,2526963.0,2526963.0,0.0,0.0,0.0,0.0,2526963.0
56,2019-02-01,2.0,Ethiopia,SNNPR,South Omo,2.0,2.0,SNNPR,South Omo,754134.0,754134.0,0.0,754134.0,0.0,0.0,0.0,754134.0,0.0,754134.0,0.0,0.0,0.0,754134.0,0.0,754134.0,0.0,0.0,0.0,754134.0
57,2019-02-01,1.0,Ethiopia,Amhara,South Wollo,2.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
58,2019-02-01,1.0,Ethiopia,Amhara,Argoba,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
59,2019-02-01,1.0,Ethiopia,Amhara,Wag Himra,2.0,3.0,Amhara,Wag Himra,516457.0,516457.0,516457.0,0.0,0.0,0.0,0.0,516457.0,0.0,516457.0,0.0,0.0,0.0,516457.0,0.0,0.0,516457.0,0.0,0.0,516457.0
60,2019-02-01,1.0,Ethiopia,Oromia,West Arsi,1.0,1.0,Oromia,West Arsi,2868933.0,2868933.0,2868933.0,0.0,0.0,0.0,0.0,2868933.0,2868933.0,0.0,0.0,0.0,0.0,2868933.0,2868933.0,0.0,0.0,0.0,0.0,2868933.0
61,2019-02-01,1.0,Ethiopia,Oromia,West Shewa,1.0,1.0,Oromia,West Shewa,2773901.0,2773901.0,2773901.0,0.0,0.0,0.0,0.0,2773901.0,2773901.0,0.0,0.0,0.0,0.0,2773901.0,2773901.0,0.0,0.0,0.0,0.0,2773901.0
62,2019-02-01,1.0,Ethiopia,Tigray,West Tigray,1.0,1.0,Tigray,West Tigray,440553.0,440553.0,440553.0,0.0,0.0,0.0,0.0,440553.0,440553.0,0.0,0.0,0.0,0.0,440553.0,440553.0,0.0,0.0,0.0,0.0,440553.0
63,2019-02-01,1.0,Ethiopia,SNNPR,Wolayita,2.0,2.0,SNNPR,Wolayita,1999292.0,1999292.0,1999292.0,0.0,0.0,0.0,0.0,1999292.0,0.0,1999292.0,0.0,0.0,0.0,1999292.0,0.0,1999292.0,0.0,0.0,0.0,1999292.0
64,2019-02-01,1.0,Ethiopia,SNNPR,Yem,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
65,2019-02-01,2.0,Ethiopia,Afar,Gabi,2.0,2.0,Afar,Gabi,281357.0,281357.0,0.0,281357.0,0.0,0.0,0.0,281357.0,0.0,281357.0,0.0,0.0,0.0,281357.0,0.0,281357.0,0.0,0.0,0.0,281357.0
66,2019-02-01,2.0,Ethiopia,Afar,Khari,2.0,2.0,Afar,Khari,209402.0,209402.0,0.0,209402.0,0.0,0.0,0.0,209402.0,0.0,209402.0,0.0,0.0,0.0,209402.0,0.0,209402.0,0.0,0.0,0.0,209402.0
67,2019-02-01,1.0,Ethiopia,Tigray,Northwest Tigray,1.0,1.0,Tigray,Northwest Tigray,893262.0,893262.0,893262.0,0.0,0.0,0.0,0.0,893262.0,893262.0,0.0,0.0,0.0,0.0,893262.0,893262.0,0.0,0.0,0.0,0.0,893262.0
68,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Asosa,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
