,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
6616,2010-10-01,1.0,Ethiopia,Amhara,Awi
6642,2010-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
6647,2010-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
75,2009-10-01,4.0,Ethiopia,Somali,Afder
122,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
123,2009-10-01,3.0,Ethiopia,SNNP,Alle
124,2009-10-01,3.0,Ethiopia,SNNP,Amaro
125,2009-10-01,3.0,Ethiopia,Oromia,Arsi
6778,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
126,2009-10-01,3.0,Ethiopia,Oromia,Bale
6781,2009-10-01,1.0,Ethiopia,SNNP,Basketo
6782,2009-10-01,1.0,Ethiopia,SNNP,Bench Maji
129,2009-10-01,3.0,Ethiopia,Oromia,Borena
131,2009-10-01,3.0,Ethiopia,SNNP,Burji
6835,2009-10-01,2.0,Ethiopia,Tigray,Central
134,2009-10-01,3.0,Ethiopia,Somali,Daawa
6837,2009-10-01,2.0,Ethiopia,SNNP,Dawuro
136,2009-10-01,3.0,Ethiopia,SNNP,Derashe
6838,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
80,2009-10-01,4.0,Ethiopia,Somali,Doolo
6787,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
140,2009-10-01,3.0,Ethiopia,Oromia,East Hararge
6788,2009-10-01,1.0,Ethiopia,Oromia,East Shewa
6789,2009-10-01,1.0,Ethiopia,Oromia,East Wellega
82,2009-10-01,4.0,Ethiopia,Somali,Erer
146,2009-10-01,3.0,Ethiopia,Somali,Fafan
6791,2009-10-01,1.0,Ethiopia,Oromia,Finfine Special
147,2009-10-01,3.0,Ethiopia,SNNP,Gamo
148,2009-10-01,3.0,Ethiopia,SNNP,Gedeo
6848,2009-10-01,2.0,Ethiopia,SNNP,Gofa
150,2009-10-01,3.0,Ethiopia,Oromia,Guji
151,2009-10-01,3.0,Ethiopia,SNNP,Guraghe
152,2009-10-01,3.0,Ethiopia,SNNP,Hadiya
153,2009-10-01,3.0,Ethiopia,SNNP,Halaba Special
6797,2009-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6798,2009-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
84,2009-10-01,4.0,Ethiopia,Somali,Jarar
6799,2009-10-01,1.0,Ethiopia,Oromia,Jimma
6800,2009-10-01,1.0,Ethiopia,SNNP,Kefa
6802,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
160,2009-10-01,3.0,Ethiopia,SNNP,Kembata Tibaro
161,2009-10-01,3.0,Ethiopia,SNNP,Konso
6803,2009-10-01,1.0,Ethiopia,SNNP,Konta Special
85,2009-10-01,4.0,Ethiopia,Somali,Korahe
86,2009-10-01,4.0,Ethiopia,Somali,Liban
6805,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6806,2009-10-01,1.0,Ethiopia,Gambela,Mejenger
6859,2009-10-01,2.0,Ethiopia,SNNP,Mirab Omo
87,2009-10-01,4.0,Ethiopia,Somali,Nogob
6861,2009-10-01,2.0,Ethiopia,Amhara,North Shewa
170,2009-10-01,3.0,Ethiopia,Amhara,North Wello
6864,2009-10-01,2.0,Ethiopia,Tigray,North Western
173,2009-10-01,3.0,Ethiopia,Amhara,Oromia
89,2009-10-01,4.0,Ethiopia,Somali,Shabelle
6814,2009-10-01,1.0,Ethiopia,SNNP,Sheka
175,2009-10-01,3.0,Ethiopia,SNNP,Sidama
176,2009-10-01,3.0,Ethiopia,SNNP,Siltie
177,2009-10-01,3.0,Ethiopia,Somali,Siti
6816,2009-10-01,1.0,Ethiopia,Amhara,South Gondar
180,2009-10-01,3.0,Ethiopia,SNNP,South Omo
181,2009-10-01,3.0,Ethiopia,Amhara,South Wello
6819,2009-10-01,1.0,Ethiopia,Oromia,South West Shewa
183,2009-10-01,3.0,Ethiopia,Tigray,Southern
184,2009-10-01,3.0,Ethiopia,Amhara,Wag Hamra
185,2009-10-01,3.0,Ethiopia,Oromia,West Arsi
186,2009-10-01,3.0,Ethiopia,Oromia,West Guji
187,2009-10-01,3.0,Ethiopia,Oromia,West Hararge
6877,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
6825,2009-10-01,1.0,Ethiopia,Oromia,West Wellega
6826,2009-10-01,1.0,Ethiopia,Tigray,Western
190,2009-10-01,3.0,Ethiopia,SNNP,Wolayita
6827,2009-10-01,1.0,Ethiopia,SNNP,Yem Special
