,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
1874,2011-07-01,3.0,Ethiopia,Somali,Afder
1911,2011-07-01,3.0,Ethiopia,Somali,Liban
94,2011-07-01,4.0,Ethiopia,Somali,Shabelle
6362,2011-07-01,2.0,Ethiopia,Gambela,Agnewak
80,2011-07-01,4.0,Ethiopia,Oromia,Bale
81,2011-07-01,4.0,Ethiopia,Oromia,Borena
82,2011-07-01,4.0,Ethiopia,Somali,Daawa
83,2011-07-01,4.0,Ethiopia,Somali,Doolo
1890,2011-07-01,3.0,Ethiopia,Oromia,East Hararge
85,2011-07-01,4.0,Ethiopia,Somali,Erer
1895,2011-07-01,3.0,Ethiopia,Somali,Fafan
1904,2011-07-01,3.0,Ethiopia,Somali,Jarar
89,2011-07-01,4.0,Ethiopia,Somali,Korahe
92,2011-07-01,4.0,Ethiopia,Somali,Nogob
1918,2011-07-01,3.0,Ethiopia,Gambela,Nuwer
1925,2011-07-01,3.0,Ethiopia,SNNP,South Omo
6053,2011-07-01,1.0,Ethiopia,Amhara,East Gojam
6057,2011-07-01,1.0,Ethiopia,Oromia,Finfine Special
6400,2011-07-01,2.0,Ethiopia,Tigray,Mekele Special
6404,2011-07-01,2.0,Ethiopia,Amhara,North Shewa
6406,2011-07-01,2.0,Ethiopia,Amhara,North Wello
4995,2011-07-01,99.0,Ethiopia,Addis Ababa,Region 14
1923,2011-07-01,3.0,Ethiopia,Somali,Siti
6414,2011-07-01,2.0,Ethiopia,Tigray,South Eastern
6417,2011-07-01,2.0,Ethiopia,Amhara,South Wello
6089,2011-07-01,1.0,Ethiopia,Amhara,West Gojam
1929,2011-07-01,3.0,Ethiopia,Oromia,West Guji
1876,2011-07-01,3.0,Ethiopia,SNNP,Alle
1877,2011-07-01,3.0,Ethiopia,SNNP,Amaro
6049,2011-07-01,1.0,Ethiopia,SNNP,Bench Maji
1882,2011-07-01,3.0,Ethiopia,SNNP,Burji
1887,2011-07-01,3.0,Ethiopia,SNNP,Derashe
6380,2011-07-01,2.0,Ethiopia,Gambela,Etang Special woreda
1896,2011-07-01,3.0,Ethiopia,SNNP,Gamo
1899,2011-07-01,3.0,Ethiopia,Oromia,Guji
6064,2011-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
1908,2011-07-01,3.0,Ethiopia,SNNP,Konso
6399,2011-07-01,2.0,Ethiopia,Gambela,Mejenger
6073,2011-07-01,1.0,Ethiopia,SNNP,Mirab Omo
1933,2011-07-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
1878,2011-07-01,3.0,Ethiopia,Oromia,Arsi
1928,2011-07-01,3.0,Ethiopia,Oromia,West Arsi
1930,2011-07-01,3.0,Ethiopia,Oromia,West Hararge
6377,2011-07-01,2.0,Ethiopia,Oromia,East Shewa
1897,2011-07-01,3.0,Ethiopia,SNNP,Gedeo
4993,2011-07-01,99.0,Ethiopia,Harari,Harari
6409,2011-07-01,2.0,Ethiopia,Amhara,Oromia
1921,2011-07-01,3.0,Ethiopia,SNNP,Sidama
6415,2011-07-01,2.0,Ethiopia,Amhara,South Gondar
1926,2011-07-01,3.0,Ethiopia,Tigray,Southern
1927,2011-07-01,3.0,Ethiopia,Amhara,Wag Hamra
1935,2011-07-01,3.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
1936,2011-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
1937,2011-07-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
6371,2011-07-01,2.0,Ethiopia,SNNP,Dawuro
1901,2011-07-01,3.0,Ethiopia,SNNP,Hadiya
1902,2011-07-01,3.0,Ethiopia,SNNP,Halaba Special
1907,2011-07-01,3.0,Ethiopia,SNNP,Kembata Tibaro
1931,2011-07-01,3.0,Ethiopia,SNNP,Wolayita
6048,2011-07-01,1.0,Ethiopia,SNNP,Basketo
1898,2011-07-01,3.0,Ethiopia,SNNP,Gofa
6387,2011-07-01,2.0,Ethiopia,SNNP,Guraghe
6065,2011-07-01,1.0,Ethiopia,Oromia,Jimma
6412,2011-07-01,2.0,Ethiopia,SNNP,Siltie
6095,2011-07-01,1.0,Ethiopia,SNNP,Yem Special
6369,2011-07-01,2.0,Ethiopia,Tigray,Central
6051,2011-07-01,1.0,Ethiopia,Amhara,Central Gondar
6379,2011-07-01,2.0,Ethiopia,Tigray,Eastern
6066,2011-07-01,1.0,Ethiopia,SNNP,Kefa
6069,2011-07-01,1.0,Ethiopia,SNNP,Konta Special
6403,2011-07-01,2.0,Ethiopia,Amhara,North Gondar
6407,2011-07-01,2.0,Ethiopia,Tigray,North Western
1934,2011-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
6373,2011-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
6374,2011-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
6063,2011-07-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6398,2011-07-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6086,2011-07-01,1.0,Ethiopia,Oromia,South West Shewa
6424,2011-07-01,2.0,Ethiopia,Oromia,West Shewa
6094,2011-07-01,1.0,Ethiopia,Tigray,Western
6365,2011-07-01,2.0,Ethiopia,Benishangul Gumz,Asosa
6047,2011-07-01,1.0,Ethiopia,Amhara,Awi
6050,2011-07-01,1.0,Ethiopia,Oromia,Buno Bedele
6055,2011-07-01,1.0,Ethiopia,Oromia,East Wellega
6067,2011-07-01,1.0,Ethiopia,Oromia,Kelem Wellega
6068,2011-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
6072,2011-07-01,1.0,Ethiopia,Benishangul Gumz,Metekel
6080,2011-07-01,1.0,Ethiopia,SNNP,Sheka
6090,2011-07-01,1.0,Ethiopia,Amhara,West Gondar
6093,2011-07-01,1.0,Ethiopia,Oromia,West Wellega
3,2009-07-01,4.0,Ethiopia,Somali,Afder
14,2009-07-01,4.0,Ethiopia,Somali,Liban
17,2009-07-01,4.0,Ethiopia,Somali,Shabelle
4437,2009-07-01,3.0,Ethiopia,Gambela,Agnewak
4441,2009-07-01,3.0,Ethiopia,Oromia,Bale
4444,2009-07-01,3.0,Ethiopia,Oromia,Borena
4449,2009-07-01,3.0,Ethiopia,Somali,Daawa
8,2009-07-01,4.0,Ethiopia,Somali,Doolo
4454,2009-07-01,3.0,Ethiopia,Oromia,East Hararge
10,2009-07-01,4.0,Ethiopia,Somali,Erer
4460,2009-07-01,3.0,Ethiopia,Somali,Fafan
12,2009-07-01,4.0,Ethiopia,Somali,Jarar
13,2009-07-01,4.0,Ethiopia,Somali,Korahe
15,2009-07-01,4.0,Ethiopia,Somali,Nogob
4486,2009-07-01,3.0,Ethiopia,Gambela,Nuwer
4494,2009-07-01,3.0,Ethiopia,SNNP,South Omo
6538,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
6542,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special
4479,2009-07-01,3.0,Ethiopia,Tigray,Mekele Special
6718,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
4484,2009-07-01,3.0,Ethiopia,Amhara,North Wello
29,2009-07-01,99.0,Ethiopia,Addis Ababa,Region 14
4491,2009-07-01,3.0,Ethiopia,Somali,Siti
4492,2009-07-01,3.0,Ethiopia,Tigray,South Eastern
4495,2009-07-01,3.0,Ethiopia,Amhara,South Wello
6572,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
4500,2009-07-01,3.0,Ethiopia,Oromia,West Guji
4438,2009-07-01,3.0,Ethiopia,SNNP,Alle
4439,2009-07-01,3.0,Ethiopia,SNNP,Amaro
6533,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
4446,2009-07-01,3.0,Ethiopia,SNNP,Burji
4451,2009-07-01,3.0,Ethiopia,SNNP,Derashe
4459,2009-07-01,3.0,Ethiopia,Gambela,Etang Special woreda
4461,2009-07-01,3.0,Ethiopia,SNNP,Gamo
4464,2009-07-01,3.0,Ethiopia,Oromia,Guji
6549,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
4475,2009-07-01,3.0,Ethiopia,SNNP,Konso
6557,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
6716,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
6738,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
4440,2009-07-01,3.0,Ethiopia,Oromia,Arsi
4499,2009-07-01,3.0,Ethiopia,Oromia,West Arsi
4501,2009-07-01,3.0,Ethiopia,Oromia,West Hararge
6539,2009-07-01,1.0,Ethiopia,Oromia,East Shewa
4462,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
6707,2009-07-01,2.0,Ethiopia,Harari,Harari
4487,2009-07-01,3.0,Ethiopia,Amhara,Oromia
4489,2009-07-01,3.0,Ethiopia,SNNP,Sidama
6567,2009-07-01,1.0,Ethiopia,Amhara,South Gondar
4497,2009-07-01,3.0,Ethiopia,Tigray,Southern
4498,2009-07-01,3.0,Ethiopia,Amhara,Wag Hamra
6739,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
4509,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
4510,2009-07-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
6694,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
4466,2009-07-01,3.0,Ethiopia,SNNP,Hadiya
4467,2009-07-01,3.0,Ethiopia,SNNP,Halaba Special
4474,2009-07-01,3.0,Ethiopia,SNNP,Kembata Tibaro
4504,2009-07-01,3.0,Ethiopia,SNNP,Wolayita
6532,2009-07-01,1.0,Ethiopia,SNNP,Basketo
6705,2009-07-01,2.0,Ethiopia,SNNP,Gofa
4465,2009-07-01,3.0,Ethiopia,SNNP,Guraghe
6550,2009-07-01,1.0,Ethiopia,Oromia,Jimma
4490,2009-07-01,3.0,Ethiopia,SNNP,Siltie
6578,2009-07-01,1.0,Ethiopia,SNNP,Yem Special
6692,2009-07-01,2.0,Ethiopia,Tigray,Central
6536,2009-07-01,1.0,Ethiopia,Amhara,Central Gondar
4457,2009-07-01,3.0,Ethiopia,Tigray,Eastern
6551,2009-07-01,1.0,Ethiopia,SNNP,Kefa
6554,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
4482,2009-07-01,3.0,Ethiopia,Amhara,North Gondar
6721,2009-07-01,2.0,Ethiopia,Tigray,North Western
4507,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
6695,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
6696,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
6548,2009-07-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6556,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6570,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa
6734,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
6577,2009-07-01,1.0,Ethiopia,Tigray,Western
6529,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Asosa
6530,2009-07-01,1.0,Ethiopia,Amhara,Awi
6535,2009-07-01,1.0,Ethiopia,Oromia,Buno Bedele
6540,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
6552,2009-07-01,1.0,Ethiopia,Oromia,Kelem Wellega
6553,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
6558,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Metekel
6565,2009-07-01,1.0,Ethiopia,SNNP,Sheka
6573,2009-07-01,1.0,Ethiopia,Amhara,West Gondar
6576,2009-07-01,1.0,Ethiopia,Oromia,West Wellega
35,2016-06-01,1.0,Ethiopia,Somali,Afder
1852,2016-06-01,2.0,Ethiopia,Somali,Liban
44,2016-06-01,1.0,Ethiopia,Somali,Shabelle
2832,2016-06-01,1.0,Ethiopia,Gambela,Agnewak
1831,2016-06-01,2.0,Ethiopia,Oromia,Bale
1832,2016-06-01,2.0,Ethiopia,Oromia,Borena
1835,2016-06-01,2.0,Ethiopia,Somali,Daawa
2846,2016-06-01,1.0,Ethiopia,Somali,Doolo
7706,2016-06-01,3.0,Ethiopia,Oromia,East Hararge
1842,2016-06-01,2.0,Ethiopia,Somali,Erer
1843,2016-06-01,2.0,Ethiopia,Somali,Fafan
40,2016-06-01,1.0,Ethiopia,Somali,Jarar
41,2016-06-01,1.0,Ethiopia,Somali,Korahe
43,2016-06-01,1.0,Ethiopia,Somali,Nogob
2882,2016-06-01,1.0,Ethiopia,Gambela,Nuwer
2889,2016-06-01,1.0,Ethiopia,SNNP,South Omo
2847,2016-06-01,1.0,Ethiopia,Amhara,East Gojam
2853,2016-06-01,1.0,Ethiopia,Oromia,Finfine Special
7432,2016-06-01,2.0,Ethiopia,Tigray,Mekele Special
7434,2016-06-01,2.0,Ethiopia,Amhara,North Shewa
7436,2016-06-01,2.0,Ethiopia,Amhara,North Wello
2883,2016-06-01,1.0,Ethiopia,Addis Ababa,Region 14
7717,2016-06-01,3.0,Ethiopia,Somali,Siti
7442,2016-06-01,2.0,Ethiopia,Tigray,South Eastern
7445,2016-06-01,2.0,Ethiopia,Amhara,South Wello
2893,2016-06-01,1.0,Ethiopia,Amhara,West Gojam
2895,2016-06-01,1.0,Ethiopia,Oromia,West Guji
2833,2016-06-01,1.0,Ethiopia,SNNP,Alle
2834,2016-06-01,1.0,Ethiopia,SNNP,Amaro
2839,2016-06-01,1.0,Ethiopia,SNNP,Bench Maji
2842,2016-06-01,1.0,Ethiopia,SNNP,Burji
2845,2016-06-01,1.0,Ethiopia,SNNP,Derashe
2851,2016-06-01,1.0,Ethiopia,Gambela,Etang Special woreda
7424,2016-06-01,2.0,Ethiopia,SNNP,Gamo
2857,2016-06-01,1.0,Ethiopia,Oromia,Guji
2862,2016-06-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
2869,2016-06-01,1.0,Ethiopia,SNNP,Konso
2874,2016-06-01,1.0,Ethiopia,Gambela,Mejenger
2876,2016-06-01,1.0,Ethiopia,SNNP,Mirab Omo
7456,2016-06-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
1830,2016-06-01,2.0,Ethiopia,Oromia,Arsi
4280,2016-06-01,3.0,Ethiopia,Oromia,West Arsi
7723,2016-06-01,3.0,Ethiopia,Oromia,West Hararge
7421,2016-06-01,2.0,Ethiopia,Oromia,East Shewa
1845,2016-06-01,2.0,Ethiopia,SNNP,Gedeo
7711,2016-06-01,3.0,Ethiopia,Harari,Harari
7716,2016-06-01,3.0,Ethiopia,Amhara,Oromia
2886,2016-06-01,1.0,Ethiopia,SNNP,Sidama
7443,2016-06-01,2.0,Ethiopia,Amhara,South Gondar
7447,2016-06-01,2.0,Ethiopia,Tigray,Southern
7721,2016-06-01,3.0,Ethiopia,Amhara,Wag Hamra
7726,2016-06-01,3.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
7459,2016-06-01,2.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
7460,2016-06-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
2844,2016-06-01,1.0,Ethiopia,SNNP,Dawuro
1848,2016-06-01,2.0,Ethiopia,SNNP,Hadiya
4263,2016-06-01,3.0,Ethiopia,SNNP,Halaba Special
1851,2016-06-01,2.0,Ethiopia,SNNP,Kembata Tibaro
1871,2016-06-01,2.0,Ethiopia,SNNP,Wolayita
2838,2016-06-01,1.0,Ethiopia,SNNP,Basketo
2856,2016-06-01,1.0,Ethiopia,SNNP,Gofa
2858,2016-06-01,1.0,Ethiopia,SNNP,Guraghe
2864,2016-06-01,1.0,Ethiopia,Oromia,Jimma
4275,2016-06-01,3.0,Ethiopia,SNNP,Siltie
2900,2016-06-01,1.0,Ethiopia,SNNP,Yem Special
7416,2016-06-01,2.0,Ethiopia,Tigray,Central
2843,2016-06-01,1.0,Ethiopia,Amhara,Central Gondar
7422,2016-06-01,2.0,Ethiopia,Tigray,Eastern
2865,2016-06-01,1.0,Ethiopia,SNNP,Kefa
2870,2016-06-01,1.0,Ethiopia,SNNP,Konta Special
7433,2016-06-01,2.0,Ethiopia,Amhara,North Gondar
1857,2016-06-01,2.0,Ethiopia,Tigray,North Western
7457,2016-06-01,2.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
7704,2016-06-01,3.0,Ethiopia,Dire Dawa,Dire Dawa rural
7705,2016-06-01,3.0,Ethiopia,Dire Dawa,Dire Dawa urban
2861,2016-06-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
2873,2016-06-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
2891,2016-06-01,1.0,Ethiopia,Oromia,South West Shewa
2896,2016-06-01,1.0,Ethiopia,Oromia,West Shewa
2898,2016-06-01,1.0,Ethiopia,Tigray,Western
2835,2016-06-01,1.0,Ethiopia,Benishangul Gumz,Asosa
2836,2016-06-01,1.0,Ethiopia,Amhara,Awi
2841,2016-06-01,1.0,Ethiopia,Oromia,Buno Bedele
2850,2016-06-01,1.0,Ethiopia,Oromia,East Wellega
2866,2016-06-01,1.0,Ethiopia,Oromia,Kelem Wellega
2867,2016-06-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
2875,2016-06-01,1.0,Ethiopia,Benishangul Gumz,Metekel
2885,2016-06-01,1.0,Ethiopia,SNNP,Sheka
2894,2016-06-01,1.0,Ethiopia,Amhara,West Gondar
2897,2016-06-01,1.0,Ethiopia,Oromia,West Wellega
46,2009-10-01,3.0,Ethiopia,Somali,Afder
67,2009-10-01,3.0,Ethiopia,Somali,Liban
72,2009-10-01,3.0,Ethiopia,Somali,Shabelle
47,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
50,2009-10-01,3.0,Ethiopia,Oromia,Bale
52,2009-10-01,3.0,Ethiopia,Oromia,Borena
54,2009-10-01,3.0,Ethiopia,Somali,Daawa
56,2009-10-01,3.0,Ethiopia,Somali,Doolo
6758,2009-10-01,2.0,Ethiopia,Oromia,East Hararge
58,2009-10-01,3.0,Ethiopia,Somali,Erer
6763,2009-10-01,2.0,Ethiopia,Somali,Fafan
64,2009-10-01,3.0,Ethiopia,Somali,Jarar
66,2009-10-01,3.0,Ethiopia,Somali,Korahe
70,2009-10-01,3.0,Ethiopia,Somali,Nogob
71,2009-10-01,3.0,Ethiopia,Gambela,Nuwer
6796,2009-10-01,2.0,Ethiopia,SNNP,South Omo
6591,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
6595,2009-10-01,1.0,Ethiopia,Oromia,Finfine Special
6782,2009-10-01,2.0,Ethiopia,Tigray,Mekele Special
6785,2009-10-01,2.0,Ethiopia,Amhara,North Shewa
6787,2009-10-01,2.0,Ethiopia,Amhara,North Wello
7923,2009-10-01,99.0,Ethiopia,Addis Ababa,Region 14
6793,2009-10-01,2.0,Ethiopia,Somali,Siti
6794,2009-10-01,2.0,Ethiopia,Tigray,South Eastern
6797,2009-10-01,2.0,Ethiopia,Amhara,South Wello
6626,2009-10-01,1.0,Ethiopia,Amhara,West Gojam
6802,2009-10-01,2.0,Ethiopia,Oromia,West Guji
48,2009-10-01,3.0,Ethiopia,SNNP,Alle
49,2009-10-01,3.0,Ethiopia,SNNP,Amaro
6586,2009-10-01,1.0,Ethiopia,SNNP,Bench Maji
53,2009-10-01,3.0,Ethiopia,SNNP,Burji
55,2009-10-01,3.0,Ethiopia,SNNP,Derashe
59,2009-10-01,3.0,Ethiopia,Gambela,Etang Special woreda
6765,2009-10-01,2.0,Ethiopia,SNNP,Gamo
62,2009-10-01,3.0,Ethiopia,Oromia,Guji
6602,2009-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
65,2009-10-01,3.0,Ethiopia,SNNP,Konso
6610,2009-10-01,1.0,Ethiopia,Gambela,Mejenger
6783,2009-10-01,2.0,Ethiopia,SNNP,Mirab Omo
6808,2009-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
6745,2009-10-01,2.0,Ethiopia,Oromia,Arsi
6801,2009-10-01,2.0,Ethiopia,Oromia,West Arsi
6803,2009-10-01,2.0,Ethiopia,Oromia,West Hararge
6759,2009-10-01,2.0,Ethiopia,Oromia,East Shewa
6766,2009-10-01,2.0,Ethiopia,SNNP,Gedeo
6772,2009-10-01,2.0,Ethiopia,Harari,Harari
6790,2009-10-01,2.0,Ethiopia,Amhara,Oromia
6791,2009-10-01,2.0,Ethiopia,SNNP,Sidama
6795,2009-10-01,2.0,Ethiopia,Amhara,South Gondar
6799,2009-10-01,2.0,Ethiopia,Tigray,Southern
6800,2009-10-01,2.0,Ethiopia,Amhara,Wag Hamra
6810,2009-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
6811,2009-10-01,2.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
6812,2009-10-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
6753,2009-10-01,2.0,Ethiopia,SNNP,Dawuro
6770,2009-10-01,2.0,Ethiopia,SNNP,Hadiya
6771,2009-10-01,2.0,Ethiopia,SNNP,Halaba Special
6777,2009-10-01,2.0,Ethiopia,SNNP,Kembata Tibaro
6806,2009-10-01,2.0,Ethiopia,SNNP,Wolayita
6585,2009-10-01,1.0,Ethiopia,SNNP,Basketo
6767,2009-10-01,2.0,Ethiopia,SNNP,Gofa
6769,2009-10-01,2.0,Ethiopia,SNNP,Guraghe
6603,2009-10-01,1.0,Ethiopia,Oromia,Jimma
6792,2009-10-01,2.0,Ethiopia,SNNP,Siltie
6632,2009-10-01,1.0,Ethiopia,SNNP,Yem Special
6751,2009-10-01,2.0,Ethiopia,Tigray,Central
6589,2009-10-01,1.0,Ethiopia,Amhara,Central Gondar
6761,2009-10-01,2.0,Ethiopia,Tigray,Eastern
6604,2009-10-01,1.0,Ethiopia,SNNP,Kefa
6607,2009-10-01,1.0,Ethiopia,SNNP,Konta Special
6784,2009-10-01,2.0,Ethiopia,Amhara,North Gondar
6788,2009-10-01,2.0,Ethiopia,Tigray,North Western
6809,2009-10-01,2.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
6755,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
6756,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
6601,2009-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6609,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6624,2009-10-01,1.0,Ethiopia,Oromia,South West Shewa
6804,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
6631,2009-10-01,1.0,Ethiopia,Tigray,Western
6582,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
6583,2009-10-01,1.0,Ethiopia,Amhara,Awi
6588,2009-10-01,1.0,Ethiopia,Oromia,Buno Bedele
6593,2009-10-01,1.0,Ethiopia,Oromia,East Wellega
6605,2009-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
6606,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
6611,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
6619,2009-10-01,1.0,Ethiopia,SNNP,Sheka
6627,2009-10-01,1.0,Ethiopia,Amhara,West Gondar
