,date,ADMIN1,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
24,2010-01-01,Amhara,15442053.0,12074909.0,6095609.0,5575457.0,403843.0,0.0,0.0,6095609.0,4214601.0,1360856.0,403843.0,0.0,6095609.0,1975958.0,2238643.0,1764699.0,0.0,12074909.0,12074909.0,12074909.0
25,2010-01-01,Benshangul Gumuz,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2010-01-01,Dire Dawa,508918.0,397948.0,0.0,397948.0,0.0,0.0,0.0,0.0,0.0,397948.0,0.0,0.0,0.0,0.0,397948.0,0.0,0.0,397948.0,397948.0,397948.0
27,2010-01-01,Gambela,462832.0,361910.0,63820.0,0.0,298090.0,0.0,0.0,63820.0,0.0,0.0,298090.0,0.0,63820.0,0.0,0.0,298090.0,0.0,361910.0,361910.0,361910.0
28,2010-01-01,Harari,260022.0,203324.0,0.0,203324.0,0.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,203324.0,203324.0,203324.0
29,2010-01-01,Oromia,31355106.0,24518117.0,8672484.0,13943156.0,1902477.0,0.0,0.0,13084897.0,4597795.0,6835425.0,0.0,0.0,12663049.0,2850592.0,4071528.0,4932948.0,0.0,24518117.0,24518117.0,24518117.0
30,2010-01-01,SNNPR,17075128.0,13351890.0,1569267.0,11192928.0,589695.0,0.0,0.0,1097286.0,11739980.0,514624.0,0.0,0.0,1097286.0,4366332.0,7373648.0,514624.0,0.0,13351890.0,13351890.0,13351890.0
31,2010-01-01,Somali,5490380.0,4293199.0,0.0,1475477.0,2817722.0,0.0,0.0,0.0,0.0,3056211.0,1236988.0,0.0,0.0,0.0,3789456.0,503743.0,0.0,4293199.0,4293199.0,4293199.0
32,2010-01-01,Tigray,4410666.0,3448918.0,344490.0,3104428.0,0.0,0.0,0.0,344490.0,1781059.0,735074.0,588295.0,0.0,344490.0,698486.0,1817647.0,588295.0,0.0,3448918.0,3448918.0,3448918.0
33,2010-04-01,Addis Ababa,3585647.0,2803796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2010-04-01,Afar,1904414.0,1489154.0,0.0,383748.0,1105406.0,0.0,0.0,0.0,383748.0,1105406.0,0.0,0.0,0.0,383748.0,1105406.0,0.0,0.0,1489154.0,1489154.0,1489154.0
35,2010-04-01,Amhara,15442053.0,12074909.0,8071567.0,0.0,3599499.0,403843.0,0.0,8071567.0,0.0,3599499.0,403843.0,0.0,6095609.0,1806417.0,3769040.0,403843.0,0.0,12074909.0,12074909.0,12074909.0
36,2010-04-01,Benshangul Gumuz,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2010-04-01,Dire Dawa,508918.0,397948.0,0.0,397948.0,0.0,0.0,0.0,0.0,397948.0,0.0,0.0,0.0,0.0,397948.0,0.0,0.0,0.0,397948.0,397948.0,397948.0
38,2010-04-01,Gambela,462832.0,361910.0,63820.0,0.0,298090.0,0.0,0.0,63820.0,0.0,298090.0,0.0,0.0,63820.0,298090.0,0.0,0.0,0.0,361910.0,361910.0,361910.0
39,2010-04-01,Harari,260022.0,203324.0,0.0,0.0,203324.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,203324.0,203324.0,203324.0
40,2010-04-01,Oromia,31355106.0,24518117.0,12494290.0,5343676.0,6680151.0,0.0,0.0,12494290.0,5343676.0,6680151.0,0.0,0.0,12494290.0,1902477.0,10121350.0,0.0,0.0,24518117.0,24518117.0,24518117.0
41,2010-04-01,SNNPR,17075128.0,13351890.0,1097286.0,11739980.0,514624.0,0.0,0.0,1097286.0,11739980.0,514624.0,0.0,0.0,1097286.0,11739980.0,514624.0,0.0,0.0,13351890.0,13351890.0,13351890.0
42,2010-04-01,Somali,5490380.0,4293199.0,0.0,2888809.0,1404390.0,0.0,0.0,0.0,2888809.0,1404390.0,0.0,0.0,0.0,2888809.0,1404390.0,0.0,0.0,4293199.0,4293199.0,4293199.0
43,2010-04-01,Tigray,4410666.0,3448918.0,344490.0,698486.0,2405942.0,0.0,0.0,344490.0,698486.0,2405942.0,0.0,0.0,344490.0,1286781.0,1817647.0,0.0,0.0,3448918.0,3448918.0,3448918.0
44,2010-07-01,Addis Ababa,3585647.0,2803796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2010-07-01,Afar,1904414.0,1489154.0,0.0,886570.0,602584.0,0.0,0.0,0.0,886570.0,602584.0,0.0,0.0,0.0,1489154.0,0.0,0.0,0.0,1489154.0,1489154.0,1489154.0
46,2010-07-01,Amhara,15442053.0,12074909.0,8071567.0,1806417.0,2196925.0,0.0,0.0,8071567.0,1806417.0,2196925.0,0.0,0.0,8071567.0,2642486.0,1360856.0,0.0,0.0,12074909.0,12074909.0,12074909.0
47,2010-07-01,Benshangul Gumuz,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2010-07-01,Dire Dawa,508918.0,397948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2010-07-01,Gambela,462832.0,361910.0,63820.0,0.0,298090.0,0.0,0.0,63820.0,0.0,298090.0,0.0,0.0,63820.0,167582.0,130508.0,0.0,0.0,361910.0,361910.0,361910.0
50,2010-07-01,Harari,260022.0,203324.0,203324.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,0.0,0.0,203324.0,203324.0,203324.0
51,2010-07-01,Oromia,31355106.0,24518117.0,9643698.0,8194268.0,6680151.0,0.0,0.0,9643698.0,8194268.0,6680151.0,0.0,0.0,10250928.0,12364712.0,1902477.0,0.0,0.0,24518117.0,24518117.0,24518117.0
52,2010-07-01,SNNPR,17075128.0,13351890.0,1510221.0,9695612.0,2146057.0,0.0,0.0,1510221.0,9695612.0,2146057.0,0.0,0.0,1510221.0,11841669.0,0.0,0.0,0.0,13351890.0,13351890.0,13351890.0
53,2010-07-01,Somali,5490380.0,4293199.0,0.0,4293199.0,0.0,0.0,0.0,0.0,4293199.0,0.0,0.0,0.0,0.0,1475477.0,2817722.0,0.0,0.0,4293199.0,4293199.0,4293199.0
54,2010-07-01,Tigray,4410666.0,3448918.0,344490.0,698486.0,2405942.0,0.0,0.0,344490.0,698486.0,2405942.0,0.0,0.0,344490.0,3104428.0,0.0,0.0,0.0,3448918.0,3448918.0,3448918.0
55,2010-10-01,Addis Ababa,3585647.0,2803796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2010-10-01,Afar,1904414.0,1489154.0,0.0,886570.0,602584.0,0.0,0.0,0.0,1489154.0,0.0,0.0,0.0,0.0,1103056.0,386098.0,0.0,0.0,1489154.0,1489154.0,1489154.0
57,2010-10-01,Amhara,15442053.0,12074909.0,8071567.0,1806417.0,2196925.0,0.0,0.0,8071567.0,2642486.0,1360856.0,0.0,0.0,8071567.0,2642486.0,1360856.0,0.0,0.0,12074909.0,12074909.0,12074909.0
58,2010-10-01,Benshangul Gumuz,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2010-10-01,Dire Dawa,508918.0,397948.0,0.0,0.0,0.0,0.0,0.0,0.0,397948.0,0.0,0.0,0.0,0.0,397948.0,0.0,0.0,0.0,0.0,397948.0,397948.0
60,2010-10-01,Gambela,462832.0,361910.0,63820.0,0.0,298090.0,0.0,0.0,231402.0,130508.0,0.0,0.0,0.0,231402.0,0.0,130508.0,0.0,0.0,361910.0,361910.0,361910.0
