,date,ADM1_EN,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,total_pop
41,2010-04-01,SNNP,20262695,15844403,1743195,13008075,1093133,0,0,1743195,13008075,1093133,0,0,1743195,12764408,1336800,0,0,15844403
42,2010-04-01,Somali,6216411,4860918,0,3246261,1614657,0,0,0,3246261,1614657,0,0,0,3246261,1614657,0,0,4860918
43,2010-04-01,Tigray,5357192,4189053,344490,698486,3146077,0,0,344490,698486,3146077,0,0,344490,1286781,2557782,0,0,4189053
44,2010-07-01,Addis Ababa,3585647,2803796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2010-07-01,Afar,1904414,1489154,0,886570,602584,0,0,0,886570,602584,0,0,0,1489154,0,0,0,1489154
46,2010-07-01,Amhara,21790172,17038820,7824747,2984417,6229656,0,0,7824747,2984417,6229656,0,0,7824747,7853217,1360856,0,0,17038820
47,2010-07-01,Benishangul Gumz,1102849,862371,547803,314568,0,0,0,547803,314568,0,0,0,547803,314568,0,0,0,862371
48,2010-07-01,Dire Dawa,508918,397948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2010-07-01,Gambela,462832,361910,0,0,361910,0,0,0,0,361910,0,0,0,167582,194328,0,0,361910
50,2010-07-01,Harari,260022,203324,203324,0,0,0,0,203324,0,0,0,0,203324,0,0,0,0,203324
51,2010-07-01,Oromia,37843293,29591552,13760580,9150821,6680151,0,0,13760580,9150821,6680151,0,0,14367810,13321265,1902477,0,0,29591552
52,2010-07-01,SNNP,20262695,15844403,1948341,10927829,2968233,0,0,1948341,10927829,2968233,0,0,1948341,13896062,0,0,0,15844403
53,2010-07-01,Somali,6216411,4860918,0,4650651,210267,0,0,0,4650651,210267,0,0,0,1475477,3385441,0,0,4860918
54,2010-07-01,Tigray,5357192,4189053,344490,698486,3146077,0,0,344490,698486,3146077,0,0,344490,3256268,588295,0,0,4189053
55,2010-10-01,Addis Ababa,3585647,2803796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2010-10-01,Afar,1904414,1489154,0,886570,602584,0,0,0,1489154,0,0,0,0,1103056,386098,0,0,1489154
57,2010-10-01,Amhara,21790172,17038820,7824747,2984417,6229656,0,0,7824747,7853217,1360856,0,0,7824747,7853217,1360856,0,0,17038820
58,2010-10-01,Benishangul Gumz,1102849,862371,547803,314568,0,0,0,862371,0,0,0,0,862371,0,0,0,0,862371
59,2010-10-01,Dire Dawa,508918,397948,0,0,0,0,0,0,397948,0,0,0,0,397948,0,0,0,0
60,2010-10-01,Gambela,462832,361910,0,0,361910,0,0,231402,130508,0,0,0,231402,0,130508,0,0,361910
61,2010-10-01,Harari,260022,203324,203324,0,0,0,0,0,203324,0,0,0,0,203324,0,0,0,203324
62,2010-10-01,Oromia,37843293,29591552,13760580,9150821,6680151,0,0,15451954,12131034,2008564,0,0,15451954,12131034,2008564,0,0,29591552
63,2010-10-01,SNNP,20262695,15844403,1948341,10927829,2968233,0,0,1889422,13954981,0,0,0,1889422,7055754,6899227,0,0,15844403
64,2010-10-01,Somali,6216411,4860918,0,4650651,210267,0,0,0,3241294,1619624,0,0,0,3241294,1619624,0,0,4860918
65,2010-10-01,Tigray,5357192,4189053,344490,698486,3146077,0,0,344490,3844563,0,0,0,344490,3844563,0,0,0,4189053
66,2011-01-01,Addis Ababa,3585647,2883776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2011-01-01,Afar,1904414,1531633,0,617356,914277,0,0,0,617356,914277,0,0,0,394694,1136939,0,0,1531633
68,2011-01-01,Amhara,21790172,17524857,8047949,9476908,0,0,0,8047949,9476908,0,0,0,8047949,9476908,0,0,0,17524857
69,2011-01-01,Benishangul Gumz,1102849,886970,830340,56630,0,0,0,830340,56630,0,0,0,563429,323541,0,0,0,886970
70,2011-01-01,Dire Dawa,508918,409299,0,409299,0,0,0,0,409299,0,0,0,0,409299,0,0,0,409299
71,2011-01-01,Gambela,462832,372233,0,238002,134231,0,0,0,238002,134231,0,0,0,238002,134231,0,0,372233
72,2011-01-01,Harari,260022,209124,0,209124,0,0,0,0,209124,0,0,0,0,209124,0,0,0,209124
73,2011-01-01,Oromia,37843293,30435662,12884390,9328579,8222693,0,0,12884390,9328579,8222693,0,0,12884390,9328579,8222693,0,0,30435662
74,2011-01-01,SNNP,20262695,16296372,1943319,13746537,606516,0,0,1943319,13746537,606516,0,0,1943319,13151526,1201527,0,0,16296372
75,2011-01-01,Somali,6216411,4999577,0,1517565,3482012,0,0,0,1517565,3482012,0,0,0,999453,1818710,2181414,0,4999577
76,2011-01-01,Tigray,5357192,4308546,354317,3954229,0,0,0,354317,3954229,0,0,0,354317,3954229,0,0,0,4308546
77,2011-04-01,Addis Ababa,3585647,2883776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2011-04-01,Afar,1904414,1531633,0,0,1531633,0,0,0,0,1531633,0,0,0,0,1531633,0,0,1531633
79,2011-04-01,Amhara,21790172,17524857,8047949,9061545,415363,0,0,8047949,9061545,415363,0,0,8047949,9061545,415363,0,0,17524857
80,2011-04-01,Benishangul Gumz,1102849,886970,506799,380171,0,0,0,506799,380171,0,0,0,506799,380171,0,0,0,886970
81,2011-04-01,Dire Dawa,508918,409299,0,409299,0,0,0,0,409299,0,0,0,0,409299,0,0,0,409299
82,2011-04-01,Gambela,462832,372233,0,238002,134231,0,0,0,238002,134231,0,0,238002,0,134231,0,0,372233
83,2011-04-01,Harari,260022,209124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2011-04-01,Oromia,37843293,30435662,10653466,13625362,6156834,0,0,10653466,13625362,6156834,0,0,10653466,6320243,13461953,0,0,30435662
85,2011-04-01,SNNP,20262695,16296372,2004049,6794302,7498021,0,0,2004049,6794302,7498021,0,0,2004049,2359323,11933000,0,0,16296372
86,2011-04-01,Somali,6216411,4999577,0,0,2818163,2181414,0,0,0,2818163,2181414,0,0,0,2818163,2181414,0,4999577
87,2011-04-01,Tigray,5357192,4308546,354317,3954229,0,0,0,354317,3954229,0,0,0,354317,2593111,1361118,0,0,4308546
88,2011-07-01,Addis Ababa,3585647,2883776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2011-07-01,Afar,1904414,1531633,0,0,1531633,0,0,0,0,1531633,0,0,0,1531633,0,0,0,1531633
90,2011-07-01,Amhara,21790172,17524857,8047949,9061545,415363,0,0,8047949,9061545,415363,0,0,8047949,9476908,0,0,0,17524857
91,2011-07-01,Benishangul Gumz,1102849,886970,506799,380171,0,0,0,506799,380171,0,0,0,506799,380171,0,0,0,886970
92,2011-07-01,Dire Dawa,508918,409299,0,409299,0,0,0,0,409299,0,0,0,0,409299,0,0,0,409299
93,2011-07-01,Gambela,462832,372233,0,238002,134231,0,0,0,238002,134231,0,0,65640,172362,134231,0,0,372233
94,2011-07-01,Harari,260022,209124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2011-07-01,Oromia,37843293,30435662,10653466,5336404,12489047,1956745,0,10653466,5336404,12489047,1956745,0,10653466,18151195,1631001,0,0,30435662
96,2011-07-01,SNNP,20262695,16296372,2004049,2877208,11415115,0,0,2004049,2877208,11415115,0,0,2004049,13090796,1201527,0,0,16296372
97,2011-07-01,Somali,6216411,4999577,0,0,2966103,2033474,0,0,0,2966103,2033474,0,0,1517565,3482012,0,0,4999577
98,2011-07-01,Tigray,5357192,4308546,354317,3349153,605076,0,0,354317,3349153,605076,0,0,354317,3954229,0,0,0,4308546
99,2011-10-01,Addis Ababa,3585647,2883776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2011-10-01,Afar,1904414,1531633,0,1134521,397112,0,0,0,1134521,397112,0,0,0,1134521,397112,0,0,1531633
101,2011-10-01,Amhara,21790172,17524857,9892179,7632678,0,0,0,9892179,7632678,0,0,0,9892179,5817640,1815038,0,0,17524857
102,2011-10-01,Benishangul Gumz,1102849,886970,886970,0,0,0,0,886970,0,0,0,0,886970,0,0,0,0,886970
103,2011-10-01,Dire Dawa,508918,409299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2011-10-01,Gambela,462832,372233,238002,134231,0,0,0,238002,134231,0,0,0,238002,0,134231,0,0,372233
105,2011-10-01,Harari,260022,209124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2011-10-01,Oromia,37843293,30435662,21229130,5073662,1422554,2710316,0,21229130,5073662,4132870,0,0,21229130,5073662,983839,3149031,0,30435662
107,2011-10-01,SNNP,20262695,16296372,3892441,11202404,1201527,0,0,3974898,11119947,1201527,0,0,3974898,5733736,5981222,606516,0,16296372
108,2011-10-01,Somali,6216411,4999577,0,1517565,1448538,2033474,0,0,1517565,3482012,0,0,0,1517565,1448538,2033474,0,4999577
109,2011-10-01,Tigray,5357192,4308546,354317,3954229,0,0,0,354317,3954229,0,0,0,354317,3349153,605076,0,0,4308546
110,2012-01-01,Addis Ababa,3585647,2966541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2012-01-01,Afar,1904414,1575591,0,1167082,408509,0,0,0,1167082,408509,0,0,0,1167082,408509,0,0,1575591
112,2012-01-01,Amhara,21790172,18027827,10176089,5984608,1867130,0,0,10176089,5984608,1867130,0,0,10176089,5984608,1867130,0,0,18027827
113,2012-01-01,Benishangul Gumz,1102849,912427,912427,0,0,0,0,912427,0,0,0,0,912427,0,0,0,0,912427
114,2012-01-01,Dire Dawa,508918,421046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2012-01-01,Gambela,462832,382916,244833,138083,0,0,0,244833,138083,0,0,0,244833,138083,0,0,0,382916
116,2012-01-01,Harari,260022,215126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2012-01-01,Oromia,37843293,31309178,21838416,5219278,3024979,1226505,0,21838416,5219278,3024979,1226505,0,21838416,5219278,2573673,1677811,0,31309178
118,2012-01-01,SNNP,20262695,16764080,4151450,11376619,1236011,0,0,4151450,11376619,1236011,0,0,4088977,5898296,6776807,0,0,16764080
119,2012-01-01,Somali,6216411,5143065,0,0,5143065,0,0,0,0,5143065,0,0,0,0,5143065,0,0,5143065
120,2012-01-01,Tigray,5357192,4432205,364486,4067719,0,0,0,364486,4067719,0,0,0,364486,3445277,622442,0,0,4432205
