,date,ADMIN1,ADMIN2,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,pop_ADMIN2
29,Aug 2020,SNNP,South omo,273724.0,182483.0,121655.0,30414.0,0.0,243310.0,212896.0,121655.0,30414.0,0.0,185762.0,247683.0,154802.0,30960.0,0.0,608275.0,608275.0,619208.0,
30,Aug 2020,SNNP,Wolayita,642781.0,499941.0,214260.0,71420.0,0.0,642781.0,357101.0,285681.0,142840.0,0.0,727040.0,363520.0,290816.0,72704.0,0.0,1428403.0,1428403.0,1454079.0,
32,Aug 2020,Sidama,Sidama,2065645.0,635583.0,476687.0,0.0,0.0,1906749.0,794479.0,476687.0,0.0,0.0,1617520.0,808760.0,647008.0,161752.0,0.0,3177915.0,3177915.0,3235039.0,
34,Aug 2020,Somali,Afder,147642.0,177170.0,236226.0,29528.0,0.0,177170.0,206698.0,177170.0,29528.0,0.0,121170.0,242340.0,212047.0,30292.0,0.0,590566.0,590566.0,605849.0,
35,Aug 2020,Somali,Daawa,144294.0,185521.0,61840.0,20613.0,0.0,164908.0,164908.0,61840.0,20613.0,0.0,126881.0,126881.0,105735.0,63441.0,0.0,412269.0,412269.0,422938.0,
36,Aug 2020,Somali,Doolo,192018.0,115211.0,57605.0,19202.0,0.0,211219.0,96009.0,57605.0,19202.0,0.0,157590.0,98494.0,98494.0,39397.0,0.0,384035.0,384035.0,393974.0,
37,Aug 2020,Somali,Erer,68046.0,108874.0,81655.0,13609.0,0.0,68046.0,136092.0,54437.0,13609.0,0.0,55846.0,97730.0,83768.0,41884.0,0.0,272184.0,272184.0,279228.0,
38,Aug 2020,Somali,Fafan,424342.0,377193.0,94298.0,47149.0,0.0,424342.0,377193.0,94298.0,47149.0,0.0,338585.0,338585.0,193477.0,96739.0,0.0,942983.0,942983.0,967385.0,
39,Aug 2020,Somali,Jarar,217538.0,190346.0,108769.0,27192.0,0.0,217538.0,190346.0,108769.0,27192.0,0.0,167376.0,195272.0,139480.0,55792.0,0.0,543845.0,543845.0,557919.0,
40,Aug 2020,Somali,Korahe,256941.0,85647.0,64235.0,21412.0,0.0,235529.0,107059.0,64235.0,21412.0,0.0,131795.0,153761.0,109829.0,43932.0,0.0,428235.0,428235.0,439317.0,
41,Aug 2020,Somali,Liban,91122.0,205025.0,113903.0,45561.0,0.0,91122.0,205025.0,113903.0,45561.0,0.0,93481.0,163591.0,140221.0,70110.0,0.0,455612.0,455612.0,467403.0,
42,Aug 2020,Somali,Nogob,58181.0,66492.0,33246.0,8312.0,0.0,58181.0,74804.0,24935.0,8312.0,0.0,42633.0,59687.0,51160.0,17053.0,0.0,166231.0,166231.0,170533.0,
43,Aug 2020,Somali,Shabelle,132527.0,212043.0,185537.0,0.0,0.0,159032.0,265054.0,79516.0,26505.0,0.0,135956.0,190339.0,163148.0,54383.0,0.0,530107.0,530107.0,543825.0,
44,Aug 2020,Somali,Siti,174298.0,232398.0,116199.0,58099.0,0.0,232398.0,261447.0,58099.0,29050.0,0.0,178809.0,268213.0,119206.0,29801.0,0.0,580994.0,580994.0,596029.0,
46,Aug 2020,Tigray,Southern,316993.0,201723.0,57635.0,0.0,0.0,374628.0,172905.0,28818.0,0.0,0.0,261136.0,261136.0,58030.0,0.0,0.0,576351.0,576351.0,580303.0,
