,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3.0,Ethiopia,Somali,Afder
4976,2009-07-01,2.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
4979,2009-07-01,2.0,Ethiopia,Oromia,Arsi
5,2009-07-01,3.0,Ethiopia,Oromia,Bale
4929,2009-07-01,1.0,Ethiopia,SNNP,Basketo
4984,2009-07-01,2.0,Ethiopia,Oromia,Borena
8,2009-07-01,3.0,Ethiopia,SNNP,Burji
9,2009-07-01,3.0,Ethiopia,Somali,Daawa
10,2009-07-01,3.0,Ethiopia,SNNP,Derashe
4995,2009-07-01,2.0,Ethiopia,Oromia,East Hararge
4998,2009-07-01,2.0,Ethiopia,Tigray,Eastern
46,2009-07-01,4.0,Ethiopia,Somali,Erer
5003,2009-07-01,2.0,Ethiopia,SNNP,Gamo
15,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
5005,2009-07-01,2.0,Ethiopia,SNNP,Gofa
17,2009-07-01,3.0,Ethiopia,Oromia,Guji
4948,2009-07-01,1.0,Ethiopia,SNNP,Kefa
19,2009-07-01,3.0,Ethiopia,SNNP,Konso
4951,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
21,2009-07-01,3.0,Ethiopia,Somali,Liban
5025,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4.0,Ethiopia,Somali,Nogob
5029,2009-07-01,2.0,Ethiopia,Amhara,North Wello
5031,2009-07-01,2.0,Ethiopia,Gambela,Nuwer
5032,2009-07-01,2.0,Ethiopia,Amhara,Oromia
52,2009-07-01,4.0,Ethiopia,Somali,Shabelle
5033,2009-07-01,2.0,Ethiopia,SNNP,Sidama
5036,2009-07-01,2.0,Ethiopia,Tigray,South Eastern
5037,2009-07-01,2.0,Ethiopia,Amhara,South Gondar
31,2009-07-01,3.0,Ethiopia,SNNP,South Omo
5039,2009-07-01,2.0,Ethiopia,Amhara,South Wello
5041,2009-07-01,2.0,Ethiopia,Tigray,Southern
5042,2009-07-01,2.0,Ethiopia,Amhara,Wag Hamra
5043,2009-07-01,2.0,Ethiopia,Oromia,West Arsi
5044,2009-07-01,2.0,Ethiopia,Oromia,West Guji
5045,2009-07-01,2.0,Ethiopia,Oromia,West Hararge
5051,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
40,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
44,2009-07-01,4.0,Ethiopia,Somali,Doolo
5001,2009-07-01,2.0,Ethiopia,Somali,Fafan
48,2009-07-01,4.0,Ethiopia,Somali,Jarar
49,2009-07-01,4.0,Ethiopia,Somali,Korahe
4935,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
5000,2009-07-01,2.0,Ethiopia,Gambela,Etang Special woreda
4939,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special
5023,2009-07-01,2.0,Ethiopia,Tigray,Mekele Special
5027,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
66,2009-07-01,99.0,Ethiopia,Addis Ababa,Region 14
5035,2009-07-01,2.0,Ethiopia,Somali,Siti
4968,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
4930,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
4992,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
4996,2009-07-01,2.0,Ethiopia,Oromia,East Shewa
4946,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
4953,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
5053,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
5055,2009-07-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
4987,2009-07-01,2.0,Ethiopia,Tigray,Central
4933,2009-07-01,1.0,Ethiopia,Amhara,Central Gondar
4990,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
4993,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
4937,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
5007,2009-07-01,2.0,Ethiopia,SNNP,Guraghe
5008,2009-07-01,2.0,Ethiopia,SNNP,Hadiya
5009,2009-07-01,2.0,Ethiopia,SNNP,Halaba Special
5010,2009-07-01,2.0,Ethiopia,Harari,Harari
4945,2009-07-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
4947,2009-07-01,1.0,Ethiopia,Oromia,Jimma
5017,2009-07-01,2.0,Ethiopia,SNNP,Kembata Tibaro
4952,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5026,2009-07-01,2.0,Ethiopia,Amhara,North Gondar
5028,2009-07-01,2.0,Ethiopia,Oromia,North Shewa
5030,2009-07-01,2.0,Ethiopia,Tigray,North Western
5034,2009-07-01,2.0,Ethiopia,SNNP,Siltie
4966,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa
5046,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
4973,2009-07-01,1.0,Ethiopia,Tigray,Western
5049,2009-07-01,2.0,Ethiopia,SNNP,Wolayita
4949,2009-07-01,1.0,Ethiopia,Oromia,Kelem Wellega
