,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
53,2009-07-01,99.0,Ethiopia,Somali,Afder
54,2009-07-01,99.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
4,2009-07-01,3.0,Ethiopia,Oromia,Arsi
43,2009-07-01,4.0,Ethiopia,Oromia,Bale
6,2009-07-01,3.0,Ethiopia,SNNP,Basketo
7,2009-07-01,3.0,Ethiopia,Oromia,Borena
8,2009-07-01,3.0,Ethiopia,SNNP,Burji
9,2009-07-01,3.0,Ethiopia,Somali,Daawa
10,2009-07-01,3.0,Ethiopia,SNNP,Derashe
45,2009-07-01,4.0,Ethiopia,Oromia,East Hararge
12,2009-07-01,3.0,Ethiopia,Tigray,Eastern
46,2009-07-01,4.0,Ethiopia,Somali,Erer
14,2009-07-01,3.0,Ethiopia,SNNP,Gamo
15,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
16,2009-07-01,3.0,Ethiopia,SNNP,Gofa
17,2009-07-01,3.0,Ethiopia,Oromia,Guji
18,2009-07-01,3.0,Ethiopia,SNNP,Kefa
19,2009-07-01,3.0,Ethiopia,SNNP,Konso
20,2009-07-01,3.0,Ethiopia,SNNP,Konta Special
61,2009-07-01,99.0,Ethiopia,Somali,Liban
22,2009-07-01,3.0,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4.0,Ethiopia,Somali,Nogob
64,2009-07-01,99.0,Ethiopia,Amhara,North Wello
65,2009-07-01,99.0,Ethiopia,Gambela,Nuwer
26,2009-07-01,3.0,Ethiopia,Amhara,Oromia
67,2009-07-01,99.0,Ethiopia,Somali,Shabelle
28,2009-07-01,3.0,Ethiopia,SNNP,Sidama
69,2009-07-01,99.0,Ethiopia,Tigray,South Eastern
30,2009-07-01,3.0,Ethiopia,Amhara,South Gondar
31,2009-07-01,3.0,Ethiopia,SNNP,South Omo
70,2009-07-01,99.0,Ethiopia,Amhara,South Wello
33,2009-07-01,3.0,Ethiopia,Tigray,Southern
34,2009-07-01,3.0,Ethiopia,Amhara,Wag Hamra
35,2009-07-01,3.0,Ethiopia,Oromia,West Arsi
36,2009-07-01,3.0,Ethiopia,Oromia,West Guji
37,2009-07-01,3.0,Ethiopia,Oromia,West Hararge
38,2009-07-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
40,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
55,2009-07-01,99.0,Ethiopia,Somali,Doolo
58,2009-07-01,99.0,Ethiopia,Somali,Fafan
60,2009-07-01,99.0,Ethiopia,Somali,Jarar
49,2009-07-01,4.0,Ethiopia,Somali,Korahe
56,2009-07-01,99.0,Ethiopia,Amhara,East Gojam
57,2009-07-01,99.0,Ethiopia,Gambela,Etang Special woreda
59,2009-07-01,99.0,Ethiopia,Oromia,Finfine Special
62,2009-07-01,99.0,Ethiopia,Tigray,Mekele Special
63,2009-07-01,99.0,Ethiopia,Amhara,North Shewa
66,2009-07-01,99.0,Ethiopia,Addis Ababa,Region 14
68,2009-07-01,99.0,Ethiopia,Somali,Siti
71,2009-07-01,99.0,Ethiopia,Amhara,West Gojam
4983,2009-07-01,2.0,Ethiopia,SNNP,Bench Maji
4992,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
4996,2009-07-01,2.0,Ethiopia,Oromia,East Shewa
5012,2009-07-01,2.0,Ethiopia,Oromia,Ilu Aba Bora
5022,2009-07-01,2.0,Ethiopia,Gambela,Mejenger
5053,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
5055,2009-07-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
4987,2009-07-01,2.0,Ethiopia,Tigray,Central
4988,2009-07-01,2.0,Ethiopia,Amhara,Central Gondar
4990,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
4993,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
4997,2009-07-01,2.0,Ethiopia,Oromia,East Wellega
5007,2009-07-01,2.0,Ethiopia,SNNP,Guraghe
5008,2009-07-01,2.0,Ethiopia,SNNP,Hadiya
5009,2009-07-01,2.0,Ethiopia,SNNP,Halaba Special
5010,2009-07-01,2.0,Ethiopia,Harari,Harari
5011,2009-07-01,2.0,Ethiopia,Oromia,Horo Gudru Wellega
5014,2009-07-01,2.0,Ethiopia,Oromia,Jimma
5017,2009-07-01,2.0,Ethiopia,SNNP,Kembata Tibaro
5021,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5026,2009-07-01,2.0,Ethiopia,Amhara,North Gondar
5028,2009-07-01,2.0,Ethiopia,Oromia,North Shewa
5030,2009-07-01,2.0,Ethiopia,Tigray,North Western
5034,2009-07-01,2.0,Ethiopia,SNNP,Siltie
5040,2009-07-01,2.0,Ethiopia,Oromia,South West Shewa
5046,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
5048,2009-07-01,2.0,Ethiopia,Tigray,Western
5049,2009-07-01,2.0,Ethiopia,SNNP,Wolayita
5015,2009-07-01,2.0,Ethiopia,Oromia,Kelem Wellega
5024,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Metekel
4969,2009-07-01,1.0,Ethiopia,Amhara,West Gondar
5050,2009-07-01,2.0,Ethiopia,SNNP,Yem Special
4980,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Asosa
5016,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Kemashi
4961,2009-07-01,1.0,Ethiopia,SNNP,Sheka
5047,2009-07-01,2.0,Ethiopia,Oromia,West Wellega
4927,2009-07-01,1.0,Ethiopia,Amhara,Awi
4985,2009-07-01,2.0,Ethiopia,Oromia,Buno Bedele
117,2009-10-01,4.0,Ethiopia,Somali,Afder
73,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
74,2009-10-01,3.0,Ethiopia,SNNP,Alle
75,2009-10-01,3.0,Ethiopia,SNNP,Amaro
5115,2009-10-01,2.0,Ethiopia,Oromia,Arsi
76,2009-10-01,3.0,Ethiopia,Oromia,Bale
5117,2009-10-01,2.0,Ethiopia,SNNP,Basketo
78,2009-10-01,3.0,Ethiopia,Oromia,Borena
79,2009-10-01,3.0,Ethiopia,SNNP,Burji
80,2009-10-01,3.0,Ethiopia,Somali,Daawa
81,2009-10-01,3.0,Ethiopia,SNNP,Derashe
84,2009-10-01,3.0,Ethiopia,Oromia,East Hararge
86,2009-10-01,3.0,Ethiopia,Tigray,Eastern
87,2009-10-01,3.0,Ethiopia,Somali,Erer
90,2009-10-01,3.0,Ethiopia,SNNP,Gamo
5138,2009-10-01,2.0,Ethiopia,SNNP,Gedeo
5139,2009-10-01,2.0,Ethiopia,SNNP,Gofa
91,2009-10-01,3.0,Ethiopia,Oromia,Guji
5147,2009-10-01,2.0,Ethiopia,SNNP,Kefa
94,2009-10-01,3.0,Ethiopia,SNNP,Konso
5151,2009-10-01,2.0,Ethiopia,SNNP,Konta Special
119,2009-10-01,4.0,Ethiopia,Somali,Liban
98,2009-10-01,3.0,Ethiopia,SNNP,Mirab Omo
99,2009-10-01,3.0,Ethiopia,Somali,Nogob
8078,2009-10-01,99.0,Ethiopia,Amhara,North Wello
102,2009-10-01,3.0,Ethiopia,Gambela,Nuwer
103,2009-10-01,3.0,Ethiopia,Amhara,Oromia
120,2009-10-01,4.0,Ethiopia,Somali,Shabelle
5163,2009-10-01,2.0,Ethiopia,SNNP,Sidama
8080,2009-10-01,99.0,Ethiopia,Tigray,South Eastern
5167,2009-10-01,2.0,Ethiopia,Amhara,South Gondar
107,2009-10-01,3.0,Ethiopia,SNNP,South Omo
8081,2009-10-01,99.0,Ethiopia,Amhara,South Wello
109,2009-10-01,3.0,Ethiopia,Tigray,Southern
5172,2009-10-01,2.0,Ethiopia,Amhara,Wag Hamra
5173,2009-10-01,2.0,Ethiopia,Oromia,West Arsi
110,2009-10-01,3.0,Ethiopia,Oromia,West Guji
111,2009-10-01,3.0,Ethiopia,Oromia,West Hararge
112,2009-10-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
113,2009-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
115,2009-10-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
118,2009-10-01,4.0,Ethiopia,Somali,Doolo
89,2009-10-01,3.0,Ethiopia,Somali,Fafan
