,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
113,2009-10-01,3.0,Ethiopia,Oromia,Borena
4974,2009-10-01,1.0,Ethiopia,Oromia,Buno Bedele
114,2009-10-01,3.0,Ethiopia,SNNP,Burji
5029,2009-10-01,2.0,Ethiopia,Tigray,Central
4975,2009-10-01,1.0,Ethiopia,Amhara,Central Gondar
115,2009-10-01,3.0,Ethiopia,Somali,Daawa
5031,2009-10-01,2.0,Ethiopia,SNNP,Dawuro
116,2009-10-01,3.0,Ethiopia,SNNP,Derashe
5033,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
4977,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
5036,2009-10-01,2.0,Ethiopia,Oromia,East Hararge
5037,2009-10-01,2.0,Ethiopia,Oromia,East Shewa
4979,2009-10-01,1.0,Ethiopia,Oromia,East Wellega
5039,2009-10-01,2.0,Ethiopia,Tigray,Eastern
119,2009-10-01,3.0,Ethiopia,Somali,Erer
120,2009-10-01,3.0,Ethiopia,Gambela,Etang Special woreda
5041,2009-10-01,2.0,Ethiopia,Somali,Fafan
5043,2009-10-01,2.0,Ethiopia,SNNP,Gamo
5044,2009-10-01,2.0,Ethiopia,SNNP,Gedeo
5045,2009-10-01,2.0,Ethiopia,SNNP,Gofa
123,2009-10-01,3.0,Ethiopia,Oromia,Guji
5047,2009-10-01,2.0,Ethiopia,SNNP,Guraghe
5048,2009-10-01,2.0,Ethiopia,SNNP,Hadiya
5049,2009-10-01,2.0,Ethiopia,SNNP,Halaba Special
5050,2009-10-01,2.0,Ethiopia,Harari,Harari
4988,2009-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
125,2009-10-01,3.0,Ethiopia,Somali,Jarar
4989,2009-10-01,1.0,Ethiopia,Oromia,Jimma
4990,2009-10-01,1.0,Ethiopia,SNNP,Kefa
4992,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
5055,2009-10-01,2.0,Ethiopia,SNNP,Kembata Tibaro
126,2009-10-01,3.0,Ethiopia,SNNP,Konso
4993,2009-10-01,1.0,Ethiopia,SNNP,Konta Special
128,2009-10-01,3.0,Ethiopia,Somali,Liban
4996,2009-10-01,1.0,Ethiopia,Gambela,Mejenger
5060,2009-10-01,2.0,Ethiopia,Tigray,Mekele Special
5061,2009-10-01,2.0,Ethiopia,SNNP,Mirab Omo
131,2009-10-01,3.0,Ethiopia,Somali,Nogob
5062,2009-10-01,2.0,Ethiopia,Amhara,North Gondar
5063,2009-10-01,2.0,Ethiopia,Amhara,North Shewa
5065,2009-10-01,2.0,Ethiopia,Amhara,North Wello
5066,2009-10-01,2.0,Ethiopia,Tigray,North Western
132,2009-10-01,3.0,Ethiopia,Gambela,Nuwer
5068,2009-10-01,2.0,Ethiopia,Amhara,Oromia
133,2009-10-01,3.0,Ethiopia,Somali,Shabelle
5069,2009-10-01,2.0,Ethiopia,SNNP,Sidama
5070,2009-10-01,2.0,Ethiopia,SNNP,Siltie
5071,2009-10-01,2.0,Ethiopia,Somali,Siti
5072,2009-10-01,2.0,Ethiopia,Tigray,South Eastern
5073,2009-10-01,2.0,Ethiopia,Amhara,South Gondar
5074,2009-10-01,2.0,Ethiopia,SNNP,South Omo
5075,2009-10-01,2.0,Ethiopia,Amhara,South Wello
5010,2009-10-01,1.0,Ethiopia,Oromia,South West Shewa
5077,2009-10-01,2.0,Ethiopia,Tigray,Southern
5078,2009-10-01,2.0,Ethiopia,Amhara,Wag Hamra
5079,2009-10-01,2.0,Ethiopia,Oromia,West Arsi
5080,2009-10-01,2.0,Ethiopia,Oromia,West Guji
5081,2009-10-01,2.0,Ethiopia,Oromia,West Hararge
5016,2009-10-01,1.0,Ethiopia,Oromia,West Wellega
5017,2009-10-01,1.0,Ethiopia,Tigray,Western
5084,2009-10-01,2.0,Ethiopia,SNNP,Wolayita
5018,2009-10-01,1.0,Ethiopia,SNNP,Yem Special
5086,2009-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
5087,2009-10-01,2.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
5088,2009-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
5089,2009-10-01,2.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
5090,2009-10-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
117,2009-10-01,3.0,Ethiopia,Somali,Doolo
127,2009-10-01,3.0,Ethiopia,Somali,Korahe
4981,2009-10-01,1.0,Ethiopia,Oromia,Finfine Special
5004,2009-10-01,1.0,Ethiopia,Addis Ababa,Region 14
5012,2009-10-01,1.0,Ethiopia,Amhara,West Gojam
5034,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
4987,2009-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
4995,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5064,2009-10-01,2.0,Ethiopia,Oromia,North Shewa
5082,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
4968,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
4991,2009-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
4997,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5005,2009-10-01,1.0,Ethiopia,SNNP,Sheka
5013,2009-10-01,1.0,Ethiopia,Amhara,West Gondar
4969,2009-10-01,1.0,Ethiopia,Amhara,Awi
142,2010-01-01,3.0,Ethiopia,Somali,Afder
211,2010-01-01,4.0,Ethiopia,Gambela,Agnewak
144,2010-01-01,3.0,Ethiopia,SNNP,Alle
145,2010-01-01,3.0,Ethiopia,SNNP,Amaro
5146,2010-01-01,2.0,Ethiopia,Oromia,Arsi
147,2010-01-01,3.0,Ethiopia,Oromia,Bale
5096,2010-01-01,1.0,Ethiopia,SNNP,Basketo
5097,2010-01-01,1.0,Ethiopia,SNNP,Bench Maji
148,2010-01-01,3.0,Ethiopia,Oromia,Borena
5099,2010-01-01,1.0,Ethiopia,Oromia,Buno Bedele
149,2010-01-01,3.0,Ethiopia,SNNP,Burji
5154,2010-01-01,2.0,Ethiopia,Tigray,Central
5100,2010-01-01,1.0,Ethiopia,Amhara,Central Gondar
151,2010-01-01,3.0,Ethiopia,Somali,Daawa
5157,2010-01-01,2.0,Ethiopia,SNNP,Dawuro
153,2010-01-01,3.0,Ethiopia,SNNP,Derashe
154,2010-01-01,3.0,Ethiopia,Dire Dawa,Dire Dawa rural
5102,2010-01-01,1.0,Ethiopia,Amhara,East Gojam
158,2010-01-01,3.0,Ethiopia,Oromia,East Hararge
5160,2010-01-01,2.0,Ethiopia,Oromia,East Shewa
5104,2010-01-01,1.0,Ethiopia,Oromia,East Wellega
160,2010-01-01,3.0,Ethiopia,Tigray,Eastern
161,2010-01-01,3.0,Ethiopia,Somali,Erer
218,2010-01-01,4.0,Ethiopia,Gambela,Etang Special woreda
162,2010-01-01,3.0,Ethiopia,Somali,Fafan
5166,2010-01-01,2.0,Ethiopia,SNNP,Gamo
5167,2010-01-01,2.0,Ethiopia,SNNP,Gedeo
5168,2010-01-01,2.0,Ethiopia,SNNP,Gofa
166,2010-01-01,3.0,Ethiopia,Oromia,Guji
5170,2010-01-01,2.0,Ethiopia,SNNP,Guraghe
5171,2010-01-01,2.0,Ethiopia,SNNP,Hadiya
169,2010-01-01,3.0,Ethiopia,SNNP,Halaba Special
170,2010-01-01,3.0,Ethiopia,Harari,Harari
5113,2010-01-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
172,2010-01-01,3.0,Ethiopia,Somali,Jarar
5114,2010-01-01,1.0,Ethiopia,Oromia,Jimma
5115,2010-01-01,1.0,Ethiopia,SNNP,Kefa
5177,2010-01-01,2.0,Ethiopia,Benishangul Gumz,Kemashi
5178,2010-01-01,2.0,Ethiopia,SNNP,Kembata Tibaro
174,2010-01-01,3.0,Ethiopia,SNNP,Konso
5118,2010-01-01,1.0,Ethiopia,SNNP,Konta Special
176,2010-01-01,3.0,Ethiopia,Somali,Liban
5121,2010-01-01,1.0,Ethiopia,Gambela,Mejenger
178,2010-01-01,3.0,Ethiopia,Tigray,Mekele Special
5184,2010-01-01,2.0,Ethiopia,SNNP,Mirab Omo
180,2010-01-01,3.0,Ethiopia,Somali,Nogob
5185,2010-01-01,2.0,Ethiopia,Amhara,North Gondar
5186,2010-01-01,2.0,Ethiopia,Amhara,North Shewa
184,2010-01-01,3.0,Ethiopia,Amhara,North Wello
5189,2010-01-01,2.0,Ethiopia,Tigray,North Western
229,2010-01-01,4.0,Ethiopia,Gambela,Nuwer
5191,2010-01-01,2.0,Ethiopia,Amhara,Oromia
188,2010-01-01,3.0,Ethiopia,Somali,Shabelle
5192,2010-01-01,2.0,Ethiopia,SNNP,Sidama
190,2010-01-01,3.0,Ethiopia,SNNP,Siltie
231,2010-01-01,4.0,Ethiopia,Somali,Siti
192,2010-01-01,3.0,Ethiopia,Tigray,South Eastern
5196,2010-01-01,2.0,Ethiopia,Amhara,South Gondar
5197,2010-01-01,2.0,Ethiopia,SNNP,South Omo
5198,2010-01-01,2.0,Ethiopia,Amhara,South Wello
5134,2010-01-01,1.0,Ethiopia,Oromia,South West Shewa
234,2010-01-01,4.0,Ethiopia,Tigray,Southern
235,2010-01-01,4.0,Ethiopia,Amhara,Wag Hamra
5135,2010-01-01,1.0,Ethiopia,Oromia,West Arsi
5203,2010-01-01,2.0,Ethiopia,Oromia,West Guji
201,2010-01-01,3.0,Ethiopia,Oromia,West Hararge
5140,2010-01-01,1.0,Ethiopia,Oromia,West Wellega
5141,2010-01-01,1.0,Ethiopia,Tigray,Western
5208,2010-01-01,2.0,Ethiopia,SNNP,Wolayita
5142,2010-01-01,1.0,Ethiopia,SNNP,Yem Special
236,2010-01-01,4.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
206,2010-01-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
207,2010-01-01,3.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
208,2010-01-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
209,2010-01-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
216,2010-01-01,4.0,Ethiopia,Somali,Doolo
222,2010-01-01,4.0,Ethiopia,Somali,Korahe
5106,2010-01-01,1.0,Ethiopia,Oromia,Finfine Special
5128,2010-01-01,1.0,Ethiopia,Addis Ababa,Region 14
5136,2010-01-01,1.0,Ethiopia,Amhara,West Gojam
155,2010-01-01,3.0,Ethiopia,Dire Dawa,Dire Dawa urban
5112,2010-01-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
5182,2010-01-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5187,2010-01-01,2.0,Ethiopia,Oromia,North Shewa
202,2010-01-01,3.0,Ethiopia,Oromia,West Shewa
5147,2010-01-01,2.0,Ethiopia,Benishangul Gumz,Asosa
5116,2010-01-01,1.0,Ethiopia,Oromia,Kelem Wellega
5122,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5129,2010-01-01,1.0,Ethiopia,SNNP,Sheka
5137,2010-01-01,1.0,Ethiopia,Amhara,West Gondar
5094,2010-01-01,1.0,Ethiopia,Amhara,Awi
241,2010-04-01,2.0,Ethiopia,Somali,Afder
319,2010-04-01,3.0,Ethiopia,Gambela,Agnewak
320,2010-04-01,3.0,Ethiopia,SNNP,Alle
321,2010-04-01,3.0,Ethiopia,SNNP,Amaro
5215,2010-04-01,1.0,Ethiopia,Oromia,Arsi
246,2010-04-01,2.0,Ethiopia,Oromia,Bale
5219,2010-04-01,1.0,Ethiopia,SNNP,Basketo
5220,2010-04-01,1.0,Ethiopia,SNNP,Bench Maji
249,2010-04-01,2.0,Ethiopia,Oromia,Borena
5222,2010-04-01,1.0,Ethiopia,Oromia,Buno Bedele
326,2010-04-01,3.0,Ethiopia,SNNP,Burji
327,2010-04-01,3.0,Ethiopia,Tigray,Central
5224,2010-04-01,1.0,Ethiopia,Amhara,Central Gondar
253,2010-04-01,2.0,Ethiopia,Somali,Daawa
254,2010-04-01,2.0,Ethiopia,SNNP,Dawuro
329,2010-04-01,3.0,Ethiopia,SNNP,Derashe
256,2010-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5226,2010-04-01,1.0,Ethiopia,Amhara,East Gojam
332,2010-04-01,3.0,Ethiopia,Oromia,East Hararge
333,2010-04-01,3.0,Ethiopia,Oromia,East Shewa
5228,2010-04-01,1.0,Ethiopia,Oromia,East Wellega
334,2010-04-01,3.0,Ethiopia,Tigray,Eastern
335,2010-04-01,3.0,Ethiopia,Somali,Erer
336,2010-04-01,3.0,Ethiopia,Gambela,Etang Special woreda
264,2010-04-01,2.0,Ethiopia,Somali,Fafan
266,2010-04-01,2.0,Ethiopia,SNNP,Gamo
267,2010-04-01,2.0,Ethiopia,SNNP,Gedeo
268,2010-04-01,2.0,Ethiopia,SNNP,Gofa
5233,2010-04-01,1.0,Ethiopia,Oromia,Guji
270,2010-04-01,2.0,Ethiopia,SNNP,Guraghe
271,2010-04-01,2.0,Ethiopia,SNNP,Hadiya
342,2010-04-01,3.0,Ethiopia,SNNP,Halaba Special
343,2010-04-01,3.0,Ethiopia,Harari,Harari
5237,2010-04-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
345,2010-04-01,3.0,Ethiopia,Somali,Jarar
5238,2010-04-01,1.0,Ethiopia,Oromia,Jimma
5239,2010-04-01,1.0,Ethiopia,SNNP,Kefa
5241,2010-04-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
280,2010-04-01,2.0,Ethiopia,SNNP,Kembata Tibaro
347,2010-04-01,3.0,Ethiopia,SNNP,Konso
5242,2010-04-01,1.0,Ethiopia,SNNP,Konta Special
284,2010-04-01,2.0,Ethiopia,Somali,Liban
5244,2010-04-01,1.0,Ethiopia,Gambela,Mejenger
351,2010-04-01,3.0,Ethiopia,Tigray,Mekele Special
288,2010-04-01,2.0,Ethiopia,SNNP,Mirab Omo
353,2010-04-01,3.0,Ethiopia,Somali,Nogob
290,2010-04-01,2.0,Ethiopia,Amhara,North Gondar
355,2010-04-01,3.0,Ethiopia,Amhara,North Shewa
356,2010-04-01,3.0,Ethiopia,Amhara,North Wello
294,2010-04-01,2.0,Ethiopia,Tigray,North Western
358,2010-04-01,3.0,Ethiopia,Gambela,Nuwer
359,2010-04-01,3.0,Ethiopia,Amhara,Oromia
297,2010-04-01,2.0,Ethiopia,Somali,Shabelle
299,2010-04-01,2.0,Ethiopia,SNNP,Sidama
300,2010-04-01,2.0,Ethiopia,SNNP,Siltie
301,2010-04-01,2.0,Ethiopia,Somali,Siti
364,2010-04-01,3.0,Ethiopia,Tigray,South Eastern
5254,2010-04-01,1.0,Ethiopia,Amhara,South Gondar
303,2010-04-01,2.0,Ethiopia,SNNP,South Omo
304,2010-04-01,2.0,Ethiopia,Amhara,South Wello
5257,2010-04-01,1.0,Ethiopia,Oromia,South West Shewa
369,2010-04-01,3.0,Ethiopia,Tigray,Southern
400,2010-04-01,4.0,Ethiopia,Amhara,Wag Hamra
5258,2010-04-01,1.0,Ethiopia,Oromia,West Arsi
5261,2010-04-01,1.0,Ethiopia,Oromia,West Guji
373,2010-04-01,3.0,Ethiopia,Oromia,West Hararge
5264,2010-04-01,1.0,Ethiopia,Oromia,West Wellega
5265,2010-04-01,1.0,Ethiopia,Tigray,Western
