,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
75,2009-07-01,4,Ethiopia,Somali,Afder
1,2009-07-01,3,Ethiopia,Gambela,Agnewak
2,2009-07-01,3,Ethiopia,SNNP,Alle
3,2009-07-01,3,Ethiopia,SNNP,Amaro
4,2009-07-01,3,Ethiopia,Oromia,Arsi
5,2009-07-01,3,Ethiopia,Oromia,Bale
201,2009-07-01,1,Ethiopia,SNNP,Basketo
202,2009-07-01,1,Ethiopia,SNNP,Bench Maji
8,2009-07-01,3,Ethiopia,Oromia,Borena
204,2009-07-01,1,Ethiopia,Oromia,Buno Bedele
10,2009-07-01,3,Ethiopia,SNNP,Burji
255,2009-07-01,2,Ethiopia,Tigray,Central
205,2009-07-01,1,Ethiopia,Amhara,Central Gondar
13,2009-07-01,3,Ethiopia,Somali,Daawa
257,2009-07-01,2,Ethiopia,SNNP,Dawuro
15,2009-07-01,3,Ethiopia,SNNP,Derashe
258,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
207,2009-07-01,1,Ethiopia,Amhara,East Gojam
18,2009-07-01,3,Ethiopia,Oromia,East Hararge
208,2009-07-01,1,Ethiopia,Oromia,East Shewa
209,2009-07-01,1,Ethiopia,Oromia,East Wellega
21,2009-07-01,3,Ethiopia,Tigray,Eastern
82,2009-07-01,4,Ethiopia,Somali,Erer
23,2009-07-01,3,Ethiopia,Gambela,Etang Special woreda
24,2009-07-01,3,Ethiopia,Somali,Fafan
25,2009-07-01,3,Ethiopia,SNNP,Gamo
26,2009-07-01,3,Ethiopia,SNNP,Gedeo
268,2009-07-01,2,Ethiopia,SNNP,Gofa
28,2009-07-01,3,Ethiopia,Oromia,Guji
29,2009-07-01,3,Ethiopia,SNNP,Guraghe
30,2009-07-01,3,Ethiopia,SNNP,Hadiya
31,2009-07-01,3,Ethiopia,SNNP,Halaba Special
270,2009-07-01,2,Ethiopia,Harari,Harari
218,2009-07-01,1,Ethiopia,Oromia,Ilu Aba Bora
84,2009-07-01,4,Ethiopia,Somali,Jarar
219,2009-07-01,1,Ethiopia,Oromia,Jimma
220,2009-07-01,1,Ethiopia,SNNP,Kefa
222,2009-07-01,1,Ethiopia,Benishangul Gumz,Kemashi
38,2009-07-01,3,Ethiopia,SNNP,Kembata Tibaro
39,2009-07-01,3,Ethiopia,SNNP,Konso
223,2009-07-01,1,Ethiopia,SNNP,Konta Special
86,2009-07-01,4,Ethiopia,Somali,Liban
226,2009-07-01,1,Ethiopia,Gambela,Mejenger
43,2009-07-01,3,Ethiopia,Tigray,Mekele Special
279,2009-07-01,2,Ethiopia,SNNP,Mirab Omo
87,2009-07-01,4,Ethiopia,Somali,Nogob
46,2009-07-01,3,Ethiopia,Amhara,North Gondar
281,2009-07-01,2,Ethiopia,Amhara,North Shewa
48,2009-07-01,3,Ethiopia,Amhara,North Wello
284,2009-07-01,2,Ethiopia,Tigray,North Western
50,2009-07-01,3,Ethiopia,Gambela,Nuwer
51,2009-07-01,3,Ethiopia,Amhara,Oromia
89,2009-07-01,4,Ethiopia,Somali,Shabelle
53,2009-07-01,3,Ethiopia,SNNP,Sidama
54,2009-07-01,3,Ethiopia,SNNP,Siltie
55,2009-07-01,3,Ethiopia,Somali,Siti
56,2009-07-01,3,Ethiopia,Tigray,South Eastern
236,2009-07-01,1,Ethiopia,Amhara,South Gondar
58,2009-07-01,3,Ethiopia,SNNP,South Omo
59,2009-07-01,3,Ethiopia,Amhara,South Wello
239,2009-07-01,1,Ethiopia,Oromia,South West Shewa
61,2009-07-01,3,Ethiopia,Tigray,Southern
62,2009-07-01,3,Ethiopia,Amhara,Wag Hamra
63,2009-07-01,3,Ethiopia,Oromia,West Arsi
64,2009-07-01,3,Ethiopia,Oromia,West Guji
65,2009-07-01,3,Ethiopia,Oromia,West Hararge
245,2009-07-01,1,Ethiopia,Oromia,West Wellega
246,2009-07-01,1,Ethiopia,Tigray,Western
68,2009-07-01,3,Ethiopia,SNNP,Wolayita
247,2009-07-01,1,Ethiopia,SNNP,Yem Special
301,2009-07-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
71,2009-07-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
302,2009-07-01,2,Ethiopia,Afar,Zone 3 (Gabi Rasu)
73,2009-07-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
74,2009-07-01,3,Ethiopia,Afar,Zone 5 (Hari Rasu)
80,2009-07-01,4,Ethiopia,Somali,Doolo
85,2009-07-01,4,Ethiopia,Somali,Korahe
211,2009-07-01,1,Ethiopia,Oromia,Finfine Special
101,2009-07-01,99,Ethiopia,Addis Ababa,Region 14
241,2009-07-01,1,Ethiopia,Amhara,West Gojam
198,2009-07-01,1,Ethiopia,Benishangul Gumz,Asosa
199,2009-07-01,1,Ethiopia,Amhara,Awi
217,2009-07-01,1,Ethiopia,Oromia,Horo Gudru Wellega
221,2009-07-01,1,Ethiopia,Oromia,Kelem Wellega
225,2009-07-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
227,2009-07-01,1,Ethiopia,Benishangul Gumz,Metekel
282,2009-07-01,2,Ethiopia,Oromia,North Shewa
234,2009-07-01,1,Ethiopia,SNNP,Sheka
242,2009-07-01,1,Ethiopia,Amhara,West Gondar
297,2009-07-01,2,Ethiopia,Oromia,West Shewa
259,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
107,2009-10-01,3,Ethiopia,Somali,Afder
108,2009-10-01,3,Ethiopia,Gambela,Agnewak
109,2009-10-01,3,Ethiopia,SNNP,Alle
110,2009-10-01,3,Ethiopia,SNNP,Amaro
308,2009-10-01,2,Ethiopia,Oromia,Arsi
111,2009-10-01,3,Ethiopia,Oromia,Bale
147,2009-10-01,1,Ethiopia,SNNP,Basketo
148,2009-10-01,1,Ethiopia,SNNP,Bench Maji
113,2009-10-01,3,Ethiopia,Oromia,Borena
150,2009-10-01,1,Ethiopia,Oromia,Buno Bedele
114,2009-10-01,3,Ethiopia,SNNP,Burji
314,2009-10-01,2,Ethiopia,Tigray,Central
151,2009-10-01,1,Ethiopia,Amhara,Central Gondar
115,2009-10-01,3,Ethiopia,Somali,Daawa
316,2009-10-01,2,Ethiopia,SNNP,Dawuro
116,2009-10-01,3,Ethiopia,SNNP,Derashe
318,2009-10-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
153,2009-10-01,1,Ethiopia,Amhara,East Gojam
321,2009-10-01,2,Ethiopia,Oromia,East Hararge
322,2009-10-01,2,Ethiopia,Oromia,East Shewa
155,2009-10-01,1,Ethiopia,Oromia,East Wellega
324,2009-10-01,2,Ethiopia,Tigray,Eastern
119,2009-10-01,3,Ethiopia,Somali,Erer
120,2009-10-01,3,Ethiopia,Gambela,Etang Special woreda
326,2009-10-01,2,Ethiopia,Somali,Fafan
328,2009-10-01,2,Ethiopia,SNNP,Gamo
329,2009-10-01,2,Ethiopia,SNNP,Gedeo
330,2009-10-01,2,Ethiopia,SNNP,Gofa
123,2009-10-01,3,Ethiopia,Oromia,Guji
332,2009-10-01,2,Ethiopia,SNNP,Guraghe
333,2009-10-01,2,Ethiopia,SNNP,Hadiya
334,2009-10-01,2,Ethiopia,SNNP,Halaba Special
335,2009-10-01,2,Ethiopia,Harari,Harari
164,2009-10-01,1,Ethiopia,Oromia,Ilu Aba Bora
