,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
4985,2009-10-01,2.0,Ethiopia,Tigray,Central
4935,2009-10-01,1.0,Ethiopia,Amhara,Central Gondar
110,2009-10-01,3.0,Ethiopia,Somali,Daawa
4987,2009-10-01,2.0,Ethiopia,SNNP,Dawuro
112,2009-10-01,3.0,Ethiopia,SNNP,Derashe
4988,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
4937,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
116,2009-10-01,3.0,Ethiopia,Oromia,East Hararge
4938,2009-10-01,1.0,Ethiopia,Oromia,East Shewa
4939,2009-10-01,1.0,Ethiopia,Oromia,East Wellega
119,2009-10-01,3.0,Ethiopia,Tigray,Eastern
180,2009-10-01,4.0,Ethiopia,Somali,Erer
122,2009-10-01,3.0,Ethiopia,Somali,Fafan
123,2009-10-01,3.0,Ethiopia,SNNP,Gamo
124,2009-10-01,3.0,Ethiopia,SNNP,Gedeo
4998,2009-10-01,2.0,Ethiopia,SNNP,Gofa
126,2009-10-01,3.0,Ethiopia,Oromia,Guji
127,2009-10-01,3.0,Ethiopia,SNNP,Guraghe
128,2009-10-01,3.0,Ethiopia,SNNP,Hadiya
129,2009-10-01,3.0,Ethiopia,SNNP,Halaba Special
5000,2009-10-01,2.0,Ethiopia,Harari,Harari
182,2009-10-01,4.0,Ethiopia,Somali,Jarar
4949,2009-10-01,1.0,Ethiopia,Oromia,Jimma
4952,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
136,2009-10-01,3.0,Ethiopia,SNNP,Kembata Tibaro
137,2009-10-01,3.0,Ethiopia,SNNP,Konso
184,2009-10-01,4.0,Ethiopia,Somali,Liban
141,2009-10-01,3.0,Ethiopia,Tigray,Mekele Special
5009,2009-10-01,2.0,Ethiopia,SNNP,Mirab Omo
185,2009-10-01,4.0,Ethiopia,Somali,Nogob
144,2009-10-01,3.0,Ethiopia,Amhara,North Gondar
5011,2009-10-01,2.0,Ethiopia,Amhara,North Shewa
146,2009-10-01,3.0,Ethiopia,Amhara,North Wello
5014,2009-10-01,2.0,Ethiopia,Tigray,North Western
148,2009-10-01,3.0,Ethiopia,Gambela,Nuwer
149,2009-10-01,3.0,Ethiopia,Amhara,Oromia
187,2009-10-01,4.0,Ethiopia,Somali,Shabelle
151,2009-10-01,3.0,Ethiopia,SNNP,Sidama
152,2009-10-01,3.0,Ethiopia,SNNP,Siltie
153,2009-10-01,3.0,Ethiopia,Somali,Siti
154,2009-10-01,3.0,Ethiopia,Tigray,South Eastern
4966,2009-10-01,1.0,Ethiopia,Amhara,South Gondar
156,2009-10-01,3.0,Ethiopia,SNNP,South Omo
157,2009-10-01,3.0,Ethiopia,Amhara,South Wello
4969,2009-10-01,1.0,Ethiopia,Oromia,South West Shewa
159,2009-10-01,3.0,Ethiopia,Tigray,Southern
160,2009-10-01,3.0,Ethiopia,Amhara,Wag Hamra
161,2009-10-01,3.0,Ethiopia,Oromia,West Arsi
162,2009-10-01,3.0,Ethiopia,Oromia,West Guji
163,2009-10-01,3.0,Ethiopia,Oromia,West Hararge
4975,2009-10-01,1.0,Ethiopia,Oromia,West Wellega
4976,2009-10-01,1.0,Ethiopia,Tigray,Western
166,2009-10-01,3.0,Ethiopia,SNNP,Wolayita
4977,2009-10-01,1.0,Ethiopia,SNNP,Yem Special
5031,2009-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
169,2009-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
5032,2009-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
171,2009-10-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
172,2009-10-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
98,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
178,2009-10-01,4.0,Ethiopia,Somali,Doolo
183,2009-10-01,4.0,Ethiopia,Somali,Korahe
4941,2009-10-01,1.0,Ethiopia,Oromia,Finfine Special
4963,2009-10-01,1.0,Ethiopia,Addis Ababa,Region 14
4971,2009-10-01,1.0,Ethiopia,Amhara,West Gojam
