,date,ADMIN0,ADMIN1,ADMIN2,ML1
4241,2009-10-01,Ethiopia,SNNPR,Wolayita,2.0
70,2009-10-01,Ethiopia,Oromia,Bale,3.0
72,2009-10-01,Ethiopia,Somali,Afder,3.0
4205,2009-10-01,Ethiopia,SNNPR,Alaba,2.0
4206,2009-10-01,Ethiopia,Oromia,Arsi,2.0
5985,2009-10-01,Ethiopia,SNNPR,Basketo,1.0
4208,2009-10-01,Ethiopia,SNNPR,Bench Maji,2.0
4209,2009-10-01,Ethiopia,Tigray,Central Tigray,2.0
4210,2009-10-01,Ethiopia,SNNPR,Dawro,2.0
5988,2009-10-01,Ethiopia,Amhara,East Gojam,1.0
4214,2009-10-01,Ethiopia,Oromia,East Shewa,2.0
5990,2009-10-01,Ethiopia,Oromia,East Wellega,1.0
76,2009-10-01,Ethiopia,Oromia,Gujii,3.0
4218,2009-10-01,Ethiopia,SNNPR,Gurage,2.0
5995,2009-10-01,Ethiopia,Oromia,Horo Guduru,1.0
4221,2009-10-01,Ethiopia,Somali,Fafan,2.0
5997,2009-10-01,Ethiopia,Oromia,Jimma,1.0
4223,2009-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
5998,2009-10-01,Ethiopia,SNNPR,Keffa,1.0
5999,2009-10-01,Ethiopia,Oromia,Kelem,1.0
6000,2009-10-01,Ethiopia,SNNPR,Konta,1.0
80,2009-10-01,Ethiopia,Somali,Liben,3.0
4226,2009-10-01,Ethiopia,Amhara,North Shewa,2.0
4227,2009-10-01,Ethiopia,Amhara,North Wollo,2.0
81,2009-10-01,Ethiopia,Gambela,Nuer,3.0
4229,2009-10-01,Ethiopia,Amhara,Oromia,2.0
4230,2009-10-01,Ethiopia,Somali,Sitti,2.0
4231,2009-10-01,Ethiopia,Amhara,South Gondar,2.0
4233,2009-10-01,Ethiopia,Amhara,South Wollo,2.0
4234,2009-10-01,Ethiopia,Tigray,South Tigray,2.0
4235,2009-10-01,Ethiopia,Amhara,Argoba,2.0
4236,2009-10-01,Ethiopia,Amhara,Wag Himra,2.0
6008,2009-10-01,Ethiopia,Amhara,West Gojam,1.0
4238,2009-10-01,Ethiopia,Oromia,West Hararge,2.0
4239,2009-10-01,Ethiopia,Oromia,West Shewa,2.0
6010,2009-10-01,Ethiopia,Oromia,West Wellega,1.0
6011,2009-10-01,Ethiopia,Tigray,West Tigray,1.0
6012,2009-10-01,Ethiopia,SNNPR,Yem,1.0
4243,2009-10-01,Ethiopia,Afar,Awusi,2.0
4244,2009-10-01,Ethiopia,Afar,Gabi,2.0
4246,2009-10-01,Ethiopia,Afar,Khari,2.0
4247,2009-10-01,Ethiopia,Tigray,Northwest Tigray,2.0
87,2009-10-01,Ethiopia,Gambela,Itang,3.0
6016,2009-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
88,2009-10-01,Ethiopia,Gambela,Agniwak,3.0
6019,2009-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
4251,2009-10-01,Ethiopia,Tigray,East Tigray,2.0
6020,2009-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
6021,2009-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
6023,2009-10-01,Ethiopia,Oromia,South West Shewa,1.0
6024,2009-10-01,Ethiopia,Amhara,North Gondar,1.0
4255,2009-10-01,Ethiopia,SNNPR,Hadiya,2.0
4257,2009-10-01,Ethiopia,SNNPR,Silltie,2.0
74,2009-10-01,Ethiopia,Somali,Jarar,3.0
5996,2009-10-01,Ethiopia,Oromia,Ilubabor,1.0
79,2009-10-01,Ethiopia,Somali,Korahe,3.0
86,2009-10-01,Ethiopia,Somali,Shebelle,3.0
4250,2009-10-01,Ethiopia,Oromia,East Hararge,2.0
90,2009-10-01,Ethiopia,Somali,Nogob,3.0
91,2009-10-01,Ethiopia,Somali,Dollo,3.0
4245,2009-10-01,Ethiopia,Afar,Fanti,2.0
4253,2009-10-01,Ethiopia,Afar,Kilbati,2.0
4212,2009-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
4219,2009-10-01,Ethiopia,Harari,Harari,2.0
5979,2009-10-01,Ethiopia,SNNPR,Sheka,1.0
5984,2009-10-01,Ethiopia,Amhara,Awi,1.0
6001,2009-10-01,Ethiopia,Gambela,Mezhenger,1.0
6017,2009-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6999,2009-10-01,Ethiopia,Addis Ababa,Region 14,99.0
92,2012-10-01,Ethiopia,SNNPR,Segen,2.0
94,2012-10-01,Ethiopia,Oromia,Borena,2.0
3268,2012-10-01,Ethiopia,SNNPR,Sidama,2.0
103,2012-10-01,Ethiopia,SNNPR,Gamo Gofa,2.0
3280,2012-10-01,Ethiopia,SNNPR,Gedeo,2.0
3296,2012-10-01,Ethiopia,SNNPR,South Omo,2.0
5739,2012-10-01,Ethiopia,Oromia,West Arsi,1.0
116,2012-10-01,Ethiopia,SNNPR,Wolayita,2.0
93,2012-10-01,Ethiopia,Oromia,Bale,2.0
96,2012-10-01,Ethiopia,Somali,Afder,2.0
3270,2012-10-01,Ethiopia,SNNPR,Alaba,2.0
5708,2012-10-01,Ethiopia,Oromia,Arsi,1.0
5710,2012-10-01,Ethiopia,SNNPR,Basketo,1.0
5711,2012-10-01,Ethiopia,SNNPR,Bench Maji,1.0
3274,2012-10-01,Ethiopia,Tigray,Central Tigray,2.0
5713,2012-10-01,Ethiopia,SNNPR,Dawro,1.0
5714,2012-10-01,Ethiopia,Amhara,East Gojam,1.0
5715,2012-10-01,Ethiopia,Oromia,East Shewa,1.0
5716,2012-10-01,Ethiopia,Oromia,East Wellega,1.0
105,2012-10-01,Ethiopia,Oromia,Gujii,2.0
5720,2012-10-01,Ethiopia,SNNPR,Gurage,1.0
5721,2012-10-01,Ethiopia,Oromia,Horo Guduru,1.0
107,2012-10-01,Ethiopia,Somali,Fafan,2.0
5723,2012-10-01,Ethiopia,Oromia,Jimma,1.0
109,2012-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
5725,2012-10-01,Ethiopia,SNNPR,Keffa,1.0
5726,2012-10-01,Ethiopia,Oromia,Kelem,1.0
5727,2012-10-01,Ethiopia,SNNPR,Konta,1.0
111,2012-10-01,Ethiopia,Somali,Liben,2.0
5729,2012-10-01,Ethiopia,Amhara,North Shewa,1.0
6169,2012-10-01,Ethiopia,Amhara,North Wollo,3.0
5731,2012-10-01,Ethiopia,Gambela,Nuer,1.0
5732,2012-10-01,Ethiopia,Amhara,Oromia,1.0
6171,2012-10-01,Ethiopia,Somali,Sitti,3.0
5733,2012-10-01,Ethiopia,Amhara,South Gondar,1.0
3297,2012-10-01,Ethiopia,Amhara,South Wollo,2.0
3298,2012-10-01,Ethiopia,Tigray,South Tigray,2.0
5737,2012-10-01,Ethiopia,Amhara,Argoba,1.0
6622,2012-10-01,Ethiopia,Amhara,Wag Himra,3.0
5740,2012-10-01,Ethiopia,Amhara,West Gojam,1.0
3302,2012-10-01,Ethiopia,Oromia,West Hararge,2.0
5742,2012-10-01,Ethiopia,Oromia,West Shewa,1.0
5743,2012-10-01,Ethiopia,Oromia,West Wellega,1.0
5744,2012-10-01,Ethiopia,Tigray,West Tigray,1.0
5746,2012-10-01,Ethiopia,SNNPR,Yem,1.0
6178,2012-10-01,Ethiopia,Afar,Awusi,3.0
3306,2012-10-01,Ethiopia,Afar,Gabi,2.0
3308,2012-10-01,Ethiopia,Afar,Khari,2.0
5749,2012-10-01,Ethiopia,Tigray,Northwest Tigray,1.0
5750,2012-10-01,Ethiopia,Gambela,Itang,1.0
5751,2012-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5753,2012-10-01,Ethiopia,Gambela,Agniwak,1.0
5754,2012-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
6624,2012-10-01,Ethiopia,Tigray,East Tigray,3.0
5756,2012-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5757,2012-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
5759,2012-10-01,Ethiopia,Oromia,South West Shewa,1.0
5760,2012-10-01,Ethiopia,Amhara,North Gondar,1.0
121,2012-10-01,Ethiopia,SNNPR,Hadiya,2.0
3324,2012-10-01,Ethiopia,SNNPR,Silltie,2.0
101,2012-10-01,Ethiopia,Somali,Jarar,2.0
5722,2012-10-01,Ethiopia,Oromia,Ilubabor,1.0
110,2012-10-01,Ethiopia,Somali,Korahe,2.0
119,2012-10-01,Ethiopia,Somali,Shebelle,2.0
3315,2012-10-01,Ethiopia,Oromia,East Hararge,2.0
122,2012-10-01,Ethiopia,Somali,Nogob,2.0
124,2012-10-01,Ethiopia,Somali,Dollo,2.0
3307,2012-10-01,Ethiopia,Afar,Fanti,2.0
3320,2012-10-01,Ethiopia,Afar,Kilbati,2.0
3276,2012-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
6962,2012-10-01,Ethiopia,Harari,Harari,99.0
5704,2012-10-01,Ethiopia,SNNPR,Sheka,1.0
5709,2012-10-01,Ethiopia,Amhara,Awi,1.0
5728,2012-10-01,Ethiopia,Gambela,Mezhenger,1.0
5752,2012-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6966,2012-10-01,Ethiopia,Addis Ababa,Region 14,99.0
1048,2013-01-01,Ethiopia,SNNPR,Segen,3.0
127,2013-01-01,Ethiopia,Oromia,Borena,2.0
1051,2013-01-01,Ethiopia,SNNPR,Sidama,3.0
1062,2013-01-01,Ethiopia,SNNPR,Gamo Gofa,3.0
140,2013-01-01,Ethiopia,SNNPR,Gedeo,2.0
155,2013-01-01,Ethiopia,SNNPR,South Omo,2.0
5429,2013-01-01,Ethiopia,Oromia,West Arsi,1.0
1083,2013-01-01,Ethiopia,SNNPR,Wolayita,3.0
126,2013-01-01,Ethiopia,Oromia,Bale,2.0
1052,2013-01-01,Ethiopia,Somali,Afder,3.0
1053,2013-01-01,Ethiopia,SNNPR,Alaba,3.0
5403,2013-01-01,Ethiopia,Oromia,Arsi,1.0
5405,2013-01-01,Ethiopia,SNNPR,Basketo,1.0
5406,2013-01-01,Ethiopia,SNNPR,Bench Maji,1.0
6466,2013-01-01,Ethiopia,Tigray,Central Tigray,2.0
5408,2013-01-01,Ethiopia,SNNPR,Dawro,1.0
5409,2013-01-01,Ethiopia,Amhara,East Gojam,1.0
5410,2013-01-01,Ethiopia,Oromia,East Shewa,1.0
5411,2013-01-01,Ethiopia,Oromia,East Wellega,1.0
1064,2013-01-01,Ethiopia,Oromia,Gujii,3.0
5415,2013-01-01,Ethiopia,SNNPR,Gurage,1.0
6471,2013-01-01,Ethiopia,Oromia,Horo Guduru,2.0
143,2013-01-01,Ethiopia,Somali,Fafan,2.0
5418,2013-01-01,Ethiopia,Oromia,Jimma,1.0
145,2013-01-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
5419,2013-01-01,Ethiopia,SNNPR,Keffa,1.0
5420,2013-01-01,Ethiopia,Oromia,Kelem,1.0
5421,2013-01-01,Ethiopia,SNNPR,Konta,1.0
1070,2013-01-01,Ethiopia,Somali,Liben,3.0
5423,2013-01-01,Ethiopia,Amhara,North Shewa,1.0
1072,2013-01-01,Ethiopia,Amhara,North Wollo,3.0
6480,2013-01-01,Ethiopia,Gambela,Nuer,2.0
6481,2013-01-01,Ethiopia,Amhara,Oromia,2.0
4924,2013-01-01,Ethiopia,Somali,Sitti,3.0
5426,2013-01-01,Ethiopia,Amhara,South Gondar,1.0
1077,2013-01-01,Ethiopia,Amhara,South Wollo,3.0
4925,2013-01-01,Ethiopia,Tigray,South Tigray,3.0
158,2013-01-01,Ethiopia,Amhara,Argoba,2.0
4926,2013-01-01,Ethiopia,Amhara,Wag Himra,3.0
5430,2013-01-01,Ethiopia,Amhara,West Gojam,1.0
4927,2013-01-01,Ethiopia,Oromia,West Hararge,3.0
5432,2013-01-01,Ethiopia,Oromia,West Shewa,1.0
5433,2013-01-01,Ethiopia,Oromia,West Wellega,1.0
5434,2013-01-01,Ethiopia,Tigray,West Tigray,1.0
5436,2013-01-01,Ethiopia,SNNPR,Yem,1.0
164,2013-01-01,Ethiopia,Afar,Awusi,2.0
165,2013-01-01,Ethiopia,Afar,Gabi,2.0
167,2013-01-01,Ethiopia,Afar,Khari,2.0
5438,2013-01-01,Ethiopia,Tigray,Northwest Tigray,1.0
6498,2013-01-01,Ethiopia,Gambela,Itang,2.0
5440,2013-01-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5442,2013-01-01,Ethiopia,Gambela,Agniwak,1.0
5443,2013-01-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
4933,2013-01-01,Ethiopia,Tigray,East Tigray,3.0
5444,2013-01-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5445,2013-01-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
5447,2013-01-01,Ethiopia,Oromia,South West Shewa,1.0
5448,2013-01-01,Ethiopia,Amhara,North Gondar,1.0
174,2013-01-01,Ethiopia,SNNPR,Hadiya,2.0
1095,2013-01-01,Ethiopia,SNNPR,Silltie,3.0
136,2013-01-01,Ethiopia,Somali,Jarar,2.0
5417,2013-01-01,Ethiopia,Oromia,Ilubabor,1.0
148,2013-01-01,Ethiopia,Somali,Korahe,2.0
1086,2013-01-01,Ethiopia,Somali,Shebelle,3.0
4932,2013-01-01,Ethiopia,Oromia,East Hararge,3.0
1094,2013-01-01,Ethiopia,Somali,Nogob,3.0
177,2013-01-01,Ethiopia,Somali,Dollo,2.0
4930,2013-01-01,Ethiopia,Afar,Fanti,3.0
4934,2013-01-01,Ethiopia,Afar,Kilbati,3.0
1059,2013-01-01,Ethiopia,Dire Dawa,Dire Dawa,3.0
1066,2013-01-01,Ethiopia,Harari,Harari,3.0
5400,2013-01-01,Ethiopia,SNNPR,Sheka,1.0
5404,2013-01-01,Ethiopia,Amhara,Awi,1.0
5422,2013-01-01,Ethiopia,Gambela,Mezhenger,1.0
5441,2013-01-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6912,2013-01-01,Ethiopia,Addis Ababa,Region 14,99.0
234,2018-12-01,Ethiopia,SNNPR,Segen,99.0
237,2018-12-01,Ethiopia,Oromia,Borena,99.0
238,2018-12-01,Ethiopia,SNNPR,Sidama,99.0
252,2018-12-01,Ethiopia,SNNPR,Gamo Gofa,99.0
253,2018-12-01,Ethiopia,SNNPR,Gedeo,99.0
274,2018-12-01,Ethiopia,SNNPR,South Omo,99.0
279,2018-12-01,Ethiopia,Oromia,West Arsi,99.0
285,2018-12-01,Ethiopia,SNNPR,Wolayita,99.0
235,2018-12-01,Ethiopia,Oromia,Bale,99.0
239,2018-12-01,Ethiopia,Somali,Afder,99.0
240,2018-12-01,Ethiopia,SNNPR,Alaba,99.0
241,2018-12-01,Ethiopia,Oromia,Arsi,99.0
243,2018-12-01,Ethiopia,SNNPR,Basketo,99.0
244,2018-12-01,Ethiopia,SNNPR,Bench Maji,99.0
245,2018-12-01,Ethiopia,Tigray,Central Tigray,99.0
246,2018-12-01,Ethiopia,SNNPR,Dawro,99.0
249,2018-12-01,Ethiopia,Amhara,East Gojam,99.0
250,2018-12-01,Ethiopia,Oromia,East Shewa,99.0
251,2018-12-01,Ethiopia,Oromia,East Wellega,99.0
254,2018-12-01,Ethiopia,Oromia,Gujii,99.0
255,2018-12-01,Ethiopia,SNNPR,Gurage,99.0
257,2018-12-01,Ethiopia,Oromia,Horo Guduru,99.0
259,2018-12-01,Ethiopia,Somali,Fafan,99.0
260,2018-12-01,Ethiopia,Oromia,Jimma,99.0
261,2018-12-01,Ethiopia,SNNPR,Kembata Tembaro,99.0
262,2018-12-01,Ethiopia,SNNPR,Keffa,99.0
263,2018-12-01,Ethiopia,Oromia,Kelem,99.0
264,2018-12-01,Ethiopia,SNNPR,Konta,99.0
266,2018-12-01,Ethiopia,Somali,Liben,99.0
268,2018-12-01,Ethiopia,Amhara,North Shewa,99.0
269,2018-12-01,Ethiopia,Amhara,North Wollo,99.0
270,2018-12-01,Ethiopia,Gambela,Nuer,99.0
271,2018-12-01,Ethiopia,Amhara,Oromia,99.0
272,2018-12-01,Ethiopia,Somali,Sitti,99.0
273,2018-12-01,Ethiopia,Amhara,South Gondar,99.0
275,2018-12-01,Ethiopia,Amhara,South Wollo,99.0
276,2018-12-01,Ethiopia,Tigray,South Tigray,99.0
277,2018-12-01,Ethiopia,Amhara,Argoba,99.0
278,2018-12-01,Ethiopia,Amhara,Wag Himra,99.0
280,2018-12-01,Ethiopia,Amhara,West Gojam,99.0
281,2018-12-01,Ethiopia,Oromia,West Hararge,99.0
282,2018-12-01,Ethiopia,Oromia,West Shewa,99.0
283,2018-12-01,Ethiopia,Oromia,West Wellega,99.0
284,2018-12-01,Ethiopia,Tigray,West Tigray,99.0
286,2018-12-01,Ethiopia,SNNPR,Yem,99.0
287,2018-12-01,Ethiopia,Afar,Awusi,99.0
288,2018-12-01,Ethiopia,Afar,Gabi,99.0
290,2018-12-01,Ethiopia,Afar,Khari,99.0
292,2018-12-01,Ethiopia,Tigray,Northwest Tigray,99.0
293,2018-12-01,Ethiopia,Gambela,Itang,99.0
294,2018-12-01,Ethiopia,Benshangul Gumuz,Mao-Komo,99.0
296,2018-12-01,Ethiopia,Gambela,Agniwak,99.0
297,2018-12-01,Ethiopia,Benshangul Gumuz,Asosa,99.0
299,2018-12-01,Ethiopia,Tigray,East Tigray,99.0
300,2018-12-01,Ethiopia,Benshangul Gumuz,Kemashi,99.0
301,2018-12-01,Ethiopia,Benshangul Gumuz,Metekel,99.0
303,2018-12-01,Ethiopia,Oromia,South West Shewa,99.0
305,2018-12-01,Ethiopia,Amhara,North Gondar,99.0
