,date,ADMIN0,ADMIN1,ADMIN2,ML1
0,2014-07-01,Ethiopia,SNNPR,Segen,1.0
3944,2014-07-01,Ethiopia,Oromia,Borena,2.0
2504,2014-07-01,Ethiopia,SNNPR,Sidama,1.0
2515,2014-07-01,Ethiopia,SNNPR,Gamo Gofa,1.0
2516,2014-07-01,Ethiopia,SNNPR,Gedeo,1.0
3148,2014-07-01,Ethiopia,SNNPR,South Omo,2.0
3968,2014-07-01,Ethiopia,Oromia,West Arsi,2.0
2538,2014-07-01,Ethiopia,SNNPR,Wolayita,1.0
3130,2014-07-01,Ethiopia,Oromia,Bale,2.0
3946,2014-07-01,Ethiopia,Somali,Afder,2.0
2505,2014-07-01,Ethiopia,SNNPR,Alaba,1.0
2506,2014-07-01,Ethiopia,Oromia,Arsi,1.0
2508,2014-07-01,Ethiopia,SNNPR,Basketo,1.0
2509,2014-07-01,Ethiopia,SNNPR,Bench Maji,1.0
4818,2014-07-01,Ethiopia,Tigray,Central Tigray,3.0
2511,2014-07-01,Ethiopia,SNNPR,Dawro,1.0
2512,2014-07-01,Ethiopia,Amhara,East Gojam,1.0
2513,2014-07-01,Ethiopia,Oromia,East Shewa,1.0
2514,2014-07-01,Ethiopia,Oromia,East Wellega,1.0
3954,2014-07-01,Ethiopia,Oromia,Gujii,2.0
2518,2014-07-01,Ethiopia,SNNPR,Gurage,1.0
2519,2014-07-01,Ethiopia,Oromia,Horo Guduru,1.0
3956,2014-07-01,Ethiopia,Somali,Fafan,2.0
2521,2014-07-01,Ethiopia,Oromia,Jimma,1.0
2522,2014-07-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
2523,2014-07-01,Ethiopia,SNNPR,Keffa,1.0
2524,2014-07-01,Ethiopia,Oromia,Kelem,1.0
2525,2014-07-01,Ethiopia,SNNPR,Konta,1.0
3958,2014-07-01,Ethiopia,Somali,Liben,2.0
2527,2014-07-01,Ethiopia,Amhara,North Shewa,1.0
3144,2014-07-01,Ethiopia,Amhara,North Wollo,2.0
2528,2014-07-01,Ethiopia,Gambela,Nuer,1.0
3145,2014-07-01,Ethiopia,Amhara,Oromia,2.0
3962,2014-07-01,Ethiopia,Somali,Sitti,2.0
2529,2014-07-01,Ethiopia,Amhara,South Gondar,1.0
3149,2014-07-01,Ethiopia,Amhara,South Wollo,2.0
3966,2014-07-01,Ethiopia,Tigray,South Tigray,2.0
3151,2014-07-01,Ethiopia,Amhara,Argoba,2.0
4828,2014-07-01,Ethiopia,Amhara,Wag Himra,3.0
2533,2014-07-01,Ethiopia,Amhara,West Gojam,1.0
3969,2014-07-01,Ethiopia,Oromia,West Hararge,2.0
2535,2014-07-01,Ethiopia,Oromia,West Shewa,1.0
2536,2014-07-01,Ethiopia,Oromia,West Wellega,1.0
2537,2014-07-01,Ethiopia,Tigray,West Tigray,1.0
2539,2014-07-01,Ethiopia,SNNPR,Yem,1.0
3971,2014-07-01,Ethiopia,Afar,Awusi,2.0
3972,2014-07-01,Ethiopia,Afar,Gabi,2.0
3974,2014-07-01,Ethiopia,Afar,Khari,2.0
2541,2014-07-01,Ethiopia,Tigray,Northwest Tigray,1.0
2542,2014-07-01,Ethiopia,Gambela,Itang,1.0
2543,2014-07-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2545,2014-07-01,Ethiopia,Gambela,Agniwak,1.0
2546,2014-07-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
4841,2014-07-01,Ethiopia,Tigray,East Tigray,3.0
2547,2014-07-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2548,2014-07-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
2550,2014-07-01,Ethiopia,Oromia,South West Shewa,1.0
2551,2014-07-01,Ethiopia,Amhara,North Gondar,1.0
2552,2014-07-01,Ethiopia,SNNPR,Hadiya,1.0
2553,2014-07-01,Ethiopia,SNNPR,Silltie,1.0
3136,2014-07-01,Ethiopia,Somali,Jarar,2.0
2520,2014-07-01,Ethiopia,Oromia,Ilubabor,1.0
3141,2014-07-01,Ethiopia,Somali,Korahe,2.0
3975,2014-07-01,Ethiopia,Somali,Shebelle,2.0
3978,2014-07-01,Ethiopia,Oromia,East Hararge,2.0
3163,2014-07-01,Ethiopia,Somali,Nogob,2.0
3985,2014-07-01,Ethiopia,Somali,Dollo,2.0
3973,2014-07-01,Ethiopia,Afar,Fanti,2.0
4842,2014-07-01,Ethiopia,Afar,Kilbati,3.0
3950,2014-07-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
3955,2014-07-01,Ethiopia,Harari,Harari,2.0
2502,2014-07-01,Ethiopia,SNNPR,Sheka,1.0
2507,2014-07-01,Ethiopia,Amhara,Awi,1.0
2526,2014-07-01,Ethiopia,Gambela,Mezhenger,1.0
2544,2014-07-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6931,2014-07-01,Ethiopia,Addis Ababa,Region 14,99.0
178,2010-01-01,Ethiopia,SNNPR,Segen,3.0
180,2010-01-01,Ethiopia,Oromia,Borena,3.0
11,2010-01-01,Ethiopia,SNNPR,Sidama,2.0
22,2010-01-01,Ethiopia,SNNPR,Gamo Gofa,2.0
23,2010-01-01,Ethiopia,SNNPR,Gedeo,2.0
40,2010-01-01,Ethiopia,SNNPR,South Omo,2.0
6055,2010-01-01,Ethiopia,Oromia,West Arsi,1.0
51,2010-01-01,Ethiopia,SNNPR,Wolayita,2.0
179,2010-01-01,Ethiopia,Oromia,Bale,3.0
182,2010-01-01,Ethiopia,Somali,Afder,3.0
183,2010-01-01,Ethiopia,SNNPR,Alaba,3.0
14,2010-01-01,Ethiopia,Oromia,Arsi,2.0
6034,2010-01-01,Ethiopia,SNNPR,Basketo,1.0
16,2010-01-01,Ethiopia,SNNPR,Bench Maji,2.0
17,2010-01-01,Ethiopia,Tigray,Central Tigray,2.0
18,2010-01-01,Ethiopia,SNNPR,Dawro,2.0
6037,2010-01-01,Ethiopia,Amhara,East Gojam,1.0
20,2010-01-01,Ethiopia,Oromia,East Shewa,2.0
6039,2010-01-01,Ethiopia,Oromia,East Wellega,1.0
193,2010-01-01,Ethiopia,Oromia,Gujii,3.0
25,2010-01-01,Ethiopia,SNNPR,Gurage,2.0
6044,2010-01-01,Ethiopia,Oromia,Horo Guduru,1.0
197,2010-01-01,Ethiopia,Somali,Fafan,3.0
6046,2010-01-01,Ethiopia,Oromia,Jimma,1.0
29,2010-01-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
6047,2010-01-01,Ethiopia,SNNPR,Keffa,1.0
6048,2010-01-01,Ethiopia,Oromia,Kelem,1.0
6049,2010-01-01,Ethiopia,SNNPR,Konta,1.0
200,2010-01-01,Ethiopia,Somali,Liben,3.0
34,2010-01-01,Ethiopia,Amhara,North Shewa,2.0
202,2010-01-01,Ethiopia,Amhara,North Wollo,3.0
6638,2010-01-01,Ethiopia,Gambela,Nuer,4.0
37,2010-01-01,Ethiopia,Amhara,Oromia,2.0
6639,2010-01-01,Ethiopia,Somali,Sitti,4.0
39,2010-01-01,Ethiopia,Amhara,South Gondar,2.0
41,2010-01-01,Ethiopia,Amhara,South Wollo,2.0
6641,2010-01-01,Ethiopia,Tigray,South Tigray,4.0
43,2010-01-01,Ethiopia,Amhara,Argoba,2.0
6642,2010-01-01,Ethiopia,Amhara,Wag Himra,4.0
6056,2010-01-01,Ethiopia,Amhara,West Gojam,1.0
212,2010-01-01,Ethiopia,Oromia,West Hararge,3.0
6057,2010-01-01,Ethiopia,Oromia,West Shewa,1.0
6058,2010-01-01,Ethiopia,Oromia,West Wellega,1.0
6059,2010-01-01,Ethiopia,Tigray,West Tigray,1.0
6060,2010-01-01,Ethiopia,SNNPR,Yem,1.0
6643,2010-01-01,Ethiopia,Afar,Awusi,4.0
217,2010-01-01,Ethiopia,Afar,Gabi,3.0
219,2010-01-01,Ethiopia,Afar,Khari,3.0
56,2010-01-01,Ethiopia,Tigray,Northwest Tigray,2.0
6648,2010-01-01,Ethiopia,Gambela,Itang,4.0
58,2010-01-01,Ethiopia,Benshangul Gumuz,Mao-Komo,2.0
6649,2010-01-01,Ethiopia,Gambela,Agniwak,4.0
60,2010-01-01,Ethiopia,Benshangul Gumuz,Asosa,2.0
225,2010-01-01,Ethiopia,Tigray,East Tigray,3.0
62,2010-01-01,Ethiopia,Benshangul Gumuz,Kemashi,2.0
6068,2010-01-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
6070,2010-01-01,Ethiopia,Oromia,South West Shewa,1.0
6071,2010-01-01,Ethiopia,Amhara,North Gondar,1.0
66,2010-01-01,Ethiopia,SNNPR,Hadiya,2.0
231,2010-01-01,Ethiopia,SNNPR,Silltie,3.0
188,2010-01-01,Ethiopia,Somali,Jarar,3.0
6045,2010-01-01,Ethiopia,Oromia,Ilubabor,1.0
6634,2010-01-01,Ethiopia,Somali,Korahe,4.0
220,2010-01-01,Ethiopia,Somali,Shebelle,3.0
224,2010-01-01,Ethiopia,Oromia,East Hararge,3.0
230,2010-01-01,Ethiopia,Somali,Nogob,3.0
6653,2010-01-01,Ethiopia,Somali,Dollo,4.0
218,2010-01-01,Ethiopia,Afar,Fanti,3.0
227,2010-01-01,Ethiopia,Afar,Kilbati,3.0
189,2010-01-01,Ethiopia,Dire Dawa,Dire Dawa,3.0
195,2010-01-01,Ethiopia,Harari,Harari,3.0
6028,2010-01-01,Ethiopia,SNNPR,Sheka,1.0
6033,2010-01-01,Ethiopia,Amhara,Awi,1.0
6050,2010-01-01,Ethiopia,Gambela,Mezhenger,1.0
6064,2010-01-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6977,2010-01-01,Ethiopia,Addis Ababa,Region 14,99.0
69,2009-10-01,Ethiopia,SNNPR,Segen,3.0
71,2009-10-01,Ethiopia,Oromia,Borena,3.0
4203,2009-10-01,Ethiopia,SNNPR,Sidama,2.0
4215,2009-10-01,Ethiopia,SNNPR,Gamo Gofa,2.0
4216,2009-10-01,Ethiopia,SNNPR,Gedeo,2.0
4232,2009-10-01,Ethiopia,SNNPR,South Omo,2.0
4237,2009-10-01,Ethiopia,Oromia,West Arsi,2.0
