date,Source,ADMIN1,pop_CS,pop_ML1,pop_ML2,pop_ADMIN1,CS_1,CS_2,CS_3,CS_4,CS_5,CS_3p,CS_2m,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML1_3p,ML1_2m,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,ML2_3p,ML2_2m,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,perc_CS_3p,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,perc_ML1_3p,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,perc_ML2_3p,perc_ML2_2m,threshold_ML1_4_20,threshold_ML1_3_30,threshold_ML1_3_5i,threshold_ML2_4_20,threshold_ML2_3_30,threshold_ML2_3_5i,trigger_ML1,trigger_ML2
2010-01-01,FewsNet,Afar,1680884.0,1680884.0,1680884.0,1680884.0,0.0,433156.0,1247728.0,0.0,0.0,1247728.0,433156.0,0.0,0.0,1113324.0,567560.0,0.0,1680884.0,0.0,0.0,0.0,1432551.0,248333.0,0.0,1680884.0,0.0,0.0,25.769535553910917,74.23046444608909,0.0,0.0,74.23046444608909,25.769535553910917,0.0,0.0,66.23443378603163,33.76556621396836,0.0,100.0,0.0,0.0,0.0,85.22604772250791,14.77395227749208,0.0,100.0,0.0,1,1,1,0,1,1,True,True
2010-01-01,FewsNet,Amhara,19232588.0,19232588.0,19232588.0,19232588.0,8832192.0,9944558.0,455838.0,0.0,0.0,455838.0,18776750.0,8832192.0,8408490.0,1536068.0,455838.0,0.0,1991906.0,17240682.0,8832192.0,3015882.0,5392608.0,1991906.0,0.0,7384514.0,11848074.0,45.923055181133186,51.70681137660724,2.3701334422595646,0.0,0.0,2.3701334422595646,97.62986655774043,45.923055181133186,43.72001313603764,7.986798240569599,2.3701334422595646,0.0,10.356931682829165,89.64306831717084,45.923055181133186,15.68110334397014,28.038909792067507,10.356931682829165,0.0,38.39584147489667,61.60415852510332,0,0,1,0,1,1,False,True
2010-01-01,FewsNet,Benishangul Gumz,973403.0,973403.0,973403.0,973403.0,973403.0,0.0,0.0,0.0,0.0,0.0,973403.0,422921.0,550482.0,0.0,0.0,0.0,0.0,973403.0,422921.0,550482.0,0.0,0.0,0.0,0.0,973403.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,43.44767788880864,56.55232211119136,0.0,0.0,0.0,0.0,100.0,43.44767788880864,56.55232211119136,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,False,False
2010-01-01,FewsNet,Dire Dawa,449184.0,449184.0,449184.0,449184.0,0.0,449184.0,0.0,0.0,0.0,0.0,449184.0,0.0,0.0,449184.0,0.0,0.0,449184.0,0.0,0.0,0.0,449184.0,0.0,0.0,449184.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0,1,1,0,1,1,True,True
2010-01-01,FewsNet,Gambela,408506.0,408506.0,408506.0,408506.0,72037.0,0.0,336469.0,0.0,0.0,336469.0,72037.0,72037.0,0.0,0.0,336469.0,0.0,336469.0,72037.0,72037.0,0.0,0.0,336469.0,0.0,336469.0,72037.0,17.634257513965522,0.0,82.36574248603448,0.0,0.0,82.36574248603448,17.634257513965522,17.634257513965522,0.0,0.0,82.36574248603448,0.0,82.36574248603448,17.634257513965522,17.634257513965522,0.0,0.0,82.36574248603448,0.0,82.36574248603448,17.634257513965522,1,1,0,1,1,0,True,True
2010-01-01,FewsNet,Harari,229502.0,229502.0,229502.0,229502.0,0.0,229502.0,0.0,0.0,0.0,0.0,229502.0,0.0,0.0,229502.0,0.0,0.0,229502.0,0.0,0.0,0.0,229502.0,0.0,0.0,229502.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0,1,1,0,1,1,True,True
2010-01-01,FewsNet,Oromia,33401502.0,33401502.0,33401502.0,33401502.0,11691607.0,18254004.0,3455891.0,0.0,0.0,3455891.0,29945611.0,14223804.0,7705416.0,11472282.0,0.0,0.0,11472282.0,21929220.0,16195962.0,5733258.0,5904211.0,5568071.0,0.0,11472282.0,21929220.0,35.00323727956904,54.65024896185806,10.346513758572891,0.0,0.0,10.346513758572891,89.6534862414271,42.584324501335296,23.069070366955355,34.346605131709346,0.0,0.0,34.346605131709346,65.65339486829065,48.48872365081067,17.16467121747998,17.676483530590932,16.670121601118417,0.0,34.346605131709346,65.65339486829065,0,1,1,0,1,1,True,True
2010-01-01,FewsNet,SNNP,17884390.0,17884390.0,17884390.0,17884390.0,1967633.0,14598146.0,1318611.0,0.0,0.0,1318611.0,16565779.0,1967633.0,13754850.0,2161907.0,0.0,0.0,2161907.0,15722483.0,1967633.0,5982231.0,8700651.0,1233875.0,0.0,9934526.0,7949864.0,11.001957573056727,81.62507080196752,7.372971624975746,0.0,0.0,7.372971624975746,92.62702837502425,11.001957573056727,76.90980793865488,12.08823448828839,0.0,0.0,12.08823448828839,87.91176551171162,11.001957573056727,33.44945508345546,48.64941437756614,6.899172965921678,0.0,55.54858734348781,44.45141265651218,0,0,1,0,1,1,False,True
2010-01-01,FewsNet,Somali,5486766.0,5486766.0,5486766.0,5486766.0,0.0,1665446.0,3821320.0,0.0,0.0,3821320.0,1665446.0,0.0,0.0,4090516.0,1396250.0,0.0,5486766.0,0.0,0.0,0.0,4918166.0,568600.0,0.0,5486766.0,0.0,0.0,30.353873301686274,69.64612669831372,0.0,0.0,69.64612669831372,30.353873301686274,0.0,0.0,74.55240482280455,25.447595177195453,0.0,100.0,0.0,0.0,0.0,89.63688263724022,10.363117362759775,0.0,100.0,0.0,1,1,1,0,1,1,True,True
2010-01-01,FewsNet,Tigray,4728399.0,4728399.0,4728399.0,4728399.0,388843.0,3675517.0,664039.0,0.0,0.0,664039.0,4064360.0,388843.0,2010373.0,1665144.0,664039.0,0.0,2329183.0,2399216.0,388843.0,788417.0,2051672.0,1499467.0,0.0,3551139.0,1177260.0,8.223565735463525,77.73280131393311,14.043632950603365,0.0,0.0,14.043632950603365,85.95636704939663,8.223565735463525,42.51699148062589,35.21580983330722,14.043632950603365,0.0,49.25944278391058,50.74055721608942,8.223565735463525,16.674079323678058,43.3904160795229,31.71193886133552,0.0,75.10235494085842,24.89764505914158,0,1,1,1,1,1,True,True
2010-04-01,FewsNet,Addis Ababa,3164789.0,3164789.0,3164789.0,3164789.0,3164789.0,0.0,0.0,0.0,0.0,0.0,3164789.0,3164789.0,0.0,0.0,0.0,0.0,0.0,3164789.0,3164789.0,0.0,0.0,0.0,0.0,0.0,3164789.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,False,False
2010-04-01,FewsNet,Afar,1680884.0,1680884.0,1680884.0,1680884.0,0.0,1000716.0,680168.0,0.0,0.0,680168.0,1000716.0,0.0,1000716.0,680168.0,0.0,0.0,680168.0,1000716.0,0.0,1000716.0,680168.0,0.0,0.0,680168.0,1000716.0,0.0,59.53510176787928,40.46489823212072,0.0,0.0,40.46489823212072,59.53510176787928,0.0,59.53510176787928,40.46489823212072,0.0,0.0,40.46489823212072,59.53510176787928,0.0,59.53510176787928,40.46489823212072,0.0,0.0,40.46489823212072,59.53510176787928,0,1,0,0,1,0,False,False
