,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2019-10-01,2.0,Ethiopia,Somali,Afder
74,2019-10-01,3.0,Ethiopia,SNNP,Alle
326,2019-10-01,1.0,Ethiopia,Oromia,Arsi
327,2019-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
78,2019-10-01,3.0,Ethiopia,Oromia,Bale
330,2019-10-01,1.0,Ethiopia,SNNP,Basketo
332,2019-10-01,1.0,Ethiopia,Oromia,Borena
333,2019-10-01,1.0,Ethiopia,Oromia,Buno Bedele
335,2019-10-01,1.0,Ethiopia,Tigray,Central
336,2019-10-01,1.0,Ethiopia,Amhara,Central Gondar
83,2019-10-01,3.0,Ethiopia,Somali,Daawa
337,2019-10-01,1.0,Ethiopia,SNNP,Dawuro
85,2019-10-01,3.0,Ethiopia,SNNP,Derashe
13,2019-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
339,2019-10-01,1.0,Ethiopia,Dire Dawa,Dire Dawa urban
15,2019-10-01,2.0,Ethiopia,Somali,Doolo
340,2019-10-01,1.0,Ethiopia,Amhara,East Gojam
87,2019-10-01,3.0,Ethiopia,Oromia,East Hararge
342,2019-10-01,1.0,Ethiopia,Oromia,East Shewa
343,2019-10-01,1.0,Ethiopia,Oromia,East Wellega
89,2019-10-01,3.0,Ethiopia,Tigray,Eastern
90,2019-10-01,3.0,Ethiopia,Somali,Erer
22,2019-10-01,2.0,Ethiopia,Somali,Fafan
23,2019-10-01,2.0,Ethiopia,SNNP,Gamo
93,2019-10-01,3.0,Ethiopia,SNNP,Gedeo
25,2019-10-01,2.0,Ethiopia,SNNP,Gofa
351,2019-10-01,1.0,Ethiopia,Oromia,Guji
352,2019-10-01,1.0,Ethiopia,SNNP,Guraghe
28,2019-10-01,2.0,Ethiopia,SNNP,Hadiya
97,2019-10-01,3.0,Ethiopia,SNNP,Halaba Special
30,2019-10-01,2.0,Ethiopia,Harari,Harari
31,2019-10-01,2.0,Ethiopia,Somali,Jarar
362,2019-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
102,2019-10-01,3.0,Ethiopia,SNNP,Kembata Tibaro
103,2019-10-01,3.0,Ethiopia,SNNP,Konso
365,2019-10-01,1.0,Ethiopia,SNNP,Konta Special
36,2019-10-01,2.0,Ethiopia,Somali,Korahe
