,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3,Ethiopia,Somali,Afder
124,2009-07-01,2,Ethiopia,Gambela,Agnewak
2,2009-07-01,3,Ethiopia,SNNP,Alle
3,2009-07-01,3,Ethiopia,SNNP,Amaro
127,2009-07-01,2,Ethiopia,Oromia,Arsi
5,2009-07-01,3,Ethiopia,Oromia,Bale
77,2009-07-01,1,Ethiopia,SNNP,Basketo
132,2009-07-01,2,Ethiopia,Oromia,Borena
8,2009-07-01,3,Ethiopia,SNNP,Burji
9,2009-07-01,3,Ethiopia,Somali,Daawa
10,2009-07-01,3,Ethiopia,SNNP,Derashe
143,2009-07-01,2,Ethiopia,Oromia,East Hararge
146,2009-07-01,2,Ethiopia,Tigray,Eastern
46,2009-07-01,4,Ethiopia,Somali,Erer
151,2009-07-01,2,Ethiopia,SNNP,Gamo
15,2009-07-01,3,Ethiopia,SNNP,Gedeo
153,2009-07-01,2,Ethiopia,SNNP,Gofa
17,2009-07-01,3,Ethiopia,Oromia,Guji
96,2009-07-01,1,Ethiopia,SNNP,Kefa
19,2009-07-01,3,Ethiopia,SNNP,Konso
99,2009-07-01,1,Ethiopia,SNNP,Konta Special
21,2009-07-01,3,Ethiopia,Somali,Liban
173,2009-07-01,2,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4,Ethiopia,Somali,Nogob
177,2009-07-01,2,Ethiopia,Amhara,North Wello
179,2009-07-01,2,Ethiopia,Gambela,Nuwer
180,2009-07-01,2,Ethiopia,Amhara,Oromia
52,2009-07-01,4,Ethiopia,Somali,Shabelle
181,2009-07-01,2,Ethiopia,SNNP,Sidama
184,2009-07-01,2,Ethiopia,Tigray,South Eastern
185,2009-07-01,2,Ethiopia,Amhara,South Gondar
31,2009-07-01,3,Ethiopia,SNNP,South Omo
187,2009-07-01,2,Ethiopia,Amhara,South Wello
189,2009-07-01,2,Ethiopia,Tigray,Southern
190,2009-07-01,2,Ethiopia,Amhara,Wag Hamra
191,2009-07-01,2,Ethiopia,Oromia,West Arsi
192,2009-07-01,2,Ethiopia,Oromia,West Guji
193,2009-07-01,2,Ethiopia,Oromia,West Hararge
199,2009-07-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
40,2009-07-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
44,2009-07-01,4,Ethiopia,Somali,Doolo
149,2009-07-01,2,Ethiopia,Somali,Fafan
48,2009-07-01,4,Ethiopia,Somali,Jarar
49,2009-07-01,4,Ethiopia,Somali,Korahe
83,2009-07-01,1,Ethiopia,Amhara,East Gojam
148,2009-07-01,2,Ethiopia,Gambela,Etang Special woreda
87,2009-07-01,1,Ethiopia,Oromia,Finfine Special
171,2009-07-01,2,Ethiopia,Tigray,Mekele Special
175,2009-07-01,2,Ethiopia,Amhara,North Shewa
108,2009-07-01,1,Ethiopia,Addis Ababa,Region 14
183,2009-07-01,2,Ethiopia,Somali,Siti
116,2009-07-01,1,Ethiopia,Amhara,West Gojam
74,2009-07-01,1,Ethiopia,Benishangul Gumz,Asosa
75,2009-07-01,1,Ethiopia,Amhara,Awi
78,2009-07-01,1,Ethiopia,SNNP,Bench Maji
80,2009-07-01,1,Ethiopia,Oromia,Buno Bedele
81,2009-07-01,1,Ethiopia,Amhara,Central Gondar
138,2009-07-01,2,Ethiopia,SNNP,Dawuro
144,2009-07-01,2,Ethiopia,Oromia,East Shewa
85,2009-07-01,1,Ethiopia,Oromia,East Wellega
155,2009-07-01,2,Ethiopia,SNNP,Guraghe
156,2009-07-01,2,Ethiopia,SNNP,Hadiya
93,2009-07-01,1,Ethiopia,Oromia,Horo Gudru Wellega
94,2009-07-01,1,Ethiopia,Oromia,Ilu Aba Bora
95,2009-07-01,1,Ethiopia,Oromia,Jimma
97,2009-07-01,1,Ethiopia,Oromia,Kelem Wellega
98,2009-07-01,1,Ethiopia,Benishangul Gumz,Kemashi
100,2009-07-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
101,2009-07-01,1,Ethiopia,Gambela,Mejenger
102,2009-07-01,1,Ethiopia,Benishangul Gumz,Metekel
174,2009-07-01,2,Ethiopia,Amhara,North Gondar
176,2009-07-01,2,Ethiopia,Oromia,North Shewa
178,2009-07-01,2,Ethiopia,Tigray,North Western
109,2009-07-01,1,Ethiopia,SNNP,Sheka
114,2009-07-01,1,Ethiopia,Oromia,South West Shewa
117,2009-07-01,1,Ethiopia,Amhara,West Gondar
194,2009-07-01,2,Ethiopia,Oromia,West Shewa
120,2009-07-01,1,Ethiopia,Oromia,West Wellega
121,2009-07-01,1,Ethiopia,Tigray,Western
122,2009-07-01,1,Ethiopia,SNNP,Yem Special
201,2009-07-01,2,Ethiopia,Afar,Zone 3 (Gabi Rasu)
135,2009-07-01,2,Ethiopia,Tigray,Central
140,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
141,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
157,2009-07-01,2,Ethiopia,SNNP,Halaba Special
158,2009-07-01,2,Ethiopia,Harari,Harari
165,2009-07-01,2,Ethiopia,SNNP,Kembata Tibaro
182,2009-07-01,2,Ethiopia,SNNP,Siltie
197,2009-07-01,2,Ethiopia,SNNP,Wolayita
203,2009-07-01,2,Ethiopia,Afar,Zone 5 (Hari Rasu)
