,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3.0,Ethiopia,Somali,Afder
5362,2009-07-01,2.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
5365,2009-07-01,2.0,Ethiopia,Oromia,Arsi
5,2009-07-01,3.0,Ethiopia,Oromia,Bale
5315,2009-07-01,1.0,Ethiopia,SNNP,Basketo
5370,2009-07-01,2.0,Ethiopia,Oromia,Borena
8,2009-07-01,3.0,Ethiopia,SNNP,Burji
9,2009-07-01,3.0,Ethiopia,Somali,Daawa
10,2009-07-01,3.0,Ethiopia,SNNP,Derashe
5381,2009-07-01,2.0,Ethiopia,Oromia,East Hararge
5384,2009-07-01,2.0,Ethiopia,Tigray,Eastern
46,2009-07-01,4.0,Ethiopia,Somali,Erer
5389,2009-07-01,2.0,Ethiopia,SNNP,Gamo
15,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
5391,2009-07-01,2.0,Ethiopia,SNNP,Gofa
17,2009-07-01,3.0,Ethiopia,Oromia,Guji
5334,2009-07-01,1.0,Ethiopia,SNNP,Kefa
19,2009-07-01,3.0,Ethiopia,SNNP,Konso
5337,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
21,2009-07-01,3.0,Ethiopia,Somali,Liban
5411,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4.0,Ethiopia,Somali,Nogob
5415,2009-07-01,2.0,Ethiopia,Amhara,North Wello
5417,2009-07-01,2.0,Ethiopia,Gambela,Nuwer
5418,2009-07-01,2.0,Ethiopia,Amhara,Oromia
52,2009-07-01,4.0,Ethiopia,Somali,Shabelle
5419,2009-07-01,2.0,Ethiopia,SNNP,Sidama
5422,2009-07-01,2.0,Ethiopia,Tigray,South Eastern
5423,2009-07-01,2.0,Ethiopia,Amhara,South Gondar
31,2009-07-01,3.0,Ethiopia,SNNP,South Omo
5425,2009-07-01,2.0,Ethiopia,Amhara,South Wello
5427,2009-07-01,2.0,Ethiopia,Tigray,Southern
5428,2009-07-01,2.0,Ethiopia,Amhara,Wag Hamra
5429,2009-07-01,2.0,Ethiopia,Oromia,West Arsi
5430,2009-07-01,2.0,Ethiopia,Oromia,West Guji
5431,2009-07-01,2.0,Ethiopia,Oromia,West Hararge
5437,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
40,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
44,2009-07-01,4.0,Ethiopia,Somali,Doolo
5387,2009-07-01,2.0,Ethiopia,Somali,Fafan
48,2009-07-01,4.0,Ethiopia,Somali,Jarar
49,2009-07-01,4.0,Ethiopia,Somali,Korahe
5321,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
5386,2009-07-01,2.0,Ethiopia,Gambela,Etang Special woreda
5325,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special
5409,2009-07-01,2.0,Ethiopia,Tigray,Mekele Special
5413,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
5346,2009-07-01,1.0,Ethiopia,Addis Ababa,Region 14
5421,2009-07-01,2.0,Ethiopia,Somali,Siti
5354,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
5316,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
5378,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5382,2009-07-01,2.0,Ethiopia,Oromia,East Shewa
5332,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
5339,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
5439,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
5441,2009-07-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
5373,2009-07-01,2.0,Ethiopia,Tigray,Central
5319,2009-07-01,1.0,Ethiopia,Amhara,Central Gondar
5376,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
5379,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
5323,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
5393,2009-07-01,2.0,Ethiopia,SNNP,Guraghe
5394,2009-07-01,2.0,Ethiopia,SNNP,Hadiya
5395,2009-07-01,2.0,Ethiopia,SNNP,Halaba Special
5396,2009-07-01,2.0,Ethiopia,Harari,Harari
5331,2009-07-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
5333,2009-07-01,1.0,Ethiopia,Oromia,Jimma
5403,2009-07-01,2.0,Ethiopia,SNNP,Kembata Tibaro
5338,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5412,2009-07-01,2.0,Ethiopia,Amhara,North Gondar
5414,2009-07-01,2.0,Ethiopia,Oromia,North Shewa
5416,2009-07-01,2.0,Ethiopia,Tigray,North Western
5420,2009-07-01,2.0,Ethiopia,SNNP,Siltie
5352,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa
5432,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
5359,2009-07-01,1.0,Ethiopia,Tigray,Western
5435,2009-07-01,2.0,Ethiopia,SNNP,Wolayita
5335,2009-07-01,1.0,Ethiopia,Oromia,Kelem Wellega
5340,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5355,2009-07-01,1.0,Ethiopia,Amhara,West Gondar
5360,2009-07-01,1.0,Ethiopia,SNNP,Yem Special
5312,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Asosa
5336,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
5347,2009-07-01,1.0,Ethiopia,SNNP,Sheka
5358,2009-07-01,1.0,Ethiopia,Oromia,West Wellega
5313,2009-07-01,1.0,Ethiopia,Amhara,Awi
5318,2009-07-01,1.0,Ethiopia,Oromia,Buno Bedele
72,2009-10-01,3.0,Ethiopia,Somali,Afder
73,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
74,2009-10-01,3.0,Ethiopia,SNNP,Alle
75,2009-10-01,3.0,Ethiopia,SNNP,Amaro
5501,2009-10-01,2.0,Ethiopia,Oromia,Arsi
76,2009-10-01,3.0,Ethiopia,Oromia,Bale
5447,2009-10-01,1.0,Ethiopia,SNNP,Basketo
78,2009-10-01,3.0,Ethiopia,Oromia,Borena
79,2009-10-01,3.0,Ethiopia,SNNP,Burji
