,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
75,2009-07-01,4,Ethiopia,Somali,Afder
1,2009-07-01,3,Ethiopia,Gambela,Agnewak
2,2009-07-01,3,Ethiopia,SNNP,Alle
3,2009-07-01,3,Ethiopia,SNNP,Amaro
4,2009-07-01,3,Ethiopia,Oromia,Arsi
5,2009-07-01,3,Ethiopia,Oromia,Bale
112,2009-07-01,1,Ethiopia,SNNP,Basketo
113,2009-07-01,1,Ethiopia,SNNP,Bench Maji
8,2009-07-01,3,Ethiopia,Oromia,Borena
115,2009-07-01,1,Ethiopia,Oromia,Buno Bedele
10,2009-07-01,3,Ethiopia,SNNP,Burji
166,2009-07-01,2,Ethiopia,Tigray,Central
116,2009-07-01,1,Ethiopia,Amhara,Central Gondar
13,2009-07-01,3,Ethiopia,Somali,Daawa
168,2009-07-01,2,Ethiopia,SNNP,Dawuro
15,2009-07-01,3,Ethiopia,SNNP,Derashe
169,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa rural
118,2009-07-01,1,Ethiopia,Amhara,East Gojam
18,2009-07-01,3,Ethiopia,Oromia,East Hararge
119,2009-07-01,1,Ethiopia,Oromia,East Shewa
120,2009-07-01,1,Ethiopia,Oromia,East Wellega
21,2009-07-01,3,Ethiopia,Tigray,Eastern
82,2009-07-01,4,Ethiopia,Somali,Erer
23,2009-07-01,3,Ethiopia,Gambela,Etang Special woreda
24,2009-07-01,3,Ethiopia,Somali,Fafan
25,2009-07-01,3,Ethiopia,SNNP,Gamo
26,2009-07-01,3,Ethiopia,SNNP,Gedeo
179,2009-07-01,2,Ethiopia,SNNP,Gofa
28,2009-07-01,3,Ethiopia,Oromia,Guji
29,2009-07-01,3,Ethiopia,SNNP,Guraghe
30,2009-07-01,3,Ethiopia,SNNP,Hadiya
31,2009-07-01,3,Ethiopia,SNNP,Halaba Special
181,2009-07-01,2,Ethiopia,Harari,Harari
129,2009-07-01,1,Ethiopia,Oromia,Ilu Aba Bora
84,2009-07-01,4,Ethiopia,Somali,Jarar
130,2009-07-01,1,Ethiopia,Oromia,Jimma
131,2009-07-01,1,Ethiopia,SNNP,Kefa
133,2009-07-01,1,Ethiopia,Benishangul Gumz,Kemashi
38,2009-07-01,3,Ethiopia,SNNP,Kembata Tibaro
39,2009-07-01,3,Ethiopia,SNNP,Konso
134,2009-07-01,1,Ethiopia,SNNP,Konta Special
86,2009-07-01,4,Ethiopia,Somali,Liban
137,2009-07-01,1,Ethiopia,Gambela,Mejenger
43,2009-07-01,3,Ethiopia,Tigray,Mekele Special
190,2009-07-01,2,Ethiopia,SNNP,Mirab Omo
87,2009-07-01,4,Ethiopia,Somali,Nogob
46,2009-07-01,3,Ethiopia,Amhara,North Gondar
192,2009-07-01,2,Ethiopia,Amhara,North Shewa
48,2009-07-01,3,Ethiopia,Amhara,North Wello
195,2009-07-01,2,Ethiopia,Tigray,North Western
50,2009-07-01,3,Ethiopia,Gambela,Nuwer
51,2009-07-01,3,Ethiopia,Amhara,Oromia
89,2009-07-01,4,Ethiopia,Somali,Shabelle
53,2009-07-01,3,Ethiopia,SNNP,Sidama
54,2009-07-01,3,Ethiopia,SNNP,Siltie
55,2009-07-01,3,Ethiopia,Somali,Siti
56,2009-07-01,3,Ethiopia,Tigray,South Eastern
147,2009-07-01,1,Ethiopia,Amhara,South Gondar
58,2009-07-01,3,Ethiopia,SNNP,South Omo
59,2009-07-01,3,Ethiopia,Amhara,South Wello
150,2009-07-01,1,Ethiopia,Oromia,South West Shewa
61,2009-07-01,3,Ethiopia,Tigray,Southern
62,2009-07-01,3,Ethiopia,Amhara,Wag Hamra
63,2009-07-01,3,Ethiopia,Oromia,West Arsi
64,2009-07-01,3,Ethiopia,Oromia,West Guji
65,2009-07-01,3,Ethiopia,Oromia,West Hararge
156,2009-07-01,1,Ethiopia,Oromia,West Wellega
157,2009-07-01,1,Ethiopia,Tigray,Western
68,2009-07-01,3,Ethiopia,SNNP,Wolayita
158,2009-07-01,1,Ethiopia,SNNP,Yem Special
212,2009-07-01,2,Ethiopia,Afar,Zone 1 (Awsi Rasu)
71,2009-07-01,3,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
213,2009-07-01,2,Ethiopia,Afar,Zone 3 (Gabi Rasu)
73,2009-07-01,3,Ethiopia,Afar,Zone 4 (Fantana Rasu)
74,2009-07-01,3,Ethiopia,Afar,Zone 5 (Hari Rasu)
80,2009-07-01,4,Ethiopia,Somali,Doolo
85,2009-07-01,4,Ethiopia,Somali,Korahe
122,2009-07-01,1,Ethiopia,Oromia,Finfine Special
144,2009-07-01,1,Ethiopia,Addis Ababa,Region 14
152,2009-07-01,1,Ethiopia,Amhara,West Gojam
109,2009-07-01,1,Ethiopia,Benishangul Gumz,Asosa
110,2009-07-01,1,Ethiopia,Amhara,Awi
128,2009-07-01,1,Ethiopia,Oromia,Horo Gudru Wellega
132,2009-07-01,1,Ethiopia,Oromia,Kelem Wellega
136,2009-07-01,1,Ethiopia,Benishangul Gumz,Mao Komo Special
138,2009-07-01,1,Ethiopia,Benishangul Gumz,Metekel
193,2009-07-01,2,Ethiopia,Oromia,North Shewa
145,2009-07-01,1,Ethiopia,SNNP,Sheka
153,2009-07-01,1,Ethiopia,Amhara,West Gondar
208,2009-07-01,2,Ethiopia,Oromia,West Shewa
170,2009-07-01,2,Ethiopia,Dire Dawa,Dire Dawa urban
