,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3.0,Ethiopia,Somali,Afder
4885,2009-07-01,2.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
4888,2009-07-01,2.0,Ethiopia,Oromia,Arsi
5,2009-07-01,3.0,Ethiopia,Oromia,Bale
4838,2009-07-01,1.0,Ethiopia,SNNP,Basketo
4893,2009-07-01,2.0,Ethiopia,Oromia,Borena
8,2009-07-01,3.0,Ethiopia,SNNP,Burji
9,2009-07-01,3.0,Ethiopia,Somali,Daawa
10,2009-07-01,3.0,Ethiopia,SNNP,Derashe
4904,2009-07-01,2.0,Ethiopia,Oromia,East Hararge
4907,2009-07-01,2.0,Ethiopia,Tigray,Eastern
46,2009-07-01,4.0,Ethiopia,Somali,Erer
4912,2009-07-01,2.0,Ethiopia,SNNP,Gamo
15,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
4914,2009-07-01,2.0,Ethiopia,SNNP,Gofa
17,2009-07-01,3.0,Ethiopia,Oromia,Guji
4857,2009-07-01,1.0,Ethiopia,SNNP,Kefa
19,2009-07-01,3.0,Ethiopia,SNNP,Konso
4860,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
21,2009-07-01,3.0,Ethiopia,Somali,Liban
4934,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4.0,Ethiopia,Somali,Nogob
4938,2009-07-01,2.0,Ethiopia,Amhara,North Wello
4940,2009-07-01,2.0,Ethiopia,Gambela,Nuwer
4941,2009-07-01,2.0,Ethiopia,Amhara,Oromia
52,2009-07-01,4.0,Ethiopia,Somali,Shabelle
4942,2009-07-01,2.0,Ethiopia,SNNP,Sidama
4945,2009-07-01,2.0,Ethiopia,Tigray,South Eastern
4946,2009-07-01,2.0,Ethiopia,Amhara,South Gondar
31,2009-07-01,3.0,Ethiopia,SNNP,South Omo
4948,2009-07-01,2.0,Ethiopia,Amhara,South Wello
4950,2009-07-01,2.0,Ethiopia,Tigray,Southern
4951,2009-07-01,2.0,Ethiopia,Amhara,Wag Hamra
4952,2009-07-01,2.0,Ethiopia,Oromia,West Arsi
4953,2009-07-01,2.0,Ethiopia,Oromia,West Guji
4954,2009-07-01,2.0,Ethiopia,Oromia,West Hararge
4960,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
40,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
44,2009-07-01,4.0,Ethiopia,Somali,Doolo
4910,2009-07-01,2.0,Ethiopia,Somali,Fafan
48,2009-07-01,4.0,Ethiopia,Somali,Jarar
49,2009-07-01,4.0,Ethiopia,Somali,Korahe
4844,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
4909,2009-07-01,2.0,Ethiopia,Gambela,Etang Special woreda
4848,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special
4932,2009-07-01,2.0,Ethiopia,Tigray,Mekele Special
4936,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
4869,2009-07-01,1.0,Ethiopia,Addis Ababa,Region 14
4944,2009-07-01,2.0,Ethiopia,Somali,Siti
4877,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
4839,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
4901,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
4905,2009-07-01,2.0,Ethiopia,Oromia,East Shewa
4855,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
4862,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
4962,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
