,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,3.0,Ethiopia,Somali,Afder
5079,2009-07-01,2.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
5082,2009-07-01,2.0,Ethiopia,Oromia,Arsi
5,2009-07-01,3.0,Ethiopia,Oromia,Bale
5032,2009-07-01,1.0,Ethiopia,SNNP,Basketo
5087,2009-07-01,2.0,Ethiopia,Oromia,Borena
8,2009-07-01,3.0,Ethiopia,SNNP,Burji
9,2009-07-01,3.0,Ethiopia,Somali,Daawa
10,2009-07-01,3.0,Ethiopia,SNNP,Derashe
5098,2009-07-01,2.0,Ethiopia,Oromia,East Hararge
5101,2009-07-01,2.0,Ethiopia,Tigray,Eastern
46,2009-07-01,4.0,Ethiopia,Somali,Erer
5106,2009-07-01,2.0,Ethiopia,SNNP,Gamo
15,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
5108,2009-07-01,2.0,Ethiopia,SNNP,Gofa
17,2009-07-01,3.0,Ethiopia,Oromia,Guji
5051,2009-07-01,1.0,Ethiopia,SNNP,Kefa
19,2009-07-01,3.0,Ethiopia,SNNP,Konso
5054,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
21,2009-07-01,3.0,Ethiopia,Somali,Liban
5128,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
50,2009-07-01,4.0,Ethiopia,Somali,Nogob
5132,2009-07-01,2.0,Ethiopia,Amhara,North Wello
5134,2009-07-01,2.0,Ethiopia,Gambela,Nuwer
5135,2009-07-01,2.0,Ethiopia,Amhara,Oromia
52,2009-07-01,4.0,Ethiopia,Somali,Shabelle
5136,2009-07-01,2.0,Ethiopia,SNNP,Sidama
5139,2009-07-01,2.0,Ethiopia,Tigray,South Eastern
5140,2009-07-01,2.0,Ethiopia,Amhara,South Gondar
31,2009-07-01,3.0,Ethiopia,SNNP,South Omo
5142,2009-07-01,2.0,Ethiopia,Amhara,South Wello
5144,2009-07-01,2.0,Ethiopia,Tigray,Southern
5145,2009-07-01,2.0,Ethiopia,Amhara,Wag Hamra
5146,2009-07-01,2.0,Ethiopia,Oromia,West Arsi
5147,2009-07-01,2.0,Ethiopia,Oromia,West Guji
5148,2009-07-01,2.0,Ethiopia,Oromia,West Hararge
5154,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
39,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
40,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
44,2009-07-01,4.0,Ethiopia,Somali,Doolo
5104,2009-07-01,2.0,Ethiopia,Somali,Fafan
48,2009-07-01,4.0,Ethiopia,Somali,Jarar
49,2009-07-01,4.0,Ethiopia,Somali,Korahe
5038,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
5103,2009-07-01,2.0,Ethiopia,Gambela,Etang Special woreda
5042,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special
5126,2009-07-01,2.0,Ethiopia,Tigray,Mekele Special
5130,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
5063,2009-07-01,1.0,Ethiopia,Addis Ababa,Region 14
5138,2009-07-01,2.0,Ethiopia,Somali,Siti
5071,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
5033,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
5095,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5099,2009-07-01,2.0,Ethiopia,Oromia,East Shewa
5049,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
5056,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
5156,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
5158,2009-07-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
5090,2009-07-01,2.0,Ethiopia,Tigray,Central
5036,2009-07-01,1.0,Ethiopia,Amhara,Central Gondar
5093,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
5096,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
5040,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
5110,2009-07-01,2.0,Ethiopia,SNNP,Guraghe
5111,2009-07-01,2.0,Ethiopia,SNNP,Hadiya
5112,2009-07-01,2.0,Ethiopia,SNNP,Halaba Special
5113,2009-07-01,2.0,Ethiopia,Harari,Harari
5048,2009-07-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
5050,2009-07-01,1.0,Ethiopia,Oromia,Jimma
5120,2009-07-01,2.0,Ethiopia,SNNP,Kembata Tibaro
5055,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5129,2009-07-01,2.0,Ethiopia,Amhara,North Gondar
5131,2009-07-01,2.0,Ethiopia,Oromia,North Shewa
5133,2009-07-01,2.0,Ethiopia,Tigray,North Western
5137,2009-07-01,2.0,Ethiopia,SNNP,Siltie
5069,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa
5149,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
5076,2009-07-01,1.0,Ethiopia,Tigray,Western
5152,2009-07-01,2.0,Ethiopia,SNNP,Wolayita
5052,2009-07-01,1.0,Ethiopia,Oromia,Kelem Wellega
5057,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5072,2009-07-01,1.0,Ethiopia,Amhara,West Gondar
5077,2009-07-01,1.0,Ethiopia,SNNP,Yem Special
5029,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Asosa
5053,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
5064,2009-07-01,1.0,Ethiopia,SNNP,Sheka
5075,2009-07-01,1.0,Ethiopia,Oromia,West Wellega
5030,2009-07-01,1.0,Ethiopia,Amhara,Awi
5035,2009-07-01,1.0,Ethiopia,Oromia,Buno Bedele
72,2009-10-01,3.0,Ethiopia,Somali,Afder
73,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
74,2009-10-01,3.0,Ethiopia,SNNP,Alle
75,2009-10-01,3.0,Ethiopia,SNNP,Amaro
5218,2009-10-01,2.0,Ethiopia,Oromia,Arsi
76,2009-10-01,3.0,Ethiopia,Oromia,Bale
5164,2009-10-01,1.0,Ethiopia,SNNP,Basketo
78,2009-10-01,3.0,Ethiopia,Oromia,Borena
79,2009-10-01,3.0,Ethiopia,SNNP,Burji
80,2009-10-01,3.0,Ethiopia,Somali,Daawa
81,2009-10-01,3.0,Ethiopia,SNNP,Derashe
5232,2009-10-01,2.0,Ethiopia,Oromia,East Hararge
5235,2009-10-01,2.0,Ethiopia,Tigray,Eastern
87,2009-10-01,3.0,Ethiopia,Somali,Erer
5240,2009-10-01,2.0,Ethiopia,SNNP,Gamo
5241,2009-10-01,2.0,Ethiopia,SNNP,Gedeo
5242,2009-10-01,2.0,Ethiopia,SNNP,Gofa
91,2009-10-01,3.0,Ethiopia,Oromia,Guji
5185,2009-10-01,1.0,Ethiopia,SNNP,Kefa
94,2009-10-01,3.0,Ethiopia,SNNP,Konso
5188,2009-10-01,1.0,Ethiopia,SNNP,Konta Special
96,2009-10-01,3.0,Ethiopia,Somali,Liban
5258,2009-10-01,2.0,Ethiopia,SNNP,Mirab Omo
99,2009-10-01,3.0,Ethiopia,Somali,Nogob
5262,2009-10-01,2.0,Ethiopia,Amhara,North Wello
102,2009-10-01,3.0,Ethiopia,Gambela,Nuwer
5265,2009-10-01,2.0,Ethiopia,Amhara,Oromia
104,2009-10-01,3.0,Ethiopia,Somali,Shabelle
5266,2009-10-01,2.0,Ethiopia,SNNP,Sidama
5269,2009-10-01,2.0,Ethiopia,Tigray,South Eastern
5270,2009-10-01,2.0,Ethiopia,Amhara,South Gondar
5271,2009-10-01,2.0,Ethiopia,SNNP,South Omo
5272,2009-10-01,2.0,Ethiopia,Amhara,South Wello
5274,2009-10-01,2.0,Ethiopia,Tigray,Southern
5275,2009-10-01,2.0,Ethiopia,Amhara,Wag Hamra
5276,2009-10-01,2.0,Ethiopia,Oromia,West Arsi
5277,2009-10-01,2.0,Ethiopia,Oromia,West Guji
5278,2009-10-01,2.0,Ethiopia,Oromia,West Hararge
112,2009-10-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
113,2009-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
115,2009-10-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
83,2009-10-01,3.0,Ethiopia,Somali,Doolo
89,2009-10-01,3.0,Ethiopia,Somali,Fafan
93,2009-10-01,3.0,Ethiopia,Somali,Jarar
95,2009-10-01,3.0,Ethiopia,Somali,Korahe
5171,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
88,2009-10-01,3.0,Ethiopia,Gambela,Etang Special woreda
5176,2009-10-01,1.0,Ethiopia,Oromia,Finfine Special
5257,2009-10-01,2.0,Ethiopia,Tigray,Mekele Special
