,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,admin1Name_en,admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
19,2009-07-01,4.0,Ethiopia,Somali,Erer,4.0,4.0,Somali,Erer,268901,230823,0.0,0.0,0.0,230823.0,0.0,230823.0,0.0,0.0,0.0,230823.0,0.0,230823.0,0.0,0.0,0.0,230823.0,0.0,230823.0
20,2009-07-01,3.0,Ethiopia,Somali,Fafan,3.0,2.0,Somali,Fafan,1242707,1066734,0.0,0.0,1066734.0,0.0,0.0,1066734.0,0.0,0.0,1066734.0,0.0,0.0,1066734.0,0.0,1066734.0,0.0,0.0,0.0,1066734.0
21,2009-07-01,3.0,Ethiopia,SNNP,Gamo,3.0,2.0,SNNP,Gamo,1462777,1255641,0.0,0.0,1255641.0,0.0,0.0,1255641.0,0.0,0.0,1255641.0,0.0,0.0,1255641.0,0.0,1255641.0,0.0,0.0,0.0,1255641.0
22,2009-07-01,3.0,Ethiopia,SNNP,Gedeo,3.0,3.0,SNNP,Gedeo,1131834,971561,0.0,0.0,971561.0,0.0,0.0,971561.0,0.0,0.0,971561.0,0.0,0.0,971561.0,0.0,0.0,971561.0,0.0,0.0,971561.0
23,2009-07-01,2.0,Ethiopia,SNNP,Gofa,2.0,2.0,SNNP,Gofa,623589,535286,0.0,535286.0,0.0,0.0,0.0,535286.0,0.0,535286.0,0.0,0.0,0.0,535286.0,0.0,535286.0,0.0,0.0,0.0,535286.0
24,2009-07-01,3.0,Ethiopia,Oromia,Guji,3.0,3.0,Oromia,Guji,1482472,1272547,0.0,0.0,1272547.0,0.0,0.0,1272547.0,0.0,0.0,1272547.0,0.0,0.0,1272547.0,0.0,0.0,1272547.0,0.0,0.0,1272547.0
25,2009-07-01,3.0,Ethiopia,SNNP,Guraghe,3.0,2.0,SNNP,Guraghe,1882107,1615592,0.0,0.0,1615592.0,0.0,0.0,1615592.0,0.0,0.0,1615592.0,0.0,0.0,1615592.0,0.0,1615592.0,0.0,0.0,0.0,1615592.0
26,2009-07-01,3.0,Ethiopia,SNNP,Hadiya,3.0,2.0,SNNP,Hadiya,1700138,1459390,0.0,0.0,1459390.0,0.0,0.0,1459390.0,0.0,0.0,1459390.0,0.0,0.0,1459390.0,0.0,1459390.0,0.0,0.0,0.0,1459390.0
27,2009-07-01,3.0,Ethiopia,SNNP,Halaba Special,3.0,2.0,SNNP,Halaba Special,658130,564935,0.0,0.0,564935.0,0.0,0.0,564935.0,0.0,0.0,564935.0,0.0,0.0,564935.0,0.0,564935.0,0.0,0.0,0.0,564935.0
28,2009-07-01,2.0,Ethiopia,Harari,Harari,2.0,2.0,Harari,Harari,260022,223201,0.0,223201.0,0.0,0.0,0.0,223201.0,0.0,223201.0,0.0,0.0,0.0,223201.0,0.0,223201.0,0.0,0.0,0.0,223201.0
29,2009-07-01,4.0,Ethiopia,Somali,Jarar,4.0,4.0,Somali,Jarar,641077,550297,0.0,0.0,0.0,550297.0,0.0,550297.0,0.0,0.0,0.0,550297.0,0.0,550297.0,0.0,0.0,0.0,550297.0,0.0,550297.0
30,2009-07-01,1.0,Ethiopia,Oromia,Jimma,1.0,1.0,Oromia,Jimma,3672640,3152577,3152577.0,0.0,0.0,0.0,0.0,3152577.0,3152577.0,0.0,0.0,0.0,0.0,3152577.0,3152577.0,0.0,0.0,0.0,0.0,3152577.0
31,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi,1.0,1.0,Benishangul Gumz,Kemashi,150986,129605,129605.0,0.0,0.0,0.0,0.0,129605.0,129605.0,0.0,0.0,0.0,0.0,129605.0,129605.0,0.0,0.0,0.0,0.0,129605.0
32,2009-07-01,3.0,Ethiopia,SNNP,Kembata Tibaro,3.0,2.0,SNNP,Kembata Tibaro,911347,782296,0.0,0.0,782296.0,0.0,0.0,782296.0,0.0,0.0,782296.0,0.0,0.0,782296.0,0.0,782296.0,0.0,0.0,0.0,782296.0
33,2009-07-01,3.0,Ethiopia,SNNP,Konso,3.0,3.0,SNNP,Konso,284360,244093,0.0,0.0,244093.0,0.0,0.0,244093.0,0.0,0.0,244093.0,0.0,0.0,244093.0,0.0,0.0,244093.0,0.0,0.0,244093.0
34,2009-07-01,3.0,Ethiopia,Somali,Liban,4.0,3.0,Somali,Liban,505190,433652,0.0,0.0,433652.0,0.0,0.0,433652.0,0.0,0.0,0.0,433652.0,0.0,433652.0,0.0,0.0,433652.0,0.0,0.0,433652.0
35,2009-07-01,3.0,Ethiopia,Tigray,Mekele Special,3.0,2.0,Tigray,Mekele Special,418327,359090,0.0,0.0,359090.0,0.0,0.0,359090.0,0.0,0.0,359090.0,0.0,0.0,359090.0,0.0,359090.0,0.0,0.0,0.0,359090.0
36,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo,2.0,2.0,SNNP,Mirab Omo,262515,225341,0.0,225341.0,0.0,0.0,0.0,225341.0,0.0,225341.0,0.0,0.0,0.0,225341.0,0.0,225341.0,0.0,0.0,0.0,225341.0
37,2009-07-01,4.0,Ethiopia,Somali,Nogob,4.0,4.0,Somali,Nogob,217220,186460,0.0,0.0,0.0,186460.0,0.0,186460.0,0.0,0.0,0.0,186460.0,0.0,186460.0,0.0,0.0,0.0,186460.0,0.0,186460.0
38,2009-07-01,3.0,Ethiopia,Amhara,North Gondar,3.0,2.0,Amhara,North Gondar,889977,763952,0.0,0.0,763952.0,0.0,0.0,763952.0,0.0,0.0,763952.0,0.0,0.0,763952.0,0.0,763952.0,0.0,0.0,0.0,763952.0
39,2009-07-01,2.0,Ethiopia,Amhara,North Shewa,2.0,2.0,Amhara,North Shewa,2293091,1968379,0.0,1968379.0,0.0,0.0,0.0,1968379.0,0.0,1968379.0,0.0,0.0,0.0,1968379.0,0.0,1968379.0,0.0,0.0,0.0,1968379.0
40,2009-07-01,3.0,Ethiopia,Amhara,North Wello,3.0,2.0,Amhara,North Wello,1740337,1493897,0.0,0.0,1493897.0,0.0,0.0,1493897.0,0.0,0.0,1493897.0,0.0,0.0,1493897.0,0.0,1493897.0,0.0,0.0,0.0,1493897.0
41,2009-07-01,2.0,Ethiopia,Tigray,North Western,2.0,2.0,Tigray,North Western,893262,766772,0.0,766772.0,0.0,0.0,0.0,766772.0,0.0,766772.0,0.0,0.0,0.0,766772.0,0.0,766772.0,0.0,0.0,0.0,766772.0
42,2009-07-01,2.0,Ethiopia,Gambela,Nuwer,3.0,2.0,Gambela,Nuwer,166901,143267,0.0,143267.0,0.0,0.0,0.0,143267.0,0.0,0.0,143267.0,0.0,0.0,143267.0,0.0,143267.0,0.0,0.0,0.0,143267.0
43,2009-07-01,3.0,Ethiopia,Amhara,Oromia,3.0,2.0,Amhara,Oromia,569808,489120,0.0,0.0,489120.0,0.0,0.0,489120.0,0.0,0.0,489120.0,0.0,0.0,489120.0,0.0,489120.0,0.0,0.0,0.0,489120.0
44,2009-07-01,4.0,Ethiopia,Somali,Shabelle,4.0,4.0,Somali,Shabelle,647430,555751,0.0,0.0,0.0,555751.0,0.0,555751.0,0.0,0.0,0.0,555751.0,0.0,555751.0,0.0,0.0,0.0,555751.0,0.0,555751.0
45,2009-07-01,3.0,Ethiopia,SNNP,Sidama,3.0,2.0,SNNP,Sidama,4212331,3615846,0.0,0.0,3615846.0,0.0,0.0,3615846.0,0.0,0.0,3615846.0,0.0,0.0,3615846.0,0.0,3615846.0,0.0,0.0,0.0,3615846.0
46,2009-07-01,3.0,Ethiopia,SNNP,Siltie,3.0,2.0,SNNP,Siltie,1051444,902554,0.0,0.0,902554.0,0.0,0.0,902554.0,0.0,0.0,902554.0,0.0,0.0,902554.0,0.0,902554.0,0.0,0.0,0.0,902554.0
47,2009-07-01,3.0,Ethiopia,Somali,Siti,3.0,2.0,Somali,Siti,644214,552990,0.0,0.0,552990.0,0.0,0.0,552990.0,0.0,0.0,552990.0,0.0,0.0,552990.0,0.0,552990.0,0.0,0.0,0.0,552990.0
48,2009-07-01,3.0,Ethiopia,Tigray,South Eastern,3.0,2.0,Tigray,South Eastern,528199,453403,0.0,0.0,453403.0,0.0,0.0,453403.0,0.0,0.0,453403.0,0.0,0.0,453403.0,0.0,453403.0,0.0,0.0,0.0,453403.0
49,2009-07-01,1.0,Ethiopia,Amhara,South Gondar,1.0,2.0,Amhara,South Gondar,2526963,2169133,2169133.0,0.0,0.0,0.0,0.0,2169133.0,2169133.0,0.0,0.0,0.0,0.0,2169133.0,0.0,2169133.0,0.0,0.0,0.0,2169133.0
50,2009-07-01,3.0,Ethiopia,SNNP,South Omo,3.0,3.0,SNNP,South Omo,754134,647345,0.0,0.0,647345.0,0.0,0.0,647345.0,0.0,0.0,647345.0,0.0,0.0,647345.0,0.0,0.0,647345.0,0.0,0.0,647345.0
51,2009-07-01,3.0,Ethiopia,Amhara,South Wello,3.0,2.0,Amhara,South Wello,3246827,2787061,0.0,0.0,2787061.0,0.0,0.0,2787061.0,0.0,0.0,2787061.0,0.0,0.0,2787061.0,0.0,2787061.0,0.0,0.0,0.0,2787061.0
52,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa,1.0,1.0,Oromia,South West Shewa,1264234,1085212,1085212.0,0.0,0.0,0.0,0.0,1085212.0,1085212.0,0.0,0.0,0.0,0.0,1085212.0,1085212.0,0.0,0.0,0.0,0.0,1085212.0
53,2009-07-01,3.0,Ethiopia,Tigray,Southern,3.0,2.0,Tigray,Southern,752344,645808,0.0,0.0,645808.0,0.0,0.0,645808.0,0.0,0.0,645808.0,0.0,0.0,645808.0,0.0,645808.0,0.0,0.0,0.0,645808.0
54,2009-07-01,3.0,Ethiopia,Amhara,Wag Hamra,3.0,2.0,Amhara,Wag Hamra,516457,443324,0.0,0.0,443324.0,0.0,0.0,443324.0,0.0,0.0,443324.0,0.0,0.0,443324.0,0.0,443324.0,0.0,0.0,0.0,443324.0
55,2009-07-01,3.0,Ethiopia,Oromia,West Arsi,3.0,2.0,Oromia,West Arsi,2868933,2462679,0.0,0.0,2462679.0,0.0,0.0,2462679.0,0.0,0.0,2462679.0,0.0,0.0,2462679.0,0.0,2462679.0,0.0,0.0,0.0,2462679.0
56,2009-07-01,3.0,Ethiopia,Oromia,West Guji,3.0,2.0,Oromia,West Guji,1223292,1050068,0.0,0.0,1050068.0,0.0,0.0,1050068.0,0.0,0.0,1050068.0,0.0,0.0,1050068.0,0.0,1050068.0,0.0,0.0,0.0,1050068.0
57,2009-07-01,3.0,Ethiopia,Oromia,West Hararge,3.0,2.0,Oromia,West Hararge,2568661,2204927,0.0,0.0,2204927.0,0.0,0.0,2204927.0,0.0,0.0,2204927.0,0.0,0.0,2204927.0,0.0,2204927.0,0.0,0.0,0.0,2204927.0
58,2009-07-01,1.0,Ethiopia,Oromia,West Wellega,1.0,1.0,Oromia,West Wellega,1880222,1613974,1613974.0,0.0,0.0,0.0,0.0,1613974.0,1613974.0,0.0,0.0,0.0,0.0,1613974.0,1613974.0,0.0,0.0,0.0,0.0,1613974.0
59,2009-07-01,1.0,Ethiopia,Tigray,Western,1.0,1.0,Tigray,Western,440553,378168,378168.0,0.0,0.0,0.0,0.0,378168.0,378168.0,0.0,0.0,0.0,0.0,378168.0,378168.0,0.0,0.0,0.0,0.0,378168.0
60,2009-07-01,3.0,Ethiopia,SNNP,Wolayita,3.0,2.0,SNNP,Wolayita,1999292,1716183,0.0,0.0,1716183.0,0.0,0.0,1716183.0,0.0,0.0,1716183.0,0.0,0.0,1716183.0,0.0,1716183.0,0.0,0.0,0.0,1716183.0
61,2009-07-01,1.0,Ethiopia,SNNP,Yem Special,1.0,1.0,SNNP,Yem Special,102526,88007,88007.0,0.0,0.0,0.0,0.0,88007.0,88007.0,0.0,0.0,0.0,0.0,88007.0,88007.0,0.0,0.0,0.0,0.0,88007.0
62,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu),2.0,2.0,Afar,Zone 1 (Awsi Rasu),643036,551979,0.0,551979.0,0.0,0.0,0.0,551979.0,0.0,551979.0,0.0,0.0,0.0,551979.0,0.0,551979.0,0.0,0.0,0.0,551979.0
63,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu),3.0,3.0,Afar,Zone 2 (Kilbet Rasu),493764,423844,0.0,0.0,423844.0,0.0,0.0,423844.0,0.0,0.0,423844.0,0.0,0.0,423844.0,0.0,0.0,423844.0,0.0,0.0,423844.0
64,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu),2.0,2.0,Afar,Zone 3 (Gabi Rasu),281357,241515,0.0,241515.0,0.0,0.0,0.0,241515.0,0.0,241515.0,0.0,0.0,0.0,241515.0,0.0,241515.0,0.0,0.0,0.0,241515.0
65,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu),3.0,3.0,Afar,Zone 4 (Fantana Rasu),276855,237651,0.0,0.0,237651.0,0.0,0.0,237651.0,0.0,0.0,237651.0,0.0,0.0,237651.0,0.0,0.0,237651.0,0.0,0.0,237651.0
66,2009-07-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu),3.0,2.0,Afar,Zone 5 (Hari Rasu),209402,179749,0.0,0.0,179749.0,0.0,0.0,179749.0,0.0,0.0,179749.0,0.0,0.0,179749.0,0.0,179749.0,0.0,0.0,0.0,179749.0
67,2009-07-01,2.0,Ethiopia,Gambela,Agnewak,3.0,2.0,Gambela,Agnewak,164054,140823,0.0,140823.0,0.0,0.0,0.0,140823.0,0.0,0.0,140823.0,0.0,0.0,140823.0,0.0,140823.0,0.0,0.0,0.0,140823.0
68,2009-07-01,4.0,Ethiopia,Somali,Doolo,4.0,4.0,Somali,Doolo,425824,365525,0.0,0.0,0.0,365525.0,0.0,365525.0,0.0,0.0,0.0,365525.0,0.0,365525.0,0.0,0.0,0.0,365525.0,0.0,365525.0
69,2009-07-01,4.0,Ethiopia,Somali,Korahe,4.0,4.0,Somali,Korahe,511890,439404,0.0,0.0,0.0,439404.0,0.0,439404.0,0.0,0.0,0.0,439404.0,0.0,439404.0,0.0,0.0,0.0,439404.0,0.0,439404.0
70,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special,1.0,1.0,Oromia,Finfine Special,1040106,892822,892822.0,0.0,0.0,0.0,0.0,892822.0,892822.0,0.0,0.0,0.0,0.0,892822.0,892822.0,0.0,0.0,0.0,0.0,892822.0
71,2009-07-01,1.0,Ethiopia,Addis Ababa,Region 14,1.0,1.0,Addis Ababa,Region 14,3585647,3077903,3077903.0,0.0,0.0,0.0,0.0,3077903.0,3077903.0,0.0,0.0,0.0,0.0,3077903.0,3077903.0,0.0,0.0,0.0,0.0,3077903.0
72,2009-07-01,1.0,Ethiopia,Amhara,West Gojam,1.0,1.0,Amhara,West Gojam,2894095,2484278,2484278.0,0.0,0.0,0.0,0.0,2484278.0,2484278.0,0.0,0.0,0.0,0.0,2484278.0,2484278.0,0.0,0.0,0.0,0.0,2484278.0
73,2009-07-01,1.0,Ethiopia,SNNP,Basketo,1.0,1.0,SNNP,Basketo,75512,64819,64819.0,0.0,0.0,0.0,0.0,64819.0,64819.0,0.0,0.0,0.0,0.0,64819.0,64819.0,0.0,0.0,0.0,0.0,64819.0
74,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji,1.0,1.0,SNNP,Bench Maji,603595,518123,518123.0,0.0,0.0,0.0,0.0,518123.0,518123.0,0.0,0.0,0.0,0.0,518123.0,518123.0,0.0,0.0,0.0,0.0,518123.0
75,2009-07-01,2.0,Ethiopia,Gambela,Etang Special woreda,3.0,2.0,Gambela,Etang Special woreda,50260,43142,0.0,43142.0,0.0,0.0,0.0,43142.0,0.0,0.0,43142.0,0.0,0.0,43142.0,0.0,43142.0,0.0,0.0,0.0,43142.0
