,date,CS,ADMIN0,ADMIN1,ADMIN2
1373,2019-02-01,2.0,Ethiopia,SNNPR,Segen
6004,2019-02-01,2.0,Ethiopia,Oromia,Bale
1375,2019-02-01,2.0,Ethiopia,Oromia,Borena
3,2019-02-01,3.0,Ethiopia,Somali,Jarar
1930,2019-02-01,1.0,Ethiopia,Oromia,East Wellega
6008,2019-02-01,2.0,Ethiopia,SNNPR,Gedeo
1933,2019-02-01,1.0,Ethiopia,Oromia,Gujii
1936,2019-02-01,1.0,Ethiopia,Oromia,Ilubabor
8,2019-02-01,3.0,Ethiopia,Somali,Fafan
1940,2019-02-01,1.0,Ethiopia,Oromia,Kelem
10,2019-02-01,3.0,Ethiopia,Somali,Korahe
1401,2019-02-01,2.0,Ethiopia,Somali,Liben
5054,2019-02-01,1.0,Ethiopia,Amhara,North Wollo
1945,2019-02-01,1.0,Ethiopia,Gambela,Nuer
1405,2019-02-01,2.0,Ethiopia,Somali,Sitti
5058,2019-02-01,1.0,Ethiopia,Tigray,South Tigray
1412,2019-02-01,2.0,Ethiopia,Oromia,West Hararge
1957,2019-02-01,1.0,Ethiopia,Oromia,West Wellega
1416,2019-02-01,2.0,Ethiopia,Afar,Awusi
19,2019-02-01,3.0,Ethiopia,Afar,Fanti
1420,2019-02-01,2.0,Ethiopia,Somali,Shebelle
1966,2019-02-01,1.0,Ethiopia,Gambela,Itang
1967,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
1969,2019-02-01,1.0,Ethiopia,Gambela,Agniwak
24,2019-02-01,3.0,Ethiopia,Oromia,East Hararge
1971,2019-02-01,1.0,Ethiopia,Tigray,East Tigray
1972,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
1973,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
28,2019-02-01,3.0,Ethiopia,Afar,Kilbati
29,2019-02-01,3.0,Ethiopia,Somali,Nogob
30,2019-02-01,3.0,Ethiopia,Somali,Dollo
1917,2019-02-01,1.0,Ethiopia,SNNPR,Sheka
1919,2019-02-01,1.0,Ethiopia,SNNPR,Sidama
1377,2019-02-01,2.0,Ethiopia,Somali,Afder
1921,2019-02-01,1.0,Ethiopia,SNNPR,Alaba
1922,2019-02-01,1.0,Ethiopia,Oromia,Arsi
1924,2019-02-01,1.0,Ethiopia,SNNPR,Basketo
1925,2019-02-01,1.0,Ethiopia,SNNPR,Bench Maji
5043,2019-02-01,1.0,Ethiopia,Tigray,Central Tigray
1927,2019-02-01,1.0,Ethiopia,SNNPR,Dawro
5045,2019-02-01,1.0,Ethiopia,Dire Dawa,Dire Dawa
1928,2019-02-01,1.0,Ethiopia,Amhara,East Gojam
1929,2019-02-01,1.0,Ethiopia,Oromia,East Shewa
1931,2019-02-01,1.0,Ethiopia,SNNPR,Gamo Gofa
1934,2019-02-01,1.0,Ethiopia,SNNPR,Gurage
1935,2019-02-01,1.0,Ethiopia,Oromia,Horo Guduru
1937,2019-02-01,1.0,Ethiopia,Oromia,Jimma
5053,2019-02-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
1939,2019-02-01,1.0,Ethiopia,SNNPR,Keffa
1941,2019-02-01,1.0,Ethiopia,SNNPR,Konta
1942,2019-02-01,1.0,Ethiopia,Gambela,Mezhenger
1943,2019-02-01,1.0,Ethiopia,Amhara,North Shewa
1946,2019-02-01,1.0,Ethiopia,Amhara,Oromia
1947,2019-02-01,1.0,Ethiopia,Amhara,South Gondar
