,date,ML2,ADMIN0,ADMIN1,ADMIN2
0,2009-07-01,3.0,Ethiopia,SNNPR,Segen
1,2009-07-01,3.0,Ethiopia,Oromia,Bale
3850,2009-07-01,2.0,Ethiopia,Oromia,Borena
3851,2009-07-01,2.0,Ethiopia,SNNPR,Sidama
4,2009-07-01,3.0,Ethiopia,Somali,Afder
6008,2009-07-01,1.0,Ethiopia,SNNPR,Basketo
6009,2009-07-01,1.0,Ethiopia,SNNPR,Bench Maji
3863,2009-07-01,2.0,Ethiopia,SNNPR,Gamo Gofa
8,2009-07-01,3.0,Ethiopia,SNNPR,Gedeo
9,2009-07-01,3.0,Ethiopia,Oromia,Gujii
6021,2009-07-01,1.0,Ethiopia,SNNPR,Keffa
6023,2009-07-01,1.0,Ethiopia,SNNPR,Konta
12,2009-07-01,3.0,Ethiopia,Somali,Liben
3877,2009-07-01,2.0,Ethiopia,Amhara,North Wollo
3878,2009-07-01,2.0,Ethiopia,Gambela,Nuer
3879,2009-07-01,2.0,Ethiopia,Amhara,Oromia
3881,2009-07-01,2.0,Ethiopia,Amhara,South Gondar
17,2009-07-01,3.0,Ethiopia,SNNPR,South Omo
3883,2009-07-01,2.0,Ethiopia,Amhara,South Wollo
3884,2009-07-01,2.0,Ethiopia,Tigray,South Tigray
3886,2009-07-01,2.0,Ethiopia,Amhara,Wag Himra
3887,2009-07-01,2.0,Ethiopia,Oromia,West Arsi
3888,2009-07-01,2.0,Ethiopia,Oromia,West Hararge
23,2009-07-01,3.0,Ethiopia,Afar,Awusi
24,2009-07-01,3.0,Ethiopia,Afar,Fanti
4638,2009-07-01,4.0,Ethiopia,Somali,Shebelle
3901,2009-07-01,2.0,Ethiopia,Gambela,Agniwak
3903,2009-07-01,2.0,Ethiopia,Oromia,East Hararge
3904,2009-07-01,2.0,Ethiopia,Tigray,East Tigray
29,2009-07-01,3.0,Ethiopia,Afar,Kilbati
4641,2009-07-01,4.0,Ethiopia,Somali,Nogob
3853,2009-07-01,2.0,Ethiopia,SNNPR,Alaba
3854,2009-07-01,2.0,Ethiopia,Oromia,Arsi
3856,2009-07-01,2.0,Ethiopia,Tigray,Central Tigray
3857,2009-07-01,2.0,Ethiopia,SNNPR,Dawro
4634,2009-07-01,4.0,Ethiopia,Somali,Jarar
3859,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
6011,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
3861,2009-07-01,2.0,Ethiopia,Oromia,East Shewa
6013,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
3866,2009-07-01,2.0,Ethiopia,SNNPR,Gurage
3867,2009-07-01,2.0,Ethiopia,Harari,Harari
6018,2009-07-01,1.0,Ethiopia,Oromia,Horo Guduru
3870,2009-07-01,2.0,Ethiopia,Somali,Fafan
6020,2009-07-01,1.0,Ethiopia,Oromia,Jimma
3872,2009-07-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
4636,2009-07-01,4.0,Ethiopia,Somali,Korahe
3876,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
3880,2009-07-01,2.0,Ethiopia,Somali,Sitti
3885,2009-07-01,2.0,Ethiopia,Amhara,Argoba
3889,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
6033,2009-07-01,1.0,Ethiopia,Tigray,West Tigray
3892,2009-07-01,2.0,Ethiopia,SNNPR,Wolayita
3895,2009-07-01,2.0,Ethiopia,Afar,Gabi
3897,2009-07-01,2.0,Ethiopia,Afar,Khari
3898,2009-07-01,2.0,Ethiopia,Tigray,Northwest Tigray
6045,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa
6046,2009-07-01,1.0,Ethiopia,Amhara,North Gondar
3910,2009-07-01,2.0,Ethiopia,SNNPR,Hadiya
3912,2009-07-01,2.0,Ethiopia,SNNPR,Silltie
4642,2009-07-01,4.0,Ethiopia,Somali,Dollo
6048,2009-07-01,1.0,Ethiopia,Oromia,North Shewa
6038,2009-07-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
6041,2009-07-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
6042,2009-07-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
6043,2009-07-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
6019,2009-07-01,1.0,Ethiopia,Oromia,Ilubabor
3899,2009-07-01,2.0,Ethiopia,Gambela,Itang
6003,2009-07-01,1.0,Ethiopia,SNNPR,Sheka
6007,2009-07-01,1.0,Ethiopia,Amhara,Awi
6022,2009-07-01,1.0,Ethiopia,Oromia,Kelem
6024,2009-07-01,1.0,Ethiopia,Gambela,Mezhenger
6030,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
6032,2009-07-01,1.0,Ethiopia,Oromia,West Wellega
6034,2009-07-01,1.0,Ethiopia,SNNPR,Yem
6039,2009-07-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6368,2009-07-01,99.0,Ethiopia,Addis Ababa,Region 14
31,2010-10-01,2.0,Ethiopia,SNNPR,Segen
32,2010-10-01,2.0,Ethiopia,Oromia,Bale
33,2010-10-01,2.0,Ethiopia,Oromia,Borena
4578,2010-10-01,3.0,Ethiopia,SNNPR,Sidama
35,2010-10-01,2.0,Ethiopia,Somali,Afder
38,2010-10-01,2.0,Ethiopia,SNNPR,Basketo
5914,2010-10-01,1.0,Ethiopia,SNNPR,Bench Maji
47,2010-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
48,2010-10-01,2.0,Ethiopia,SNNPR,Gedeo
49,2010-10-01,2.0,Ethiopia,Oromia,Gujii
5926,2010-10-01,1.0,Ethiopia,SNNPR,Keffa
5928,2010-10-01,1.0,Ethiopia,SNNPR,Konta
59,2010-10-01,2.0,Ethiopia,Somali,Liben
4595,2010-10-01,3.0,Ethiopia,Amhara,North Wollo
4596,2010-10-01,3.0,Ethiopia,Gambela,Nuer
62,2010-10-01,2.0,Ethiopia,Amhara,Oromia
5932,2010-10-01,1.0,Ethiopia,Amhara,South Gondar
65,2010-10-01,2.0,Ethiopia,SNNPR,South Omo
66,2010-10-01,2.0,Ethiopia,Amhara,South Wollo
67,2010-10-01,2.0,Ethiopia,Tigray,South Tigray
69,2010-10-01,2.0,Ethiopia,Amhara,Wag Himra
5935,2010-10-01,1.0,Ethiopia,Oromia,West Arsi
4606,2010-10-01,3.0,Ethiopia,Oromia,West Hararge
75,2010-10-01,2.0,Ethiopia,Afar,Awusi
77,2010-10-01,2.0,Ethiopia,Afar,Fanti
79,2010-10-01,2.0,Ethiopia,Somali,Shebelle
5946,2010-10-01,1.0,Ethiopia,Gambela,Agniwak
81,2010-10-01,2.0,Ethiopia,Oromia,East Hararge
82,2010-10-01,2.0,Ethiopia,Tigray,East Tigray
4617,2010-10-01,3.0,Ethiopia,Afar,Kilbati
4619,2010-10-01,3.0,Ethiopia,Somali,Nogob
36,2010-10-01,2.0,Ethiopia,SNNPR,Alaba
5912,2010-10-01,1.0,Ethiopia,Oromia,Arsi
40,2010-10-01,2.0,Ethiopia,Tigray,Central Tigray
41,2010-10-01,2.0,Ethiopia,SNNPR,Dawro
42,2010-10-01,2.0,Ethiopia,Somali,Jarar
43,2010-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
5916,2010-10-01,1.0,Ethiopia,Amhara,East Gojam
45,2010-10-01,2.0,Ethiopia,Oromia,East Shewa
5918,2010-10-01,1.0,Ethiopia,Oromia,East Wellega
50,2010-10-01,2.0,Ethiopia,SNNPR,Gurage
51,2010-10-01,2.0,Ethiopia,Harari,Harari
5923,2010-10-01,1.0,Ethiopia,Oromia,Horo Guduru
53,2010-10-01,2.0,Ethiopia,Somali,Fafan
5925,2010-10-01,1.0,Ethiopia,Oromia,Jimma
4591,2010-10-01,3.0,Ethiopia,SNNPR,Kembata Tembaro
4592,2010-10-01,3.0,Ethiopia,Somali,Korahe
60,2010-10-01,2.0,Ethiopia,Amhara,North Shewa
63,2010-10-01,2.0,Ethiopia,Somali,Sitti
68,2010-10-01,2.0,Ethiopia,Amhara,Argoba
72,2010-10-01,2.0,Ethiopia,Oromia,West Shewa
5940,2010-10-01,1.0,Ethiopia,Tigray,West Tigray
4607,2010-10-01,3.0,Ethiopia,SNNPR,Wolayita
76,2010-10-01,2.0,Ethiopia,Afar,Gabi
78,2010-10-01,2.0,Ethiopia,Afar,Khari
80,2010-10-01,2.0,Ethiopia,Tigray,Northwest Tigray
5951,2010-10-01,1.0,Ethiopia,Oromia,South West Shewa
5952,2010-10-01,1.0,Ethiopia,Amhara,North Gondar
4618,2010-10-01,3.0,Ethiopia,SNNPR,Hadiya
88,2010-10-01,2.0,Ethiopia,SNNPR,Silltie
