,date,ML1,ADMIN0,ADMIN1,ADMIN2
0,2014-07-01,1.0,Ethiopia,SNNPR,Segen
3944,2014-07-01,2.0,Ethiopia,Oromia,Borena
2504,2014-07-01,1.0,Ethiopia,SNNPR,Sidama
2515,2014-07-01,1.0,Ethiopia,SNNPR,Gamo Gofa
2516,2014-07-01,1.0,Ethiopia,SNNPR,Gedeo
3148,2014-07-01,2.0,Ethiopia,SNNPR,South Omo
3968,2014-07-01,2.0,Ethiopia,Oromia,West Arsi
2538,2014-07-01,1.0,Ethiopia,SNNPR,Wolayita
3130,2014-07-01,2.0,Ethiopia,Oromia,Bale
3946,2014-07-01,2.0,Ethiopia,Somali,Afder
2505,2014-07-01,1.0,Ethiopia,SNNPR,Alaba
2506,2014-07-01,1.0,Ethiopia,Oromia,Arsi
2508,2014-07-01,1.0,Ethiopia,SNNPR,Basketo
2509,2014-07-01,1.0,Ethiopia,SNNPR,Bench Maji
4818,2014-07-01,3.0,Ethiopia,Tigray,Central Tigray
2511,2014-07-01,1.0,Ethiopia,SNNPR,Dawro
2512,2014-07-01,1.0,Ethiopia,Amhara,East Gojam
2513,2014-07-01,1.0,Ethiopia,Oromia,East Shewa
2514,2014-07-01,1.0,Ethiopia,Oromia,East Wellega
3954,2014-07-01,2.0,Ethiopia,Oromia,Gujii
2518,2014-07-01,1.0,Ethiopia,SNNPR,Gurage
2519,2014-07-01,1.0,Ethiopia,Oromia,Horo Guduru
3956,2014-07-01,2.0,Ethiopia,Somali,Fafan
2521,2014-07-01,1.0,Ethiopia,Oromia,Jimma
2522,2014-07-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
2523,2014-07-01,1.0,Ethiopia,SNNPR,Keffa
2524,2014-07-01,1.0,Ethiopia,Oromia,Kelem
2525,2014-07-01,1.0,Ethiopia,SNNPR,Konta
3958,2014-07-01,2.0,Ethiopia,Somali,Liben
2527,2014-07-01,1.0,Ethiopia,Amhara,North Shewa
3144,2014-07-01,2.0,Ethiopia,Amhara,North Wollo
2528,2014-07-01,1.0,Ethiopia,Gambela,Nuer
3145,2014-07-01,2.0,Ethiopia,Amhara,Oromia
3962,2014-07-01,2.0,Ethiopia,Somali,Sitti
2529,2014-07-01,1.0,Ethiopia,Amhara,South Gondar
3149,2014-07-01,2.0,Ethiopia,Amhara,South Wollo
3966,2014-07-01,2.0,Ethiopia,Tigray,South Tigray
3151,2014-07-01,2.0,Ethiopia,Amhara,Argoba
4828,2014-07-01,3.0,Ethiopia,Amhara,Wag Himra
2533,2014-07-01,1.0,Ethiopia,Amhara,West Gojam
3969,2014-07-01,2.0,Ethiopia,Oromia,West Hararge
2535,2014-07-01,1.0,Ethiopia,Oromia,West Shewa
2536,2014-07-01,1.0,Ethiopia,Oromia,West Wellega
2537,2014-07-01,1.0,Ethiopia,Tigray,West Tigray
2539,2014-07-01,1.0,Ethiopia,SNNPR,Yem
3971,2014-07-01,2.0,Ethiopia,Afar,Awusi
3972,2014-07-01,2.0,Ethiopia,Afar,Gabi
3974,2014-07-01,2.0,Ethiopia,Afar,Khari
2541,2014-07-01,1.0,Ethiopia,Tigray,Northwest Tigray
2542,2014-07-01,1.0,Ethiopia,Gambela,Itang
2543,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2545,2014-07-01,1.0,Ethiopia,Gambela,Agniwak
2546,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
4841,2014-07-01,3.0,Ethiopia,Tigray,East Tigray
2547,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2548,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
2550,2014-07-01,1.0,Ethiopia,Oromia,South West Shewa
2551,2014-07-01,1.0,Ethiopia,Amhara,North Gondar
2552,2014-07-01,1.0,Ethiopia,SNNPR,Hadiya
2553,2014-07-01,1.0,Ethiopia,SNNPR,Silltie
2554,2014-07-01,1.0,Ethiopia,Oromia,North Shewa
3136,2014-07-01,2.0,Ethiopia,Somali,Jarar
2520,2014-07-01,1.0,Ethiopia,Oromia,Ilubabor
3141,2014-07-01,2.0,Ethiopia,Somali,Korahe
3975,2014-07-01,2.0,Ethiopia,Somali,Shebelle
3978,2014-07-01,2.0,Ethiopia,Oromia,East Hararge
3163,2014-07-01,2.0,Ethiopia,Somali,Nogob
