,date,ADMIN0,ADMIN1,ADMIN2,ML2
4636,2009-07-01,Ethiopia,Somali,Korahe,4.0
3876,2009-07-01,Ethiopia,Amhara,North Shewa,2.0
3880,2009-07-01,Ethiopia,Somali,Sitti,2.0
3885,2009-07-01,Ethiopia,Amhara,Argoba,2.0
3889,2009-07-01,Ethiopia,Oromia,West Shewa,2.0
6033,2009-07-01,Ethiopia,Tigray,West Tigray,1.0
3892,2009-07-01,Ethiopia,SNNPR,Wolayita,2.0
3895,2009-07-01,Ethiopia,Afar,Gabi,2.0
3897,2009-07-01,Ethiopia,Afar,Khari,2.0
3898,2009-07-01,Ethiopia,Tigray,Northwest Tigray,2.0
6045,2009-07-01,Ethiopia,Oromia,South West Shewa,1.0
6046,2009-07-01,Ethiopia,Amhara,North Gondar,1.0
3910,2009-07-01,Ethiopia,SNNPR,Hadiya,2.0
3912,2009-07-01,Ethiopia,SNNPR,Silltie,2.0
4642,2009-07-01,Ethiopia,Somali,Dollo,4.0
6038,2009-07-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
6041,2009-07-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
6042,2009-07-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
6043,2009-07-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
6019,2009-07-01,Ethiopia,Oromia,Ilubabor,1.0
3899,2009-07-01,Ethiopia,Gambela,Itang,2.0
6003,2009-07-01,Ethiopia,SNNPR,Sheka,1.0
6007,2009-07-01,Ethiopia,Amhara,Awi,1.0
6022,2009-07-01,Ethiopia,Oromia,Kelem,1.0
6024,2009-07-01,Ethiopia,Gambela,Mezhenger,1.0
6030,2009-07-01,Ethiopia,Amhara,West Gojam,1.0
6032,2009-07-01,Ethiopia,Oromia,West Wellega,1.0
6034,2009-07-01,Ethiopia,SNNPR,Yem,1.0
6039,2009-07-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6368,2009-07-01,Ethiopia,Addis Ababa,Region 14,99.0
31,2010-10-01,Ethiopia,SNNPR,Segen,2.0
32,2010-10-01,Ethiopia,Oromia,Bale,2.0
33,2010-10-01,Ethiopia,Oromia,Borena,2.0
4578,2010-10-01,Ethiopia,SNNPR,Sidama,3.0
35,2010-10-01,Ethiopia,Somali,Afder,2.0
38,2010-10-01,Ethiopia,SNNPR,Basketo,2.0
5914,2010-10-01,Ethiopia,SNNPR,Bench Maji,1.0
47,2010-10-01,Ethiopia,SNNPR,Gamo Gofa,2.0
48,2010-10-01,Ethiopia,SNNPR,Gedeo,2.0
49,2010-10-01,Ethiopia,Oromia,Gujii,2.0
5926,2010-10-01,Ethiopia,SNNPR,Keffa,1.0
5928,2010-10-01,Ethiopia,SNNPR,Konta,1.0
59,2010-10-01,Ethiopia,Somali,Liben,2.0
4595,2010-10-01,Ethiopia,Amhara,North Wollo,3.0
4596,2010-10-01,Ethiopia,Gambela,Nuer,3.0
62,2010-10-01,Ethiopia,Amhara,Oromia,2.0
5932,2010-10-01,Ethiopia,Amhara,South Gondar,1.0
65,2010-10-01,Ethiopia,SNNPR,South Omo,2.0
66,2010-10-01,Ethiopia,Amhara,South Wollo,2.0
67,2010-10-01,Ethiopia,Tigray,South Tigray,2.0
69,2010-10-01,Ethiopia,Amhara,Wag Himra,2.0
5935,2010-10-01,Ethiopia,Oromia,West Arsi,1.0
4606,2010-10-01,Ethiopia,Oromia,West Hararge,3.0
75,2010-10-01,Ethiopia,Afar,Awusi,2.0
77,2010-10-01,Ethiopia,Afar,Fanti,2.0
79,2010-10-01,Ethiopia,Somali,Shebelle,2.0
5946,2010-10-01,Ethiopia,Gambela,Agniwak,1.0
81,2010-10-01,Ethiopia,Oromia,East Hararge,2.0
82,2010-10-01,Ethiopia,Tigray,East Tigray,2.0
4617,2010-10-01,Ethiopia,Afar,Kilbati,3.0
4619,2010-10-01,Ethiopia,Somali,Nogob,3.0
36,2010-10-01,Ethiopia,SNNPR,Alaba,2.0
5912,2010-10-01,Ethiopia,Oromia,Arsi,1.0
40,2010-10-01,Ethiopia,Tigray,Central Tigray,2.0
41,2010-10-01,Ethiopia,SNNPR,Dawro,2.0
42,2010-10-01,Ethiopia,Somali,Jarar,2.0
43,2010-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
5916,2010-10-01,Ethiopia,Amhara,East Gojam,1.0
45,2010-10-01,Ethiopia,Oromia,East Shewa,2.0
5918,2010-10-01,Ethiopia,Oromia,East Wellega,1.0
50,2010-10-01,Ethiopia,SNNPR,Gurage,2.0
51,2010-10-01,Ethiopia,Harari,Harari,2.0
5923,2010-10-01,Ethiopia,Oromia,Horo Guduru,1.0
53,2010-10-01,Ethiopia,Somali,Fafan,2.0
5925,2010-10-01,Ethiopia,Oromia,Jimma,1.0
4591,2010-10-01,Ethiopia,SNNPR,Kembata Tembaro,3.0
4592,2010-10-01,Ethiopia,Somali,Korahe,3.0
60,2010-10-01,Ethiopia,Amhara,North Shewa,2.0
63,2010-10-01,Ethiopia,Somali,Sitti,2.0
68,2010-10-01,Ethiopia,Amhara,Argoba,2.0
72,2010-10-01,Ethiopia,Oromia,West Shewa,2.0
5940,2010-10-01,Ethiopia,Tigray,West Tigray,1.0
4607,2010-10-01,Ethiopia,SNNPR,Wolayita,3.0
76,2010-10-01,Ethiopia,Afar,Gabi,2.0
78,2010-10-01,Ethiopia,Afar,Khari,2.0
80,2010-10-01,Ethiopia,Tigray,Northwest Tigray,2.0
5951,2010-10-01,Ethiopia,Oromia,South West Shewa,1.0
5952,2010-10-01,Ethiopia,Amhara,North Gondar,1.0
4618,2010-10-01,Ethiopia,SNNPR,Hadiya,3.0
88,2010-10-01,Ethiopia,SNNPR,Silltie,2.0
4621,2010-10-01,Ethiopia,Somali,Dollo,3.0
5944,2010-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5947,2010-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
5948,2010-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5949,2010-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
5924,2010-10-01,Ethiopia,Oromia,Ilubabor,1.0
5943,2010-10-01,Ethiopia,Gambela,Itang,1.0
5910,2010-10-01,Ethiopia,SNNPR,Sheka,1.0
5913,2010-10-01,Ethiopia,Amhara,Awi,1.0
5927,2010-10-01,Ethiopia,Oromia,Kelem,1.0
5929,2010-10-01,Ethiopia,Gambela,Mezhenger,1.0
5936,2010-10-01,Ethiopia,Amhara,West Gojam,1.0
5939,2010-10-01,Ethiopia,Oromia,West Wellega,1.0
5941,2010-10-01,Ethiopia,SNNPR,Yem,1.0
5945,2010-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6534,2010-10-01,Ethiopia,Addis Ababa,Region 14,99.0
2403,2012-01-01,Ethiopia,SNNPR,Segen,3.0
2404,2012-01-01,Ethiopia,Oromia,Bale,3.0
93,2012-01-01,Ethiopia,Oromia,Borena,4.0
5849,2012-01-01,Ethiopia,SNNPR,Sidama,2.0
2407,2012-01-01,Ethiopia,Somali,Afder,3.0
5854,2012-01-01,Ethiopia,SNNPR,Basketo,2.0
5685,2012-01-01,Ethiopia,SNNPR,Bench Maji,1.0
2418,2012-01-01,Ethiopia,SNNPR,Gamo Gofa,3.0
5863,2012-01-01,Ethiopia,SNNPR,Gedeo,2.0
96,2012-01-01,Ethiopia,Oromia,Gujii,4.0
5697,2012-01-01,Ethiopia,SNNPR,Keffa,1.0
5699,2012-01-01,Ethiopia,SNNPR,Konta,1.0
2429,2012-01-01,Ethiopia,Somali,Liben,3.0
2431,2012-01-01,Ethiopia,Amhara,North Wollo,3.0
5875,2012-01-01,Ethiopia,Gambela,Nuer,2.0
5876,2012-01-01,Ethiopia,Amhara,Oromia,2.0
5878,2012-01-01,Ethiopia,Amhara,South Gondar,2.0
2436,2012-01-01,Ethiopia,SNNPR,South Omo,3.0
5880,2012-01-01,Ethiopia,Amhara,South Wollo,2.0
5881,2012-01-01,Ethiopia,Tigray,South Tigray,2.0
2440,2012-01-01,Ethiopia,Amhara,Wag Himra,3.0
5707,2012-01-01,Ethiopia,Oromia,West Arsi,1.0
5885,2012-01-01,Ethiopia,Oromia,West Hararge,2.0
5888,2012-01-01,Ethiopia,Afar,Awusi,2.0
5890,2012-01-01,Ethiopia,Afar,Fanti,2.0
2449,2012-01-01,Ethiopia,Somali,Shebelle,3.0
5721,2012-01-01,Ethiopia,Gambela,Agniwak,1.0
5898,2012-01-01,Ethiopia,Oromia,East Hararge,2.0
5899,2012-01-01,Ethiopia,Tigray,East Tigray,2.0
2457,2012-01-01,Ethiopia,Afar,Kilbati,3.0
2460,2012-01-01,Ethiopia,Somali,Nogob,3.0
5851,2012-01-01,Ethiopia,SNNPR,Alaba,2.0
5683,2012-01-01,Ethiopia,Oromia,Arsi,1.0
5856,2012-01-01,Ethiopia,Tigray,Central Tigray,2.0
5686,2012-01-01,Ethiopia,SNNPR,Dawro,1.0
2414,2012-01-01,Ethiopia,Somali,Jarar,3.0
6660,2012-01-01,Ethiopia,Dire Dawa,Dire Dawa,99.0
5687,2012-01-01,Ethiopia,Amhara,East Gojam,1.0
5688,2012-01-01,Ethiopia,Oromia,East Shewa,1.0
5689,2012-01-01,Ethiopia,Oromia,East Wellega,1.0
5693,2012-01-01,Ethiopia,SNNPR,Gurage,1.0
6662,2012-01-01,Ethiopia,Harari,Harari,99.0
5694,2012-01-01,Ethiopia,Oromia,Horo Guduru,1.0
2423,2012-01-01,Ethiopia,Somali,Fafan,3.0
