date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2005-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,238.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2005-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,250.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2005-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,248.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2005-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,233.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2005-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,252.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2005-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,253.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,243.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,237.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,245.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,249.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,260.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,264.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,275.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,293.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,298.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,291.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,307.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2006-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,341.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,323.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,316.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,318.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,320.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,355.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,326.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,338.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,397.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,362.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,372.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,378.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2007-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,357.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,385.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,385.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,430.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,469.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,561.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,725.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,740.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,744.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,735.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,800.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,800.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2008-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,750.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,640.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,550.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,630.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,620.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,620.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,560.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,590.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,575.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,542.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,542.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2009-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,468.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
