date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default,year,label,cmnameshort,scaling,interpolated,x
2015-03-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-04-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-05-15,Barley - Retail,100 KG,cereals and tubers,731.0,ETB,Ethiopia,Tigray,1237.0,Adwa,507.0,307,15.0,9.0,1,507_307_15_9,,2015.0,Barley - Retail (100 KG),Barley,1.0,0.0,1431648000.0
2015-06-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-07-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-08-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-09-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-10-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-11-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-12-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-01-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-02-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-03-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-04-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-05-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-06-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-07-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-08-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-09-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-10-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-11-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2016-12-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-01-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-02-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-03-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-04-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-05-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-06-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-07-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-08-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-09-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-10-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-11-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2017-12-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-01-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-02-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-03-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-04-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-05-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-06-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-07-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-08-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-09-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-10-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-11-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2018-12-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-01-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-02-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-03-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-04-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-05-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-07-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-08-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-09-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-10-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-11-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2019-12-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-01-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,9.0,ETB,Ethiopia,Amhara,1229.0,Robit,465.0,385,15.0,5.0,5,465_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1389744000.0
2014-02-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,9.0,ETB,Ethiopia,Amhara,1229.0,Robit,465.0,385,15.0,5.0,5,465_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1392422400.0
2014-03-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,9.0,ETB,Ethiopia,Amhara,1229.0,Robit,465.0,385,15.0,5.0,5,465_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1394841600.0
2014-04-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,8.6,ETB,Ethiopia,SNNPR,1236.0,Sodo,476.0,385,15.0,5.0,5,476_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1397520000.0
2014-05-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,8.6,ETB,Ethiopia,Amhara,1229.0,Bati,469.0,385,15.0,5.0,5,469_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1400112000.0
2014-06-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,8.6,ETB,Ethiopia,Amhara,1229.0,Bati,469.0,385,15.0,5.0,5,469_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1402790400.0
2014-07-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,8.6,ETB,Ethiopia,Amhara,1229.0,Bati,469.0,385,15.0,5.0,5,469_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1405382400.0
2014-08-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,9.54,ETB,Ethiopia,Amhara,1229.0,Sekota,497.0,385,15.0,5.0,5,497_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1408060800.0
2014-09-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,9.8,ETB,Ethiopia,Amhara,1229.0,Robit,465.0,385,15.0,5.0,5,465_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1410739200.0
2014-10-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,10.8,ETB,Ethiopia,Tigray,1237.0,Adwa,507.0,385,15.0,5.0,5,507_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1413331200.0
2014-11-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,11.06,ETB,Ethiopia,Amhara,1229.0,Kobo,475.0,385,15.0,5.0,5,475_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1416009600.0
2014-12-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,11.0,ETB,Ethiopia,Amhara,1229.0,Robit,465.0,385,15.0,5.0,5,465_385_15_5,,2014.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1418601600.0
2015-01-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,11.0,ETB,Ethiopia,Tigray,1237.0,Hawzien,509.0,385,15.0,5.0,5,509_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1421280000.0
2015-02-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,10.7,ETB,Ethiopia,Tigray,1237.0,Hawzien,509.0,385,15.0,5.0,5,509_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1423958400.0
2015-03-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,10.8,ETB,Ethiopia,Tigray,1237.0,Alamata,458.0,385,15.0,5.0,5,458_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1426377600.0
2015-04-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,11.0,ETB,Ethiopia,Tigray,1237.0,Hawzien,509.0,385,15.0,5.0,5,509_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1429056000.0
2015-05-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,12.0,ETB,Ethiopia,Amhara,1229.0,Robit,465.0,385,15.0,5.0,5,465_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1431648000.0
2015-06-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,11.75,ETB,Ethiopia,SNNPR,1236.0,Sodo,476.0,385,15.0,5.0,5,476_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1434326400.0
2015-07-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.0,ETB,Ethiopia,SNNPR,1236.0,Sodo,476.0,385,15.0,5.0,5,476_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1436918400.0
2015-08-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,15.3,ETB,Ethiopia,SNNPR,1236.0,Sodo,476.0,385,15.0,5.0,5,476_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1439596800.0
2015-09-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,ETB,Ethiopia,SNNPR,1236.0,Sodo,476.0,385,15.0,5.0,5,476_385_15_5,,2015.0,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,0.0,1442275200.0
2015-10-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2015-11-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2015-12-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-01-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-02-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-03-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-04-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-05-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-06-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-07-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-08-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-09-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-10-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-11-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2016-12-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-01-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-02-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-03-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-04-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-05-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-06-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-07-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-08-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-09-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-10-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-11-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2017-12-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-01-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-02-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-03-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-04-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-05-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-06-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-07-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-08-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-09-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-10-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-11-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2018-12-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-01-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-02-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-03-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-04-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-05-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-07-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-08-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-09-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-10-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-11-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2019-12-15,"Beans (fava, dry) - Retail",KG,pulses and nuts,14.7,,,,,,,385,,,5,,,,"Beans (fava, dry) - Retail (KG)","Beans fava, dry",1.0,1.0,
2014-01-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-02-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-03-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-04-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-05-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-06-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-07-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-08-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-09-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-10-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-11-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
2014-12-15,Beans (haricot) - Retail,10 KG,pulses and nuts,90.0,,,,,,,392,,,5,,,,Beans (haricot) - Retail (10 KG),Beans haricot,10.0,1.0,
