date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default,year,label,cmnameshort,scaling,interpolated,x
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,,0.0,#item+label,#item+name+short,,,
2014-01-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-02-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-03-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-04-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-05-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-06-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-07-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-08-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-09-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-10-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-11-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2014-12-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-01-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
2015-02-15,Barley - Retail,100 KG,cereals and tubers,731.0,,,,,,,307,,,1,,,,Barley - Retail (100 KG),Barley,1.0,1.0,
