,date,ADMIN1,CS_1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
0,2009-07-01,Addis Ababa,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,0,0.0,0.0,51459.3125,3173233.125,51459.3125,3173233.125,51459.3125,3173233.125
1,2009-07-01,Afar,3802.80322265625,494803.4363479614,1070000.5656738281,0.0,0.0,3802.80322265625,494803.4363479614,1070000.5656738281,0.0,0.0,3802.80322265625,718567.3748168945,846236.609375,0.0,0.0,0,0.0,0.0,1568606.8052444458,3137213.6104888916,1568606.8052444458,3137213.6104888916,1568606.7874145508,3137213.5748291016
2,2009-07-01,Amhara,8939243.69720459,3459557.740386963,6610980.5,0.0,601346.16015625,8939243.69720459,3459557.740386963,6610980.5,0.0,601346.16015625,8939243.69720459,8312773.09375,1757765.1898536682,0.0,601346.16015625,0,0.0,0.0,19009781.937591553,38620910.035339355,19009781.937591553,38620910.035339355,19009781.980808258,38620910.121772766
3,2009-07-01,Benishangul Gumz,764995.66015625,129710.92532157898,17273.541015625,0.0,0.0,764995.66015625,129710.92532157898,17273.541015625,0.0,0.0,764995.66015625,146984.46829032898,0.0,0.0,0.0,0,0.0,0.0,911980.126493454,1823960.252986908,911980.126493454,1823960.252986908,911980.128446579,1823960.256893158
4,2009-07-01,Dire Dawa,0.0,391240.890625,2049.182373046875,0.0,0.0,0.0,391240.890625,2049.182373046875,0.0,0.0,0.0,393290.078125,0.0,0.0,0.0,0,0.0,0.0,393290.0729980469,786580.1459960938,393290.0729980469,786580.1459960938,393290.078125,786580.15625
5,2009-07-01,Gambela,142945.29150390625,224950.5531616211,1252.6055908203125,75.40729570388794,0.0,83497.958984375,61004.40594482422,224646.0961303711,75.40729570388794,0.0,142945.29150390625,145548.5258178711,2274.6909790039062,75.40729570388794,78379.94140625,0,0.0,0.0,369223.85755205154,738447.7151041031,369223.8683552742,738447.7367105484,290843.91559648514,660067.7725992203
6,2009-07-01,Harari,0.0,211302.359375,2863.7548828125,0.0,0.0,0.0,211302.359375,2863.7548828125,0.0,0.0,0.0,214166.125,0.0,0.0,0.0,0,0.0,0.0,214166.1142578125,428332.228515625,214166.1142578125,428332.228515625,214166.125,428332.25
7,2009-07-01,Oromia,16060425.653949738,5107673.788592339,10223546.674049377,502.15338134765625,19535.07421875,16059384.153949738,5108708.488990784,10222989.329607964,1066.209716796875,19535.07421875,15879343.435199738,14307936.687418938,1204365.3830595016,502.15338134765625,19535.07421875,0,0.0,0.0,31392148.2699728,62803831.61416435,31392148.18226528,62803831.43874931,31392147.659059525,62803830.3923378
8,2009-07-01,SNNP,2866475.73236084,2057861.741317749,12369393.092064023,0.0,0.0,2866475.73236084,1596553.956319809,12830700.866825104,0.0,0.0,2866475.73236084,11971475.67477417,2455671.590122223,0.0,0.0,0,0.0,0.0,17293730.565742612,34587461.131485224,17293730.555505753,34587461.111011505,17293622.997257233,34587245.994514465
9,2009-07-01,Somali,59.554264068603516,3716.0400390625,2878091.3830833435,2241199.0146484375,6276.707862854004,59.554264068603516,3716.0400390625,2104955.97108078,3014334.4428710938,6276.707862854004,0.0,1649009.2866134644,1232857.7031517029,2241199.0146484375,6276.707862854004,0,0.0,0.0,5123065.992034912,10252408.691932678,5123066.008255005,10252408.724372864,5123066.004413605,10252408.716690063
10,2009-07-01,Tigray,403294.60791015625,1541103.4303588867,2948480.7280197144,0.0,59494.07421875,403294.60791015625,1541103.4303588867,2948480.7280197144,0.0,59494.07421875,403294.60791015625,4450340.861877441,39243.4228515625,0.0,59494.07421875,0,0.0,0.0,4892878.766288757,9845251.606796265,4892878.766288757,9845251.606796265,4892878.89263916,9845251.85949707
11,2009-10-01,Addis Ababa,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,51459.3125,0.0,0.0,0.0,3070314.5,0,0.0,0.0,51459.3125,3173233.125,51459.3125,3173233.125,51459.3125,3173233.125
12,2009-10-01,Afar,3802.80322265625,494803.4363479614,1070000.5656738281,0.0,0.0,3802.80322265625,1564795.234375,8.737299919128418,0.0,0.0,3825.736015319824,34312.61605834961,1530468.453125,0.0,0.0,0,0.0,0.0,1568606.8052444458,3137213.6104888916,1568606.7748975754,3137213.5497951508,1568606.8051986694,3137213.610397339
13,2009-10-01,Amhara,8939243.69720459,3459557.740386963,6610980.5,0.0,601346.16015625,8939243.69720459,10070538.25,0.0,0.0,601346.16015625,8939243.69720459,10054854.875,15683.633934020996,0.0,601346.16015625,0,0.0,0.0,19009781.937591553,38620910.035339355,19009781.94720459,38620910.05456543,19009782.20613861,38620910.57243347
14,2009-10-01,Benishangul Gumz,764995.66015625,129710.92532157898,17273.541015625,0.0,0.0,911980.1328125,0.0,0.0,0.0,0.0,911980.1328125,0.0,0.0,0.0,0.0,0,0.0,0.0,911980.126493454,1823960.252986908,911980.1328125,1823960.265625,911980.1328125,1823960.265625
15,2009-10-01,Dire Dawa,0.0,391240.890625,2049.182373046875,0.0,0.0,0.0,393290.078125,0.0,0.0,0.0,0.0,392939.0625,351.0048522949219,0.0,0.0,0,0.0,0.0,393290.0729980469,786580.1459960938,393290.078125,786580.15625,393290.0673522949,786580.1347045898
16,2009-10-01,Gambela,83497.9599609375,61004.40985107422,224646.0961303711,75.40729570388794,0.0,144563.91650390625,1191.058479309082,223468.8930053711,0.0,0.0,142945.29931640625,2809.6757583618164,223468.8930053711,0.0,0.0,0,0.0,0.0,369223.8732380867,738447.7464761734,369223.8679885864,738447.7359771729,369223.86808013916,738447.7361602783
17,2009-10-01,Harari,0.0,211302.359375,2863.7548828125,0.0,0.0,0.0,214166.125,0.0,0.0,0.0,0.0,214166.125,0.0,0.0,0.0,0,0.0,0.0,214166.1142578125,428332.228515625,214166.125,428332.25,214166.125,428332.25
18,2009-10-01,Oromia,16059384.153949738,5108708.488990784,10222989.329607964,1066.209716796875,19535.07421875,16214435.216449738,14266958.73071289,910753.6990766525,0.0,19535.07421875,16214435.278949738,14167457.493164062,1010255.3376874924,0.0,19535.07421875,0,0.0,0.0,31392148.18226528,62803831.43874931,31392147.64623928,62803830.36669731,31392148.109801292,62803831.293821335
19,2009-10-01,SNNP,2866475.73236084,1596553.956319809,12830700.866825104,0.0,0.0,2866475.73236084,13752185.373632431,675069.6394578218,0.0,0.0,2866475.73236084,13752185.373632431,675069.6394578218,0.0,0.0,0,0.0,0.0,17293730.555505753,34587461.111011505,17293730.745451093,34587461.490902185,17293730.745451093,34587461.490902185
20,2009-10-01,Somali,59.554264068603516,3716.0400390625,2113179.4146842957,3012387.671936035,0.0,59.554264068603516,1727504.7797851562,3401768.737182617,9.826385498046875,0.0,59.554264068603516,14844.083251953125,5114429.359375,9.826385498046875,0.0,0,0.0,0.0,5129342.680923462,10258685.361846924,5129342.89761734,10258685.79523468,5129342.82327652,10258685.64655304
21,2009-10-01,Tigray,403294.60791015625,1541103.4303588867,2948480.7280197144,0.0,59494.07421875,403294.60791015625,4489584.236877441,0.0,0.0,59494.07421875,639606.5153808594,4214127.299377441,39145.033203125,0.0,59494.07421875,0,0.0,0.0,4892878.766288757,9845251.606796265,4892878.844787598,9845251.763793945,4892878.847961426,9845251.770141602
22,2010-01-01,Addis Ababa,53388.05078125,0.0,0.0,0.0,3136550.25,53388.05078125,0.0,0.0,0.0,3136550.25,53388.05078125,0.0,0.0,0.0,3136550.25,0,0.0,0.0,53388.05078125,3243326.3515625,53388.05078125,3243326.3515625,53388.05078125,3243326.3515625
